# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# start_datetime = 2026-05-28 21:47:06 UTC
# method = pathfinder
#   pathfinder
#     init_alpha = 0.001 (Default)
#     tol_obj = 1e-12 (Default)
#     tol_rel_obj = 10000 (Default)
#     tol_grad = 1e-08 (Default)
#     tol_rel_grad = 1e+07 (Default)
#     tol_param = 1e-08 (Default)
#     history_size = 5 (Default)
#     num_psis_draws = 1000 (Default)
#     num_paths = 4 (Default)
#     save_single_paths = false (Default)
#     psis_resample = true (Default)
#     calculate_lp = true (Default)
#     max_lbfgs_iters = 1000 (Default)
#     num_draws = 1000 (Default)
#     num_elbo_draws = 25 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/k_/lm3f3ty933bgx8bfm0dsx7cr0000gn/T/tmp24rl7p3e/d3wh4mrc.json
# init = 2 (Default)
# random
#   seed = 10
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/1dgaussian-20260528174706.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=1dgaussian.stan
lp_approx__,lp__,path__,mu
1.1542247, -146.18299, 1, 3.1272441
1.3817614, -145.95545, 1, 3.0657229
-0.36424715, -147.70146, 1, 3.2464656
1.3830257, -145.95419, 1, 3.0558394
1.3107392, -146.02647, 1, 3.0213052
1.2609715, -146.07624, 1, 3.1090425
1.3154938, -146.02172, 1, 3.0225708
1.348594, -145.98862, 1, 3.085997
1.348594, -145.98862, 1, 3.085997
0.11683293, -147.22038, 1, 2.9003332
1.1929867, -146.14423, 1, 3.1212582
1.3001455, -146.03707, 1, 3.1003782
0.50869731, -146.82851, 1, 2.9272212
1.3594632, -145.97775, 1, 3.0815161
1.3594632, -145.97775, 1, 3.0815161
1.1781166, -146.1591, 1, 2.9953835
1.1985643, -146.13865, 1, 3.1203484
1.3824578, -145.95475, 1, 3.0644792
1.3420693, -145.99514, 1, 3.0883545
1.0893637, -146.24785, 1, 3.1362228
1.3576096, -145.9796, 1, 3.0823425
1.3576096, -145.9796, 1, 3.0823425
1.3625972, -145.97461, 1, 3.0389608
0.74969858, -146.58751, 1, 3.1721018
0.74969858, -146.58751, 1, 3.1721018
1.2831413, -146.05407, 1, 3.014659
1.3789607, -145.95825, 1, 3.0692338
1.3806722, -145.95654, 1, 3.0517252
1.375186, -145.96203, 1, 3.0464562
0.76853376, -146.56868, 1, 2.9485876
1.2847555, -146.05246, 1, 3.0150204
1.1415938, -146.19562, 1, 2.9899207
