# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# start_datetime = 2026-05-28 21:48:57 UTC
# method = pathfinder
#   pathfinder
#     init_alpha = 0.001 (Default)
#     tol_obj = 1e-12 (Default)
#     tol_rel_obj = 10000 (Default)
#     tol_grad = 1e-08 (Default)
#     tol_rel_grad = 1e+07 (Default)
#     tol_param = 1e-08 (Default)
#     history_size = 5 (Default)
#     num_psis_draws = 1000 (Default)
#     num_paths = 4 (Default)
#     save_single_paths = false (Default)
#     psis_resample = true (Default)
#     calculate_lp = true (Default)
#     max_lbfgs_iters = 1000 (Default)
#     num_draws = 1000 (Default)
#     num_elbo_draws = 25 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/k_/lm3f3ty933bgx8bfm0dsx7cr0000gn/T/tmp24rl7p3e/7rtpxpua.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/1dgaussian-20260528174857.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=1dgaussian.stan
lp_approx__,lp__,path__,mu
-2.1337665, -149.47098, 1, 3.3247232
0.44688211, -146.89033, 1, 3.1963758
1.1371392, -146.20007, 1, 2.9892835
0.75675866, -146.58045, 1, 2.9475311
0.54109267, -146.79612, 1, 2.929693
1.3122643, -146.02495, 1, 3.0972976
1.2680839, -146.06913, 1, 3.1075856
1.363664, -145.97355, 1, 3.0394868
0.74692436, -146.59029, 1, 3.1723478
0.79239408, -146.54482, 1, 3.1682443
1.3485386, -145.98867, 1, 3.0329863
1.0316489, -146.30556, 1, 3.1434083
1.3239254, -146.01329, 1, 3.0940752
1.3658585, -145.97135, 1, 3.0406149
0.39172083, -146.94549, 1, 2.9186563
0.57572765, -146.76148, 1, 3.1866153
1.3043067, -146.03291, 1, 3.0196569
-1.0077937, -148.34501, 1, 2.8408127
0.52649661, -146.81072, 1, 2.9285735
1.1742811, -146.16293, 1, 2.9947881
0.3590995, -146.97811, 1, 2.9163592
-0.31037792, -147.64759, 1, 3.2435621
-0.31037792, -147.64759, 1, 3.2435621
-0.77379727, -148.11101, 1, 3.2672172
1.3697465, -145.96747, 1, 3.0762046
1.2993577, -146.03785, 1, 3.0184337
1.2830897, -146.05412, 1, 3.1043567
1.0417938, -146.29542, 1, 3.1421905
1.3456543, -145.99156, 1, 3.0870841
1.3819172, -145.95529, 1, 3.0535369
1.2351522, -146.10206, 1, 3.1140052
