# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 0.01
#     adapt
#       engaged = false
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100/stan_data.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100/fixed_eta_grid/grad_samples_1/eta_0p01/output.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100/fixed_eta_grid/grad_samples_1/eta_0p01/diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# iter,time_in_seconds,ELBO
100,0,-465.3074
200,0,-501.82499
300,0,-427.72265
400,0,-456.63261
500,0,-456.6201
600,0,-424.95257
700,0,-402.23046
800,0,-414.32084
900,0,-427.73407
1000,0,-432.61296
1100,0.001,-363.93941
1200,0.001,-396.56339
1300,0.001,-384.70221
1400,0.001,-371.89366
1500,0.001,-379.95663
1600,0.001,-377.11915
1700,0.001,-373.00139
1800,0.001,-369.25437
1900,0.001,-353.73975
2000,0.001,-357.38582
2100,0.002,-321.27786
2200,0.002,-351.70944
2300,0.002,-329.18399
2400,0.002,-330.97295
2500,0.002,-331.18994
2600,0.002,-315.98529
2700,0.002,-324.21674
2800,0.002,-318.07625
2900,0.002,-309.83589
3000,0.002,-298.42476
3100,0.003,-328.41081
3200,0.003,-292.81886
3300,0.003,-315.05095
3400,0.003,-296.42832
3500,0.003,-298.29914
3600,0.003,-290.13189
3700,0.003,-291.19574
3800,0.003,-301.37072
3900,0.003,-280.58656
4000,0.003,-299.40603
4100,0.004,-282.17838
4200,0.004,-298.01865
4300,0.004,-266.48461
4400,0.004,-267.64771
4500,0.004,-280.93261
4600,0.004,-257.19037
4700,0.004,-277.1433
4800,0.004,-263.7263
4900,0.004,-279.27848
5000,0.005,-257.60488
5100,0.005,-255.95022
5200,0.005,-258.88845
5300,0.005,-260.59704
5400,0.005,-259.4029
5500,0.005,-252.1063
5600,0.005,-258.42193
5700,0.005,-264.25024
5800,0.005,-240.8445
5900,0.005,-256.85746
6000,0.006,-239.72976
6100,0.006,-237.74128
6200,0.006,-240.52328
6300,0.006,-252.3187
6400,0.006,-242.1972
6500,0.006,-228.83921
6600,0.006,-246.91533
6700,0.006,-235.28764
6800,0.006,-250.79756
6900,0.006,-236.14446
7000,0.007,-226.66027
7100,0.007,-236.05975
7200,0.007,-229.20562
7300,0.007,-225.08673
7400,0.007,-218.7337
7500,0.007,-217.38767
7600,0.007,-225.91599
7700,0.007,-225.69346
7800,0.007,-231.63563
7900,0.008,-212.99353
8000,0.008,-215.75947
8100,0.008,-224.42973
8200,0.008,-218.216
8300,0.008,-206.65857
8400,0.008,-216.16169
8500,0.008,-206.51122
8600,0.008,-210.52004
8700,0.008,-214.52166
8800,0.008,-200.74315
8900,0.009,-218.14778
9000,0.009,-209.36242
9100,0.009,-197.60796
9200,0.009,-193.10063
9300,0.009,-198.31096
9400,0.009,-197.43977
9500,0.009,-201.02467
9600,0.009,-200.46979
9700,0.009,-202.6929
9800,0.01,-199.83272
9900,0.01,-202.43493
10000,0.01,-199.68067
