# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# start_datetime = 2026-05-28 22:05:51 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 0.1
#     adapt
#       engaged = false
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100/stan_data.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100/fixed_eta_grid/grad_samples_1/eta_0p1/output.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100/fixed_eta_grid/grad_samples_1/eta_0p1/diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=1dgaussian.stan
lp__,log_p__,log_g__,mu
0,0,0,3.0848341
0,-147.12063,-0.75531113,2.9067281
0,-146.29414,-0.27703791,2.976968
0,-150.92786,-2.0033967,3.3749016
0,-146.41498,-0.11912732,3.155567
0,-146.54874,-0.16709081,3.1686047
0,-146.80412,-0.26297123,3.1899261
0,-145.982,-0.057634712,3.035635
0,-147.14167,-0.39508383,3.2136472
0,-146.0284,-0.0042543813,3.0982011
0,-148.06945,-0.77465852,3.2652068
0,-147.19953,-0.79901259,2.9016481
0,-145.96637,-0.0020595757,3.0755336
0,-146.11558,-0.1611261,3.0025722
0,-146.15498,-0.18778251,2.9960279
0,-146.39692,-0.11281556,3.1536676
0,-146.84187,-0.59906809,2.9262157
0,-146.3398,-0.30524314,2.9716101
0,-149.74993,-1.4905995,3.3350391
0,-146.75035,-0.54698118,2.9332681
0,-147.73599,-0.63627142,3.2483036
0,-146.08385,-0.13893007,3.0084481
0,-147.86354,-0.68899507,3.2549417
0,-146.36798,-0.10280527,3.1505429
0,-149.6888,-2.123587,2.7861923
0,-146.35144,-0.31236917,2.9702961
0,-146.44309,-0.12903348,3.1584492
0,-145.9842,-7.435262e-06,3.0842753
0,-146.91996,-0.30775575,3.1985232
0,-147.52154,-0.54829483,3.236582
0,-146.32947,-0.08969592,3.1462106
0,-145.95654,-0.0073349949,3.0672826
0,-146.61238,-0.1905331,3.1742883
0,-146.30869,-0.082734008,3.1437805
0,-147.28734,-0.84741876,2.8961807
0,-147.99107,-1.2289985,2.857643
0,-146.0085,-0.0014585327,3.0926607
0,-146.15644,-0.18875033,2.9957994
0,-146.01783,-0.089168948,3.0236382
0,-145.96276,-0.036079917,3.0459073
0,-147.10365,-0.74588048,2.9078435
0,-146.00764,-0.080743423,3.0266011
0,-146.74875,-0.24181415,3.1856099
0,-148.64491,-1.0169552,3.2914989
0,-146.03443,-0.10233424,3.0192761
0,-148.18428,-0.82269094,3.2707146
0,-146.25808,-0.066156032,3.137545
0,-147.03905,-0.7099116,2.9121638
0,-149.33434,-1.3114333,3.3195209
0,-146.47442,-0.38643788,2.9574382
0,-146.15769,-0.035417352,3.1234018
0,-146.10537,-0.021108046,3.1146083
0,-146.08898,-0.14257033,3.0074539
0,-147.15378,-0.77369799,2.9045733
0,-146.34751,-0.09580474,3.1482662
0,-146.01797,-0.0026603293,3.0954043
0,-149.15759,-1.2355781,3.3126325
0,-146.16703,-0.038119271,3.1248459
0,-145.97679,-0.00033600714,3.0810775
0,-149.42055,-1.3485097,3.3228153
0,-147.11889,-0.75434751,2.9068418
0,-146.73473,-0.23648493,3.1844933
0,-146.74599,-0.24076277,3.1853906
0,-149.16829,-1.8519053,2.8059492
0,-151.1347,-2.0940567,3.3813922
0,-145.99951,-0.073763708,3.0291749
0,-146.77396,-0.56046344,2.9314116
0,-145.96838,-0.043160366,3.0422588
0,-148.98192,-1.160422,3.3055957
0,-146.22882,-0.056860296,3.1337016
0,-146.02925,-0.0043949013,3.0984201
0,-146.32057,-0.29341127,2.9738262
0,-146.54003,-0.16390761,3.167803
0,-149.81763,-2.1905677,2.7815191
0,-151.31675,-2.1739808,3.3869986
0,-146.07557,-0.13299541,3.0100974
0,-148.7302,-1.0531691,3.2951464
0,-146.03619,-0.10369933,3.0188402
0,-149.01266,-1.173557,3.3068416
0,-145.97659,-0.00035329864,3.0809821
0,-148.98687,-1.1625351,3.3057966
0,-147.37882,-0.49029295,3.2283313
0,-147.05729,-0.7200806,2.9109315
0,-147.40432,-0.50062015,3.2298347
0,-147.64017,-0.59684938,3.2431585
0,-146.00027,-0.00065511693,3.0900795
0,-149.71308,-2.1362177,2.7853055
0,-147.10862,-0.74864498,2.9075158
0,-146.72874,-0.53461305,2.9349915
0,-149.43751,-1.3558096,3.3234585
0,-146.0417,-0.0066105964,3.1014964
0,-146.03522,-0.10294851,3.0190796
0,-146.25024,-0.24949283,2.9824707
0,-148.34691,-1.4188444,2.8407256
0,-145.95377,-0.018146248,3.0572278
0,-146.27029,-0.070100862,3.1390938
0,-145.98907,-4.2190907e-05,3.0861652
0,-146.01278,-0.085029559,3.0250755
0,-146.53692,-0.42337364,2.9514889
0,-148.51952,-0.96384442,3.28603
0,-145.95599,-0.0079772289,3.0665303
0,-145.99742,-0.00044007814,3.0891332
0,-146.43025,-0.12449662,3.1571434
0,-146.737,-0.23734686,3.1846747
0,-146.69044,-0.21973061,3.1808981
0,-149.50791,-2.029372,2.7928922
0,-146.38403,-0.10834338,3.1522895
0,-146.23336,-0.23877835,2.9846928
0,-146.68013,-0.50668264,2.9389582
0,-145.98176,-0.057396217,3.0357369
0,-148.37524,-1.4338889,2.8394348
0,-148.35325,-0.89367817,3.2785682
0,-145.95521,-0.0090584005,3.0653293
0,-148.29924,-0.87094811,3.2760886
0,-146.58511,-0.4515954,2.9471162
0,-148.07374,-0.77644885,3.2654151
0,-146.18537,-0.043537993,3.1275953
0,-146.05982,-0.010276274,3.1056087
0,-145.95457,-0.010250772,3.0640853
0,-146.32355,-0.087704882,3.1455255
0,-145.97439,-0.00057205855,3.0799325
0,-146.71119,-0.22756535,3.1825958
0,-145.956,-0.007962314,3.0665474
0,-147.55148,-0.99181739,2.8807396
0,-146.65123,-0.49000316,2.9413793
0,-145.97339,-0.00069329362,3.0794381
0,-146.27434,-0.26467046,2.9794031
0,-146.48192,-0.39089482,2.9567057
0,-145.96428,-0.002706346,3.0741729
0,-146.15853,-0.035656569,3.1235318
0,-146.64072,-0.48392165,2.9422723
0,-146.73034,-0.23481755,3.1841413
0,-146.55037,-0.16768454,3.1687534
0,-149.52657,-1.3941686,3.3268106
0,-145.95352,-0.014960074,3.0597683
0,-148.76382,-1.6394238,2.8224357
0,-148.78639,-1.0770589,3.2975183
0,-149.28155,-1.9111789,2.8015213
0,-146.0317,-0.10020766,3.0199608
0,-147.58117,-0.57266447,3.2399176
0,-146.29565,-0.27797236,2.9767862
0,-148.16751,-0.81566612,3.2699193
0,-147.94778,-1.2057816,2.8597992
0,-147.3004,-0.85460077,2.895383
0,-146.9574,-0.32236653,3.2011906
0,-146.47449,-0.38648311,2.9574308
0,-147.06159,-0.36332621,3.2083617
0,-146.49343,-0.39771462,2.9555928
0,-146.75719,-0.24502443,3.1862767
0,-149.58169,-1.417937,3.3288646
0,-146.60407,-0.18745414,3.1735626
0,-147.0019,-0.68915336,2.914707
0,-146.45718,-0.37617416,2.9591414
0,-145.96834,-0.043109721,3.0422838
0,-146.14132,-0.030776268,3.1207861
0,-147.77675,-0.65308938,3.2504499
0,-146.30144,-0.080321948,3.1429149
0,-148.42795,-0.92516446,3.2819515
0,-146.76699,-0.24876309,3.1870477
0,-147.08492,-0.7354699,2.909083
0,-145.97702,-0.00031717448,3.0811843
0,-146.0095,-0.0015730931,3.0929623
0,-146.67344,-0.50282674,2.9395143
0,-147.86286,-1.1601632,2.8640971
0,-150.93748,-2.0076102,3.3752064
0,-148.64247,-1.5754006,2.8276104
0,-146.9035,-0.63389909,2.9216696
0,-146.15591,-0.034906387,3.1231226
0,-146.56126,-0.17167232,3.1697454
0,-147.07502,-0.72996138,2.9097424
0,-146.03829,-0.10531502,3.0183281
0,-150.02278,-2.2970428,2.7742351
0,-148.93465,-1.7293316,2.8153366
0,-146.04017,-0.0063226548,3.1011295
0,-146.09613,-0.018763117,3.1129058
0,-146.40374,-0.34412873,2.9646143
0,-147.14984,-0.77151304,2.904828
0,-145.97385,-0.00063564879,3.0796673
0,-146.13971,-0.17755057,2.9984813
0,-145.96911,-0.044011026,3.0418412
0,-146.89165,-0.62721668,2.9225319
0,-146.00559,-0.0011465738,3.0917734
0,-147.83412,-1.1446956,2.8655735
0,-146.04588,-0.0074143217,3.1024803
0,-146.06409,-0.011204185,3.1065264
0,-146.00073,-0.00069313196,3.0902295
0,-151.6373,-2.3149814,3.3966436
0,-146.09974,-0.019671809,3.1135775
0,-147.23394,-0.43193445,3.2195207
0,-145.98266,-3.3761955e-05,3.0836433
0,-148.05535,-1.263416,2.8544838
0,-145.95354,-0.016128349,3.0588079
0,-146.62312,-0.19452597,3.1752208
0,-149.12439,-1.8289051,2.8076865
0,-145.96886,-0.04371231,3.0419874
0,-146.54289,-0.16495333,3.1680672
0,-147.38704,-0.90212399,2.8901867
0,-148.00625,-1.2371293,2.8568928
0,-148.28566,-0.86524236,3.2754611
0,-146.50043,-0.40186102,2.9549208
0,-146.37204,-0.10420112,3.1509874
0,-145.9843,-6.4383993e-06,3.0843141
0,-147.16338,-0.77901607,2.9039548
0,-147.2571,-0.4412226,3.2209612
0,-146.82924,-0.59190999,2.9271662
0,-146.38655,-0.10921551,3.1525605
0,-147.3065,-0.46108862,3.223992
0,-151.30268,-2.9569055,2.7324354
0,-146.99313,-0.33636587,3.2036902
0,-146.04308,-0.0068724031,3.1018232
0,-146.38596,-0.33337472,2.9665076
0,-146.02398,-0.0035478696,3.0970408
0,-146.77314,-0.25111047,3.1875288
0,-146.27978,-0.26807957,2.9787263
0,-147.28597,-0.84666197,2.896265
0,-147.79607,-1.1242007,2.8675452
0,-146.34322,-0.094346218,3.1477815
0,-146.98778,-0.33426646,3.2033187
0,-145.95826,-0.029295575,3.0497576
0,-145.9563,-0.0076072978,3.0669597
0,-146.01113,-0.0017662434,3.0934468
0,-146.09708,-0.019001239,3.1130833
0,-145.9571,-0.0067687386,3.0679736
0,-147.83223,-0.6760278,3.2533333
0,-146.18347,-0.042969955,3.1273154
0,-146.40869,-0.11692201,3.1549092
0,-147.89347,-1.1766196,2.8625371
0,-146.03899,-0.10585114,3.0181591
0,-146.50215,-0.40287759,2.9547566
0,-145.97266,-0.047997504,3.0399363
0,-146.03111,-0.004706865,3.098894
0,-147.02364,-0.34835864,3.2057905
0,-146.39069,-0.33624184,2.9659999
0,-146.04678,-0.0075901684,3.1026883
0,-146.02993,-0.0045085119,3.0985945
0,-146.38569,-0.10891704,3.1524679
0,-150.78819,-1.9422733,3.3704423
0,-146.07231,-0.013048309,3.1082436
0,-147.40907,-0.91417281,2.8888911
0,-146.11386,-0.023319894,3.1161294
0,-146.99531,-0.33722196,3.2038414
0,-148.56201,-0.98182388,3.2878978
0,-146.39322,-0.3377686,2.9657304
0,-150.85419,-2.726451,2.7464465
0,-161.85701,-6.9076188,3.6234507
0,-148.03805,-0.76155606,3.2636749
0,-149.76232,-2.1618258,2.7835155
0,-145.96159,-0.03445509,3.046794
0,-147.10451,-0.74635998,2.9077866
0,-146.2963,-0.078623494,3.1422976
0,-147.10714,-0.3813625,3.2113906
0,-147.55695,-0.9947947,2.8804334
0,-147.33548,-0.87386183,2.8932599
0,-146.06842,-0.012166657,3.1074389
0,-146.11702,-0.16211384,3.0023205
0,-151.30525,-2.1689288,3.3866473
0,-150.23853,-2.4087783,2.7667705
0,-146.82491,-0.27096062,3.1915106
0,-146.13757,-0.17610952,2.9988324
0,-146.78853,-0.56876914,2.9302789
0,-146.27483,-0.26497737,2.979342
0,-146.12953,-0.17066329,3.0001727
0,-148.52352,-1.5125039,2.8327974
0,-146.04236,-0.10843409,3.0173505
0,-151.33272,-2.1809961,3.3874857
0,-146.32422,-0.08792926,3.1456031
0,-145.95837,-0.0057059032,3.0693539
0,-147.95632,-0.72751556,3.2596322
0,-150.97026,-2.0219687,3.376243
0,-145.99436,-0.069207245,3.0309214
0,-147.07396,-0.36821943,3.2091907
0,-147.39211,-0.90489511,2.889888
0,-146.23507,-0.058824136,3.1345383
0,-146.55197,-0.1682711,3.1689001
0,-146.12997,-0.02763965,3.1189049
0,-146.0138,-0.085873403,3.0247797
0,-146.15003,-0.18447765,2.9968129
0,-146.65879,-0.49437005,2.9407415
0,-149.89109,-2.2287225,2.778889
0,-145.97087,-0.046014055,3.0408738
0,-146.02387,-0.0035314082,3.0970125
0,-148.62877,-1.5681639,2.8282018
0,-146.08029,-0.01490326,3.1098523
0,-147.1612,-0.7778082,2.9040951
0,-146.4613,-0.37863377,2.9587312
0,-146.15914,-0.035833715,3.1236278
0,-145.95352,-0.015244275,3.0595313
0,-146.582,-0.44978291,2.9473929
0,-147.30842,-0.46186369,3.2241089
0,-149.02421,-1.1784919,3.3073079
0,-145.97189,-0.00090366021,3.0786736
0,-155.14657,-3.8754282,3.4882708
0,-146.06338,-0.01104874,3.1063754
0,-152.50427,-2.6978787,3.4214439
0,-146.46176,-0.13566989,3.1603185
0,-146.56377,-0.43912723,2.9490307
0,-148.79494,-1.0807,3.2978775
0,-147.82919,-1.1420419,2.8658278
0,-146.34978,-0.31135573,2.970482
0,-149.49629,-2.0233099,2.7933286
0,-147.91262,-0.70935794,3.2574371
0,-146.66776,-0.21120354,3.1790157
0,-147.13938,-0.39417345,3.2134988
0,-147.25401,-0.43998169,3.2207696
0,-146.19423,-0.046200326,3.1288833
0,-147.45742,-0.94058632,2.8860806
0,-145.96839,-0.0015560051,3.0767502
0,-146.20727,-0.050174422,3.1307388
0,-149.35768,-1.3214664,3.3204169
0,-145.95616,-0.0077704776,3.066769
0,-147.30888,-0.85925671,2.8948676
0,-149.56442,-1.410491,3.328223
0,-146.02824,-0.0042269141,3.0981579
0,-147.4643,-0.52497465,3.2333198
0,-145.9656,-0.039790703,3.0439545
0,-146.15857,-0.19016684,2.9954659
0,-146.10374,-0.020690781,3.1143125
0,-145.99777,-0.072236905,3.029754
0,-146.58742,-0.45294684,2.9469103
0,-146.70088,-0.51862417,2.9372492
0,-147.1188,-0.75429611,2.9068478
0,-146.51879,-0.15618036,3.1658236
0,-146.11246,-0.022950074,3.1158802
0,-147.79619,-1.1242663,2.8675389
0,-146.00394,-0.077595445,3.0277476
0,-146.64179,-0.2014813,3.1768225
0,-146.12646,-0.16857025,3.0006934
0,-146.57608,-0.17711972,3.1710821
0,-148.03781,-0.76145676,3.2636632
0,-145.97192,-0.047181733,3.0403195
0,-147.06354,-0.36409723,3.2084927
0,-146.77972,-0.25362681,3.1880421
0,-147.24604,-0.43678509,3.2202749
0,-146.01916,-0.09024639,3.0232696
0,-146.46865,-0.13812788,3.1609992
0,-146.17349,-0.040013828,3.1258281
0,-146.17777,-0.041277014,3.1264702
0,-146.09909,-0.14968555,3.0055465
0,-149.5887,-1.4209649,3.329125
0,-146.63555,-0.19915206,3.1762892
0,-147.18448,-0.41214783,3.2163996
0,-146.12327,-0.025823672,3.1177666
0,-146.37761,-0.32831151,2.9674096
0,-149.16196,-1.2374529,3.3128053
0,-146.32519,-0.088254731,3.1457155
0,-146.48864,-0.39487721,2.9560546
0,-145.98347,-1.7459044e-05,3.0839778
0,-146.27393,-0.26441273,2.9794545
0,-145.95451,-0.010371439,3.0639635
0,-146.53822,-0.16324863,3.167636
0,-146.21012,-0.2238809,2.9878671
0,-145.96997,-0.045001584,3.0413601
0,-146.17462,-0.040345344,3.1259976
0,-149.28052,-1.2883122,3.3174429
0,-151.16055,-2.1054017,3.3821944
0,-145.97289,-0.00076018537,3.0791838
0,-148.62406,-1.5656733,2.8284057
0,-145.95903,-0.030570772,3.0490023
0,-146.17847,-0.041483599,3.1265742
0,-146.41439,-0.1189194,3.1555052
0,-147.11624,-0.75287517,2.9070156
0,-146.4734,-0.13982453,3.1614656
0,-147.70467,-1.074861,2.872367
0,-146.0367,-0.10408858,3.0187165
0,-146.75891,-0.24568041,3.1864124
0,-146.09193,-0.017720377,3.1121146
0,-148.01584,-0.75229561,3.2625842
0,-146.32245,-0.087333545,3.1453969
0,-145.98237,-0.057996383,3.0354808
0,-146.00284,-0.076654695,3.0280947
0,-147.1983,-0.41766699,3.2172776
0,-146.25146,-0.25026965,2.9823115
0,-146.96056,-0.32360514,3.2014139
0,-146.37194,-0.32486937,2.9680268
0,-146.48861,-0.14528187,3.1629467
0,-149.29875,-1.2961392,3.3181484
0,-146.34444,-0.094762319,3.1479202
0,-147.21622,-0.42483485,3.2184092
0,-146.0404,-0.10693456,3.0178187
0,-149.50916,-2.0300246,2.7928453
0,-145.95442,-0.020836373,3.0552522
0,-145.95467,-0.010027095,3.0643129
0,-146.28753,-0.27291678,2.9777733
0,-145.96125,-0.033970934,3.0470622
0,-146.89236,-0.29702762,3.196524
0,-146.19785,-0.21595042,2.9896
0,-146.75536,-0.24432998,3.1861328
0,-146.98253,-0.67830626,2.9160512
0,-149.72722,-1.4807802,3.3342137
0,-146.18476,-0.043354183,3.1275049
0,-148.59231,-0.9946553,3.2892204
0,-147.07011,-0.72722284,2.9100712
0,-147.77435,-0.65209723,3.2503241
0,-146.26193,-0.25687687,2.980967
0,-148.09659,-1.2854678,2.8524822
0,-145.95561,-0.0084657958,3.0659781
0,-147.99563,-0.74387439,3.2615865
0,-147.11194,-0.38326652,3.2117062
0,-146.98926,-0.33484797,3.2034217
0,-146.58068,-0.17881344,3.1714935
0,-154.67541,-3.6645092,3.4771388
0,-147.19277,-0.41545799,3.2169269
0,-150.0185,-1.6069267,3.3446188
0,-146.0069,-0.0012839579,3.0921774
0,-149.20953,-1.873497,2.8043282
0,-147.37188,-0.48748545,3.2279199
0,-146.12614,-0.026598452,3.118257
0,-146.24878,-0.24857046,2.9826601
0,-146.06782,-0.012030139,3.1073118
0,-145.9553,-0.023325579,3.053535
0,-147.27385,-0.44795211,3.2219953
0,-146.5568,-0.43504636,2.9496632
0,-147.93356,-1.1981495,2.8605125
0,-145.95507,-0.02273508,3.0539337
0,-146.81,-0.2652293,3.1903763
0,-146.09978,-0.019683145,3.1135858
0,-147.0438,-0.35630348,3.207162
0,-146.25079,-0.24984192,2.9823991
0,-146.54222,-0.42648746,2.9509994
0,-149.63576,-1.441272,3.3308644
0,-147.94951,-0.72468324,3.2592916
0,-146.18467,-0.043329114,3.1274926
0,-151.09622,-2.0771799,3.3801947
0,-146.11363,-0.15978274,3.0029159
0,-147.52192,-0.54845216,3.2366038
0,-147.00135,-0.33959454,3.2042593
0,-145.96321,-0.0031005415,3.0734228
0,-147.0205,-0.34712344,3.2055759
0,-147.42094,-0.50735883,3.2308073
0,-146.00881,-0.0014940874,3.0927555
0,-146.07404,-0.01344523,3.108597
0,-146.84224,-0.59927791,2.9261879
0,-147.12901,-0.7599649,2.9061803
0,-146.0262,-0.095883642,3.0213759
0,-149.56138,-2.0572411,2.7908945
0,-146.42922,-0.35945212,2.9619669
0,-147.72436,-0.63147781,3.2476867
0,-146.80748,-0.57954987,2.928821
0,-147.06718,-0.36553702,3.2087369
0,-146.53278,-0.42094088,2.9518725
0,-145.95541,-0.0087598183,3.0656535
0,-145.96925,-0.044176013,3.0417607
0,-146.1731,-0.19977704,2.9932356
0,-149.21051,-1.8740103,2.8042897
0,-151.04786,-2.8260576,2.7403208
0,-147.0503,-0.35886847,3.2076015
0,-146.08297,-0.13830273,3.0086208
0,-146.11879,-0.024623422,3.1169922
0,-145.96112,-0.0040227822,3.071836
0,-147.95784,-0.72814752,3.2597081
0,-146.0884,-0.01685296,3.1114385
0,-145.95947,-0.004952024,3.0704127
0,-151.13682,-2.0949877,3.3814581
0,-147.97974,-0.73726216,3.2607992
0,-147.55513,-0.99380507,2.8805351
0,-146.01238,-0.0019196325,3.093813
0,-146.29272,-0.077439104,3.1418631
0,-150.48567,-1.81015,3.360557
0,-146.11229,-0.15885966,3.0031529
0,-146.33259,-0.30081135,2.972435
0,-146.71697,-0.229752,3.1830643
0,-145.95352,-0.015122141,3.0596328
0,-146.14348,-0.18008878,2.9978662
0,-146.22721,-0.056354761,3.1334839
0,-147.22866,-0.42981985,3.2191906
0,-146.21498,-0.22700832,2.9871922
0,-147.05844,-0.72072321,2.9108539
0,-146.21245,-0.22538014,2.9875429
0,-146.45838,-0.13446387,3.1599823
0,-146.30706,-0.082189868,3.1435864
0,-146.85535,-0.28269564,3.1937961
0,-146.03197,-0.0048543696,3.0991126
0,-150.02577,-1.610082,3.3448737
0,-146.93767,-0.65313147,2.9192129
0,-146.23046,-0.23692488,2.9850823
0,-145.96367,-0.0029226801,3.073755
0,-149.67775,-1.4594069,3.3324074
0,-147.65538,-0.60309546,3.2439848
0,-145.97415,-0.00059973002,3.0798154
0,-146.06588,-0.12597073,3.0120979
0,-146.11011,-0.15735113,3.0035416
0,-145.98492,-1.759096e-06,3.0845623
0,-145.96307,-0.036508116,3.045677
0,-146.4427,-0.36752882,2.9605942
0,-146.20614,-0.22131138,2.9884251
0,-148.19717,-0.82809596,3.2713242
0,-146.47627,-0.14085342,3.161747
0,-146.10452,-0.020890348,3.1144543
0,-147.71284,-0.62672886,3.2470732
0,-146.29539,-0.078320774,3.1421868
0,-146.60644,-0.18833332,3.1737704
0,-147.20272,-0.41943515,3.2175576
0,-150.07332,-2.3232369,2.7724692
0,-146.44855,-0.13097092,3.1589998
0,-145.95713,-0.027263328,3.0509961
0,-147.2365,-0.43295979,3.2196805
0,-146.57254,-0.17581538,3.1707639
0,-147.5917,-0.57697622,3.2405004
0,-146.93092,-0.64934095,2.9196942
0,-146.21935,-0.053904618,3.1324146
