# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# start_datetime = 2026-05-28 22:05:51 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 10
#     adapt
#       engaged = false
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100/stan_data.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100/fixed_eta_grid/grad_samples_1/eta_10p0/output.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100/fixed_eta_grid/grad_samples_1/eta_10p0/diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=1dgaussian.stan
lp__,log_p__,log_g__,mu
0,0,0,3.0861731
0,-146.37252,-0.40438743,3.1510406
0,-146.09637,-0.068916195,3.1129518
0,-146.15156,-0.12637154,3.1224352
0,-147.59926,-2.3013013,3.2409176
0,-145.97611,-0.22074513,3.0382468
0,-146.06869,-0.043690577,3.1074948
0,-146.03247,-0.42382324,3.019765
0,-145.95936,-0.13502232,3.0486904
0,-145.95558,-0.039390191,3.0659279
0,-146.69364,-0.86713082,3.1811616
0,-146.05383,-0.49075279,3.0147136
0,-146.31519,-0.32748128,3.1445474
0,-146.5978,-1.8885134,2.9459923
0,-148.24813,-3.3802187,3.2737161
0,-146.03597,-0.018666753,3.1001099
0,-145.95356,-0.073435014,3.0585304
0,-146.10232,-0.63398857,3.0049519
0,-146.12858,-0.10149938,3.1186714
0,-146.10655,-0.078881358,3.1148225
0,-146.55986,-0.66919825,3.1696192
0,-145.95358,-0.062755482,3.0606194
0,-145.98694,-6.4296245e-05,3.0853552
0,-146.27567,-1.0989778,2.9792373
0,-145.96109,-0.019830408,3.0718085
0,-146.22061,-0.95634583,2.9864178
0,-146.04574,-0.025453553,3.1024474
0,-145.95352,-0.069651571,3.0592519
0,-146.17558,-0.15352145,3.1261412
0,-146.10648,-0.078816751,3.1148108
0,-145.95511,-0.042461633,3.0651534
0,-145.97958,-0.23547978,3.0366731
0,-145.97288,-0.0046977413,3.0791816
0,-146.05228,-0.48600502,3.0150601
0,-148.19139,-3.2848376,3.2710512
0,-146.19275,-0.88272871,2.9903341
0,-147.5827,-2.2741646,3.2400025
0,-146.16856,-0.81784369,2.9939237
0,-145.96099,-0.020053368,3.0717279
0,-146.01604,-0.0072587317,3.0948639
0,-146.25903,-1.0562405,2.9813372
0,-146.05246,-0.48654759,3.0150204
0,-145.95926,-0.024460795,3.0702193
0,-146.0087,-0.0041205848,3.0927211
0,-146.04475,-0.024739148,3.1022174
0,-146.07009,-0.044892864,3.1077862
0,-146.73448,-0.92864955,3.1844733
0,-146.00584,-0.33476441,3.0271532
0,-146.0594,-0.50776971,3.0134852
0,-146.02185,-0.010186506,3.0964685
0,-146.6964,-0.87126833,3.1813879
0,-146.31513,-0.32739978,3.1445401
0,-145.97803,-0.22896338,3.0373628
0,-146.02648,-0.40441098,3.0213037
0,-146.24227,-0.23376729,3.1354928
0,-145.97368,-0.21005119,3.0394221
0,-145.96185,-0.018189375,3.0724157
0,-146.70425,-0.8830713,3.1820307
0,-146.77375,-0.98821355,3.1875768
0,-147.14356,-1.5646698,3.2137699
0,-146.02436,-0.011559848,3.0971405
0,-146.27842,-0.27957109,3.1401086
0,-146.28638,-0.28983455,3.1410897
0,-147.79175,-2.6183554,3.2512335
0,-146.14521,-0.75418331,2.9975867
0,-146.41729,-0.46599516,3.1558068
0,-146.97791,-1.3034021,3.2026307
0,-145.95784,-0.029004815,3.0688006
0,-145.95715,-0.11907681,3.0509731
0,-146.09086,-0.063664162,3.1119112
0,-146.0816,-0.055081727,3.1101136
0,-146.18451,-0.16388372,3.127468
0,-145.95373,-0.058207384,3.0615628
0,-145.98168,-0.00083009124,3.0832342
0,-146.09645,-0.068988047,3.1129657
0,-146.50476,-0.58954769,3.1644959
0,-145.96226,-0.017378044,3.072726
0,-146.01905,-0.3799065,3.0232997
0,-146.30401,-1.1711676,2.975781
0,-146.45097,-0.51311697,3.1592427
0,-146.14228,-0.11617796,3.120942
0,-146.26106,-0.25740329,3.1379261
0,-145.95353,-0.071488087,3.0588993
0,-146.91643,-1.2076052,3.1982693
0,-146.30191,-0.31003671,3.1429714
0,-146.00625,-0.33618046,3.0270285
0,-146.54579,-0.64873242,3.1683333
0,-146.12652,-0.70239682,3.0006822
0,-146.32323,-0.33811343,3.1454874
0,-145.96762,-0.18154405,3.0427101
0,-146.11008,-0.082411159,3.1154565
0,-147.41294,-1.9974351,3.2303398
0,-146.60462,-0.73475359,3.1736109
0,-146.84336,-1.0946979,3.1929004
0,-145.99768,-0.00089269859,3.0892209
0,-146.04229,-0.45498486,3.017367
0,-146.00506,-0.0028390566,3.0916083
0,-147.07669,-1.4586821,3.2093726
0,-146.67648,-0.84142062,3.1797428
0,-146.47982,-0.55393816,3.1620936
0,-145.95665,-0.11501762,3.0515783
0,-147.23039,-3.3415597,2.8997056
0,-146.01813,-0.0082681544,3.0954485
0,-145.9651,-0.16863788,3.0442835
0,-145.99297,-0.0001933583,3.0875915
0,-146.4199,-0.46962473,3.1560774
0,-146.18899,-0.16913986,3.128125
0,-145.99218,-0.28523332,3.0316942
0,-146.14643,-0.75753898,2.9973899
0,-146.50388,-0.58828925,3.1644122
0,-146.36083,-1.3138514,2.9692496
0,-146.28152,-0.28355843,3.1404919
0,-146.25934,-0.25522459,3.1377066
0,-146.19223,-0.88134426,2.9904093
0,-146.01269,-0.35844406,3.0251015
0,-146.08583,-0.058962068,3.1109425
0,-145.96536,-0.012234169,3.0748903
0,-145.95385,-0.055776391,3.0620822
0,-145.95961,-0.13669026,3.0484596
0,-146.12623,-0.099018014,3.1182717
0,-145.95407,-0.052369702,3.0628295
0,-145.9668,-0.010336982,3.075802
0,-145.95361,-0.061648225,3.0608458
0,-146.12685,-0.099668491,3.1183769
0,-146.84653,-2.4697187,2.9258662
0,-147.03321,-1.3901425,3.2064433
0,-146.0633,-0.03915481,3.1063577
0,-145.95474,-0.045387824,3.0644412
0,-146.58475,-0.70555674,3.1718561
0,-147.24901,-1.7330407,3.2204598
0,-146.15921,-0.13490172,3.1236391
0,-147.06143,-1.4346007,3.2083514
0,-145.97413,-0.0038958208,3.0798062
0,-146.79757,-1.0245281,3.1894232
0,-147.46945,-2.0892519,3.233616
0,-146.5362,-0.63483617,3.1674485
0,-146.59957,-1.8927093,2.9458367
0,-146.10418,-0.076528889,3.1143921
0,-146.02692,-0.013026148,3.0978153
0,-145.96461,-0.01332885,3.0743964
0,-146.41149,-0.45793908,3.1552022
0,-146.09008,-0.062928048,3.1117619
0,-146.12005,-0.092582562,3.1172111
0,-146.64018,-0.78733297,3.1766854
0,-145.95453,-0.093467933,3.0549871
0,-145.9653,-0.16970439,3.0441513
0,-146.03427,-0.017551486,3.0996871
0,-146.12161,-0.094204497,3.1174818
0,-145.99266,-0.28701847,3.0315239
0,-146.02525,-0.40038816,3.0216271
0,-146.29432,-0.30014436,3.1420579
0,-146.29736,-0.30410089,3.142425
0,-146.92557,-1.2218074,3.1989266
0,-145.9691,-0.0078141498,3.0771559
0,-146.16356,-0.13979457,3.1243125
0,-145.96017,-0.022019329,3.0710364
0,-146.00035,-0.31524946,3.0288993
0,-146.10793,-0.64999082,3.0039333
0,-146.27137,-0.27052833,3.1392291
0,-146.06263,-0.51752559,3.0127903
0,-146.06795,-0.043056218,3.1073395
0,-145.95361,-0.061565713,3.0608628
0,-145.96148,-0.018973522,3.0721223
0,-145.96776,-0.0092127272,3.0763822
0,-146.4939,-0.57401572,3.1634572
0,-146.88752,-1.162811,3.1961707
0,-145.95711,-0.031791498,3.0679851
0,-146.30415,-0.3129719,3.1432396
0,-145.9846,-0.25591341,3.0345701
0,-145.97553,-0.21825272,3.0385181
0,-146.28324,-1.1183366,2.9782996
0,-146.11377,-0.66655235,3.0028922
0,-146.73362,-2.2079425,2.9345999
0,-145.95701,-0.11793665,3.0511421
0,-145.99003,-1.1922372e-05,3.0865253
0,-145.9693,-0.0076226951,3.0772671
0,-146.14159,-0.74420605,2.9981746
