# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 100
#     elbo_samples = 100 (Default)
#     eta = 0.01
#     adapt
#       engaged = false
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100/stan_data.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100/fixed_eta_grid/grad_samples_100/eta_0p01/output.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100/fixed_eta_grid/grad_samples_100/eta_0p01/diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# iter,time_in_seconds,ELBO
100,0.002,-496.90946
200,0.004,-445.29628
300,0.006,-433.3044
400,0.008,-445.58582
500,0.01,-415.80726
600,0.012,-422.01613
700,0.014,-375.51521
800,0.016,-410.45179
900,0.019,-384.15249
1000,0.021,-364.26047
1100,0.023,-357.95885
1200,0.025,-362.19427
1300,0.028,-354.45342
1400,0.03,-347.31895
1500,0.032,-328.78368
1600,0.034,-329.29186
1700,0.036,-335.14527
1800,0.038,-326.9447
1900,0.041,-313.86971
2000,0.043,-311.43203
2100,0.045,-319.61259
2200,0.047,-297.80381
2300,0.049,-306.45253
2400,0.051,-311.09325
2500,0.054,-302.96381
2600,0.056,-299.16089
2700,0.058,-295.7455
2800,0.06,-294.96631
2900,0.062,-280.03679
3000,0.064,-284.5955
3100,0.067,-281.61008
3200,0.069,-275.396
3300,0.071,-267.2528
3400,0.073,-275.17311
3500,0.075,-267.18551
3600,0.077,-268.90862
3700,0.079,-265.38525
3800,0.081,-269.10339
3900,0.083,-255.01925
4000,0.085,-253.54758
4100,0.088,-249.10082
4200,0.09,-243.98611
4300,0.092,-240.46937
4400,0.094,-246.80084
4500,0.096,-244.00866
4600,0.098,-240.78802
4700,0.1,-245.25592
4800,0.102,-237.18216
4900,0.104,-235.47434
5000,0.106,-230.20336
5100,0.108,-228.63235
5200,0.11,-223.24185
5300,0.113,-223.41307
5400,0.115,-229.09724
5500,0.117,-221.06569
5600,0.119,-218.66519
5700,0.121,-222.99559
5800,0.123,-219.53114
5900,0.125,-221.48857
6000,0.127,-213.47877
6100,0.129,-216.07629
6200,0.132,-209.34392
6300,0.134,-213.65432
6400,0.136,-211.20936
6500,0.138,-207.90686
6600,0.14,-204.27212
6700,0.142,-204.1328
6800,0.144,-206.44715
6900,0.146,-202.06823
7000,0.148,-200.36576
7100,0.151,-200.51023
7200,0.153,-196.5711
7300,0.155,-196.74037
7400,0.157,-194.0404
7500,0.159,-194.97232
7600,0.161,-198.44539
