# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# start_datetime = 2026-05-28 22:05:51 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 100
#     elbo_samples = 100 (Default)
#     eta = 0.1
#     adapt
#       engaged = false
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100/stan_data.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100/fixed_eta_grid/grad_samples_100/eta_0p1/output.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100/fixed_eta_grid/grad_samples_100/eta_0p1/diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=1dgaussian.stan
lp__,log_p__,log_g__,mu
0,0,0,3.060292
0,-145.95509,-0.0020113405,3.0538837
0,-145.95357,-3.1870749e-06,3.0605471
0,-148.78154,-2.7883531,2.8216894
0,-146.70561,-0.74615801,2.9368632
0,-146.27733,-0.31096463,3.1399734
0,-147.49426,-1.5227001,2.8839692
0,-148.13502,-2.1205469,3.2683696
0,-149.22958,-3.2285924,2.8035435
0,-146.53359,-0.57652193,2.9517972
0,-146.51164,-0.53851237,3.1651495
0,-146.17514,-0.21195453,3.1260764
0,-146.18294,-0.21950368,3.1272377
0,-146.01529,-0.063259745,3.0243531
0,-146.81923,-0.85814209,2.9279247
0,-146.07742,-0.12524523,3.0097233
0,-146.40478,-0.43467275,3.1544989
0,-145.97836,-0.022639165,3.0817917
0,-146.28786,-0.33383615,2.9777324
0,-146.37296,-0.4037747,3.1510889
0,-146.16462,-0.20177419,3.1244771
0,-146.58478,-0.60962853,3.1718586
0,-147.47681,-1.4785171,3.2340379
0,-146.04923,-0.097168182,3.0157507
0,-145.96179,-0.0071410636,3.0723669
0,-145.96985,-0.01742904,3.0414278
0,-146.08446,-0.13224724,3.008329
0,-146.03453,-0.076263003,3.0997521
0,-146.18074,-0.22780615,2.9920921
0,-145.99465,-0.042539355,3.0308209
0,-145.95355,-0.00013764043,3.0586156
0,-146.24404,-0.29048078,2.9832797
0,-146.0363,-0.08426107,3.0188143
0,-146.90509,-0.92137869,3.1974498
0,-145.97206,-0.019679305,3.040247
0,-146.40496,-0.44955427,2.9644861
0,-146.27591,-0.30958641,3.1397966
0,-146.77803,-0.79766324,3.1879098
0,-146.16675,-0.21393807,2.9942006
0,-146.31868,-0.36430875,2.9740466
0,-146.07538,-0.12320778,3.0101363
0,-147.0937,-1.1050991,3.2105031
0,-146.24946,-0.29584835,2.9825715
0,-148.00359,-1.9923157,3.2619802
0,-147.86279,-1.8852018,2.8641005
0,-148.53885,-2.5146493,3.2868817
0,-146.25317,-0.28753731,3.1369131
0,-145.95697,-0.00276793,3.0678096
0,-147.66762,-1.6932398,2.8743573
0,-151.03753,-5.0042599,2.7406446
0,-145.9658,-0.013275314,3.0438285
0,-146.36166,-0.40678279,2.9691576
0,-146.49343,-0.52081241,3.1634118
0,-146.20347,-0.25031585,2.988802
0,-146.21824,-0.25368831,3.132262
