# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# start_datetime = 2026-05-28 22:05:51 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 100
#     elbo_samples = 100 (Default)
#     eta = 10
#     adapt
#       engaged = false
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100/stan_data.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100/fixed_eta_grid/grad_samples_100/eta_10p0/output.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100/fixed_eta_grid/grad_samples_100/eta_10p0/diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=1dgaussian.stan
lp__,log_p__,log_g__,mu
0,0,0,3.2222242
0,-147.1664,-0.0020113405,3.2152428
0,-147.2821,-3.1870749e-06,3.2225022
0,-146.42614,-2.7883531,2.9622833
0,-145.99344,-0.74615801,3.0877571
0,-149.06708,-0.31096463,3.3090316
0,-145.99665,-1.5227001,3.0301328
0,-153.53621,-2.1205469,3.4489103
0,-146.63789,-3.2285924,2.9425146
0,-146.05265,-0.57652193,3.1040266
0,-149.78916,-0.53851237,3.3364591
0,-148.70072,-0.21195453,3.2938917
0,-148.73045,-0.21950368,3.2951569
0,-146.71706,-0.063259745,3.1830713
0,-145.97066,-0.85814209,3.0780192
0,-146.5328,-0.12524523,3.1671331
0,-149.4745,-0.43467275,3.3248561
0,-147.68618,-0.022639165,3.2456466
0,-146.21838,-0.33383615,3.1322812
0,-149.37661,-0.4037747,3.3211411
0,-148.66003,-0.20177419,3.2921494
0,-149.99428,-0.60962853,3.3437682
0,-152.14955,-1.4785171,3.4115083
0,-146.60563,-0.097168182,3.1736995
0,-147.5003,-0.0071410636,3.235379
0,-146.96425,-0.01742904,3.201673
0,-146.51656,-0.13224724,3.1656141
0,-148.06958,-0.076263003,3.2652133
0,-146.34449,-0.22780615,3.1479251
0,-146.80662,-0.042539355,3.1901175
0,-147.24802,-0.00013764043,3.2203979
0,-146.2642,-0.29048078,3.1383247
0,-146.64431,-0.08426107,3.1770372
0,-150.82576,-0.92137869,3.3716481
0,-146.94604,-0.019679305,3.2003866
0,-146.12376,-0.44955427,3.1178503
0,-149.06227,-0.30958641,3.308839
0,-150.50671,-0.79766324,3.3612549
0,-146.36506,-0.21393807,3.1502222
0,-146.18996,-0.36430875,3.1282658
0,-146.53765,-0.12320778,3.1675831
0,-151.27981,-1.1050991,3.3858688
0,-146.25814,-0.29584835,3.1375531
0,-153.26755,-1.9923157,3.4419495
0,-146.08365,-1.8852018,3.0084872
0,-154.34197,-2.5146493,3.4690779
0,-148.98443,-0.28753731,3.3056976
0,-147.41421,-0.00276793,3.2304141
0,-146.03289,-1.6932398,3.0196613
0,-147.67441,-5.0042599,2.8739906
0,-147.00177,-0.013275314,3.2042883
0,-146.15475,-0.40678279,3.1229396
0,-149.7369,-0.52081241,3.3345661
0,-146.31343,-0.25031585,3.1443408
0,-148.86095,-0.25368831,3.3006306
0,-146.35482,-0.22074418,3.1490858
0,-149.21749,-0.35510331,3.314988
0,-147.92904,-0.053601272,3.2582645
0,-149.40439,-0.41247208,3.3222008
0,-149.86151,-0.5633045,3.3390591
0,-146.04474,-1.7415987,3.016789
0,-146.30164,-2.5005398,2.9760641
0,-146.56407,-0.1125484,3.1700002
0,-146.0281,-1.6729186,3.0208804
0,-147.49269,-0.006678053,3.2349454
0,-149.78996,-0.53878657,3.3364882
0,-150.72928,-0.88347213,3.3685421
0,-146.25591,-0.29785884,3.1372659
0,-149.54644,-0.45781685,3.3275529
0,-150.23323,-0.69556206,3.3520524
0,-150.22789,-0.69360925,3.35187
0,-146.41993,-2.7746352,2.9629235
0,-146.85386,-0.033611305,3.1936849
0,-147.72711,-0.027062085,3.2478326
0,-147.4992,-0.0070729488,3.2353161
0,-145.95354,-1.084202,3.0601343
0,-147.06626,-0.0075750779,3.2086756
0,-151.2607,-1.0971983,3.3852827
0,-148.53595,-0.17183892,3.2867542
0,-147.42999,-0.0034255252,3.2313352
0,-147.9583,-0.058052437,3.2597311
0,-147.20714,-0.00079422727,3.2178372
0,-151.54859,-1.2176783,3.3940021
0,-148.83332,-0.24631047,3.299482
0,-146.69599,-0.068929895,3.1813542
0,-148.8107,-0.24032532,3.2985376
0,-146.56517,-0.11211822,3.1701001
0,-147.62639,-0.016809071,3.2424066
0,-152.83146,-1.7879108,3.430373
0,-146.38801,-0.1993692,3.152717
0,-147.94978,-0.056741196,3.2593051
0,-147.13437,-0.0033808142,3.2131729
0,-151.80669,-1.3282283,3.4016304
0,-145.98848,-0.76642156,3.0859434
0,-147.34484,-0.00068771683,3.2263066
0,-146.80588,-0.042689282,3.190061
0,-145.95395,-1.1325877,3.056557
0,-147.48728,-0.0063579257,3.2346367
0,-147.17058,-0.0018595403,3.2155114
0,-147.78221,-0.033545186,3.2507355
