# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# start_datetime = 2026-05-28 22:05:51 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 100
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = false
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100/stan_data.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100/fixed_eta_grid/grad_samples_100/eta_1p0/output.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100/fixed_eta_grid/grad_samples_100/eta_1p0/diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=1dgaussian.stan
lp__,log_p__,log_g__,mu
0,0,0,3.0901623
0,-146.38374,-0.82007972,2.9667466
0,-146.13396,-0.44323431,2.9994306
0,-146.00657,-0.00019667858,3.0920736
0,-145.95469,-0.067893105,3.0546519
0,-146.56332,-0.34260828,3.1699327
0,-145.95352,-0.050760776,3.0594575
0,-146.99598,-0.69634884,3.2038874
0,-146.49655,-0.97936431,2.9552925
0,-146.59457,-0.36702649,3.1727265
0,-146.05622,-0.31082575,3.014182
0,-145.95372,-0.044108553,3.0615401
0,-146.31019,-0.71349079,2.975046
0,-146.01278,-0.00076389731,3.093929
0,-146.11301,-0.40880125,3.0030261
0,-147.32452,-0.98011921,3.2250841
0,-146.74453,-1.3175622,2.9337294
0,-146.46203,-0.26520199,3.1603452
0,-146.87923,-1.4965545,2.9234419
0,-146.23126,-0.5957161,2.9849753
0,-146.73063,-1.2989236,2.9348398
0,-148.23916,-3.2174644,2.845707
0,-145.95372,-0.044080228,3.0615493
0,-147.46881,-1.1074305,3.2335794
0,-145.96343,-0.10776822,3.0454232
0,-145.95981,-0.020350893,3.0707206
0,-145.96721,-0.0107216,3.0760509
0,-145.97893,-0.0035456132,3.0820473
0,-146.19461,-0.53945045,2.990066
0,-147.42996,-1.0730109,3.2313331
0,-146.05293,-0.30486711,3.0149138
0,-146.6605,-1.2044111,2.9405973
0,-146.95288,-0.65990068,3.2008711
0,-146.11498,-0.036859021,3.116327
0,-146.00512,-0.21224117,3.0273771
0,-145.96239,-0.016186686,3.0728234
0,-147.13637,-0.81642723,3.213303
0,-146.11586,-0.037293009,3.1164806
0,-146.04459,-0.0077751035,3.1021793
0,-145.99318,-0.00033562995,3.0876656
0,-147.12804,-0.80925183,3.2127606
0,-145.95493,-0.034587481,3.0648168
0,-146.13613,-0.44674885,2.9990716
0,-146.55863,-1.0653445,2.9494968
0,-146.54132,-0.32555875,3.1679225
0,-146.84686,-1.4537826,2.9258416
0,-146.16189,-0.48809586,2.9949496
0,-145.96193,-0.10250169,3.04653
0,-145.96622,-0.01166617,3.0754424
0,-146.42834,-0.24014377,3.1569472
0,-146.36493,-0.1941207,3.1502076
0,-146.33698,-0.17437685,3.1470721
0,-146.25942,-0.1217538,3.137716
0,-146.17559,-0.069702748,3.1261429
0,-147.12919,-1.8227265,2.9061685
0,-146.75787,-1.3354089,2.9326735
0,-145.97443,-0.0056119829,3.0799529
0,-146.39179,-0.2134216,3.1531219
0,-146.08948,-0.024852829,3.1116471
0,-146.44301,-0.90431923,2.9605628
0,-146.71586,-1.279098,2.9360297
0,-145.97622,-0.14540005,3.0381957
0,-146.97983,-0.68266657,3.2027646
0,-146.44839,-0.91189201,2.9600213
0,-147.60381,-1.227725,3.241168
0,-146.09546,-0.37935109,3.0062234
0,-146.10953,-0.40301207,3.0036453
0,-146.15908,-0.060265411,3.1236185
0,-147.11365,-1.8026291,2.9071856
0,-146.15794,-0.059623557,3.1234399
0,-146.66046,-1.2043538,2.9406009
0,-146.06145,-0.0134379,3.1059606
0,-146.76116,-0.50062531,3.1865894
0,-146.45051,-0.25658818,3.159196
0,-146.48726,-0.28420212,3.1628158
0,-148.98949,-4.1330121,2.813101
0,-145.97693,-0.0043795841,3.0811433
0,-147.08582,-0.77297256,3.2099811
0,-146.62028,-1.1497715,2.9440293
0,-146.01865,-0.2398992,3.0234115
0,-146.01132,-0.22509725,3.0255035
0,-145.95563,-0.074350407,3.0530016
0,-146.0097,-0.22177409,3.0259826
0,-145.96155,-0.017409049,3.0721807
0,-146.08328,-0.022144744,3.1104428
0,-145.95352,-0.050782924,3.0594508
0,-146.28188,-0.13662774,3.140537
0,-146.30945,-0.15530971,3.1438707
0,-146.09397,-0.0268639,3.1124995
0,-146.89288,-0.60953166,3.1965621
0,-146.62906,-1.1617281,2.9432714
0,-145.97887,-0.0035700602,3.0820194
0,-146.10814,-0.033506887,3.1151088
0,-146.18999,-0.53226856,2.9907345
0,-146.01507,-0.0010545526,3.094588
0,-148.45318,-2.0038784,3.2830828
0,-146.70039,-0.45128985,3.1817149
0,-146.10495,-0.031978358,3.1145332
0,-146.39778,-0.84016002,2.9652447
0,-146.06542,-0.014918071,3.1068079
0,-146.4063,-0.22396458,3.1546583
0,-146.04917,-0.0092079074,3.1032398
0,-146.64856,-1.1882241,2.9416058
0,-146.0919,-0.025932616,3.1121089
0,-146.00773,-0.0002764982,3.0924285
0,-146.09691,-0.028210603,3.1130525
0,-145.95445,-0.037334395,3.0638295
0,-146.01218,-0.22686683,3.0252499
0,-146.23025,-0.10296661,3.1338935
0,-146.96871,-1.6141126,2.9170175
0,-146.05198,-0.010126499,3.1038766
0,-146.03794,-0.27717858,3.0184122
0,-146.03181,-0.26555408,3.0199329
0,-147.18112,-1.8896913,2.9028191
0,-146.73502,-0.47932951,3.1845162
0,-146.1461,-0.46285953,2.9974437
0,-147.26421,-0.92733724,3.2214009
0,-146.39649,-0.21682429,3.1536218
0,-145.95687,-0.081265614,3.0513119
0,-148.2649,-3.2491478,2.8445063
0,-146.25363,-0.11797463,3.1369722
0,-146.25898,-0.1214695,3.1376604
0,-146.78344,-0.51887233,3.188331
0,-146.03038,-0.26281899,3.0202955
0,-145.9536,-0.046344321,3.0608236
0,-146.47646,-0.95130746,2.9572384
0,-147.53125,-1.1629384,3.2371297
0,-147.66012,-1.2782117,3.2442415
0,-145.9752,-0.0052084853,3.0803268
0,-146.24696,-0.11365566,3.1361073
0,-146.06344,-0.014174868,3.106388
0,-146.45291,-0.25838275,3.159437
0,-148.59069,-2.1319003,3.28915
0,-145.96733,-0.12037068,3.0428796
0,-146.0215,-0.0020774197,3.096374
0,-147.74123,-1.3512215,3.2485808
0,-145.95505,-0.033978275,3.065041
0,-145.96801,-0.01000531,3.0765304
0,-146.0241,-0.0025710402,3.0970726
0,-146.2339,-0.5997334,2.9846212
0,-146.05126,-0.30183363,3.0152891
0,-148.60912,-2.1490978,3.289951
0,-147.24692,-0.9122617,3.2203298
0,-147.25115,-1.9796474,2.8984118
0,-145.97085,-0.0078048392,3.0781224
0,-146.02192,-0.24637406,3.0225167
0,-145.98212,-0.0024481443,3.0834192
0,-146.94889,-0.65654109,3.2005889
0,-145.95728,-0.08331403,3.0508253
0,-146.29659,-0.69347771,2.976672
0,-145.95378,-0.043313984,3.061799
0,-146.73905,-1.3102206,2.9341658
0,-148.22388,-1.7916551,3.2725812
0,-145.95628,-0.029055058,3.0669321
0,-147.44046,-1.0823011,3.2319429
0,-145.95733,-0.025880005,3.0682381
0,-146.86729,-0.58818232,3.1946822
0,-146.2524,-0.11717612,3.1368135
0,-146.1011,-0.38888897,3.0051748
0,-145.9537,-0.044414761,3.0614409
0,-146.27646,-0.13300984,3.1398656
0,-145.95842,-0.088583899,3.0496003
0,-146.38625,-0.2094166,3.1525284
0,-146.06896,-0.33355586,3.0114529
0,-145.97696,-0.0043665647,3.0811567
0,-145.97753,-0.0041188563,3.0814159
0,-146.29885,-0.14807063,3.1426041
0,-146.25956,-0.12184614,3.137734
0,-147.26604,-0.9289332,3.2215138
0,-145.96202,-0.10282982,3.0464603
0,-146.81887,-1.4166782,2.9279521
0,-147.04031,-0.73405145,3.2069255
0,-147.75187,-1.3608182,3.2491424
0,-146.84904,-0.57301594,3.1933258
0,-146.61657,-1.1447199,2.9443507
0,-146.18488,-0.075154665,3.1275235
0,-146.04114,-0.0067535844,3.1013621
0,-145.95389,-0.060092768,3.0567541
0,-147.30861,-2.0531659,2.8948837
0,-145.97272,-0.0065923762,3.079097
0,-145.95432,-0.038270111,3.0635016
0,-146.00738,-0.21697289,3.0266811
0,-146.54675,-1.048964,2.9505824
0,-149.47246,-2.9636899,3.3247791
0,-146.01177,-0.00064862058,3.0936332
0,-145.97969,-0.0032600212,3.082381
0,-145.98613,-0.0014113829,3.0850424
0,-146.20167,-0.55038892,2.9890562
0,-146.15376,-0.47514938,2.9962208
0,-145.97644,-0.14597525,3.038093
0,-146.25281,-0.11744347,3.1368667
0,-146.08331,-0.35857213,3.0085547
0,-146.0484,-0.29658608,3.0159428
0,-145.97067,-0.13023469,3.0409804
0,-147.1136,-0.79682201,3.2118155
0,-145.97849,-0.15128936,3.0371537
0,-147.57118,-1.1985532,3.2393632
0,-146.34547,-0.18033388,3.148036
0,-145.95799,-0.086645782,3.0500465
0,-146.42358,-0.2366378,3.1564579
0,-146.7644,-0.50327708,3.1868445
0,-146.1206,-0.039668439,3.1173058
0,-146.06996,-0.016671192,3.1077588
0,-146.04559,-0.291418,3.0165923
0,-146.1393,-0.049408156,3.1204553
0,-147.48949,-2.2830602,2.884241
0,-146.19619,-0.54190229,2.9898387
0,-145.97044,-0.0080971495,3.077899
0,-146.05755,-0.012036852,3.1051143
0,-145.95694,-0.081602471,3.0512315
0,-145.97214,-0.13437434,3.0402048
0,-146.17302,-0.068211561,3.1257559
0,-146.16834,-0.4983192,2.9939576
0,-146.00771,-0.21766186,3.0265804
0,-145.95712,-0.026474467,3.0679877
0,-145.95601,-0.029970636,3.0665689
0,-146.72912,-1.2969083,2.9349604
0,-147.28694,-2.0254691,2.8962053
