# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# start_datetime = 2026-05-28 22:10:45 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 100000
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 100
#     adapt
#       engaged = false
#       iter = 50 (Default)
#     tol_rel_obj = 1e-16
#     eval_elbo = 10000
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter100000/stan_data.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter100000/fixed_eta_grid/grad_samples_1/eta_100p0/output.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter100000/fixed_eta_grid/grad_samples_1/eta_100p0/diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=1dgaussian.stan
lp__,log_p__,log_g__,mu
0,0,0,2.9706936
0,-149.22767,-1.3195897,2.8036182
0,-150.65444,-2.242498,2.752893
0,-147.85816,-0.53473015,2.864338
0,-146.02731,-0.76516697,3.0979182
0,-146.93434,-0.12413338,2.9194503
0,-151.45806,-2.7908407,2.7277192
0,-145.95716,-0.44791671,3.0680337
0,-147.19073,-0.22173287,2.9022066
0,-145.9568,-0.30785598,3.0513924
0,-147.71878,-0.46406621,2.8716143
0,-146.06943,-0.07816162,3.0113557
0,-147.94602,-0.58042256,2.8598871
0,-147.07736,-2.694043,3.2094172
0,-145.97494,-0.21929653,3.0388033
0,-147.35247,-0.29095597,2.8922411
0,-146.63681,-0.037293136,2.9426065
0,-146.03441,-0.11160294,3.0192818
0,-146.09978,-0.057003691,3.0054188
0,-146.45034,-0.0055845986,2.9598246
0,-146.55111,-0.019887734,2.9501827
0,-146.9854,-0.14218293,2.9158512
0,-145.96415,-0.26043226,3.0449169
0,-146.01684,-0.73149741,3.0950876
0,-147.15194,-0.2059303,2.9046922
0,-146.3529,-1.488629e-05,2.9701324
0,-146.0161,-0.1349524,3.0241234
0,-146.28102,-0.0029353882,2.9785736
0,-146.34276,-1.5961587e-05,2.9712747
0,-145.99975,-0.16123055,3.0290941
0,-146.56109,-0.021690187,2.9492733
0,-146.2751,-0.0035085823,2.9793087
0,-145.98564,-0.19038386,3.0341548
0,-147.61531,-0.41317855,2.8772043
0,-146.54026,-1.8370625,3.1678247
0,-147.22639,-0.2365474,2.8999557
0,-145.95365,-0.35940509,3.0578873
0,-147.1961,-0.2239436,2.901866
0,-146.10643,-0.053079745,3.0042023
0,-146.95507,-0.13136821,2.9179781
0,-147.15925,-0.20888149,2.9042209
0,-145.98525,-0.19132552,3.0343115
0,-146.01393,-0.13810929,3.0247447
0,-147.9146,-0.56398359,2.8614675
0,-146.47095,-0.0078849546,2.9577787
0,-146.17934,-0.022070456,2.9923008
0,-146.16272,-0.027519101,2.994821
0,-146.72813,-0.0600904,2.9350406
0,-146.03987,-0.10554613,3.017945
0,-146.23044,-0.0097901672,2.9850845
0,-147.07568,-0.17587216,2.909699
0,-146.36979,-0.00027939423,2.9682625
