# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# start_datetime = 2026-05-28 22:10:45 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 100000
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = false
#       iter = 50 (Default)
#     tol_rel_obj = 1e-16
#     eval_elbo = 10000
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter100000/stan_data.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter100000/fixed_eta_grid/grad_samples_1/eta_1p0/output.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter100000/fixed_eta_grid/grad_samples_1/eta_1p0/diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=1dgaussian.stan
lp__,log_p__,log_g__,mu
0,0,0,3.0474921
0,-147.72665,-1.3195897,2.8711962
0,-148.87791,-2.242498,2.8176716
0,-146.72531,-0.53473015,2.935267
0,-146.70067,-0.76516697,3.1817379
0,-146.17187,-0.12413338,2.9934208
0,-149.55563,-2.7908407,2.7911085
0,-146.3649,-0.44791671,3.1502041
0,-146.30868,-0.22173287,2.9752255
0,-146.22103,-0.30785598,3.1326444
0,-146.63286,-0.46406621,2.9429448
0,-146.00125,-0.07816162,3.0903982
0,-146.78477,-0.58042256,2.9305705
0,-148.83112,-2.694043,3.2993902
0,-146.13269,-0.21929653,3.1193606
0,-146.40284,-0.29095597,2.96471
0,-146.04025,-0.037293136,3.0178549
0,-146.03059,-0.11160294,3.0987618
0,-145.98385,-0.057003691,3.0841337
0,-145.98108,-0.0055845986,3.0360233
0,-146.01015,-0.019887734,3.0258492
0,-146.19769,-0.14218293,2.989623
0,-146.17339,-0.26043226,3.1258116
0,-146.6646,-0.73149741,3.1787511
0,-146.28692,-0.2059303,2.9778482
0,-145.96146,-1.488629e-05,3.0469
0,-146.05195,-0.1349524,3.1038705
0,-145.9542,-0.0029353882,3.055807
0,-145.96001,-1.5961587e-05,3.0481052
0,-146.0766,-0.16123055,3.1091156
0,-146.01342,-0.021690187,3.0248897
0,-145.95394,-0.0035085823,3.0565826
0,-146.10452,-0.19038386,3.1144555
0,-146.56584,-0.41317855,2.9488434
0,-147.87451,-1.8370625,3.2555023
