# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# start_datetime = 2026-05-28 22:10:49 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 100000
#     grad_samples = 100
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = false
#       iter = 50 (Default)
#     tol_rel_obj = 1e-16
#     eval_elbo = 10000
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter100000/stan_data.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter100000/fixed_eta_grid/grad_samples_100/eta_1p0/output.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter100000/fixed_eta_grid/grad_samples_100/eta_1p0/diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=1dgaussian.stan
lp__,log_p__,log_g__,mu
0,0,0,3.0599649
0,-146.20385,-0.24769917,3.1302566
0,-146.37968,-0.42297471,3.1518191
0,-146.03629,-0.081106861,3.1001876
0,-146.13628,-0.18042977,3.1199573
0,-146.68673,-0.74070982,2.9384119
0,-145.97367,-0.021150189,3.039425
0,-146.43587,-0.47903271,3.1577166
0,-147.26822,-1.3255886,2.8973554
0,-146.24692,-0.29061012,3.1361022
0,-146.15217,-0.19624102,3.1225307
0,-147.08942,-1.1457986,2.9087844
0,-146.44238,-0.4855333,3.1583776
0,-145.96588,-0.011675632,3.0752259
0,-146.27587,-0.31945752,3.1397916
0,-146.01883,-0.06381888,3.0956442
0,-146.42498,-0.47717635,2.9624029
0,-145.98631,-0.034081939,3.0338912
0,-146.09455,-0.13893924,3.1126096
0,-145.98884,-0.036660958,3.0329227
0,-146.47797,-0.53055115,2.957091
0,-145.98538,-0.030784481,3.0847453
0,-145.9885,-0.033859512,3.0859535
0,-145.9591,-0.006104597,3.04893
0,-145.95403,-0.00037482235,3.0626993
0,-146.26408,-0.3150194,2.9806947
0,-146.00422,-0.049367834,3.0913457
0,-146.39747,-0.44947247,2.9652773
0,-146.00421,-0.049356923,3.0913423
0,-146.14361,-0.19344703,2.9978462
0,-146.28446,-0.33557242,2.9781496
0,-146.04406,-0.092765165,3.0169485
0,-145.95562,-0.0024187803,3.0530189
0,-146.19853,-0.24239609,3.1295001
0,-146.26081,-0.30444615,3.1378935
0,-145.98767,-0.0354698,3.0333656
0,-146.24194,-0.29269214,2.9835555
0,-145.98469,-0.030105977,3.0844707
0,-146.09228,-0.13668113,3.11218
0,-146.08038,-0.12486282,3.1098716
0,-146.0261,-0.071010796,3.097601
0,-145.96268,-0.0098249654,3.0459656
0,-147.36737,-1.4096538,3.2276514
0,-145.96665,-0.013928224,3.0432967
0,-146.23858,-0.28930912,2.9839983
0,-147.69642,-1.756016,2.872808
0,-146.57622,-0.62948,2.9479096
0,-148.49329,-2.5357823,3.2848692
0,-146.24678,-0.29757776,2.9829204
0,-145.98699,-0.034775612,3.0336272
0,-145.99759,-0.045570581,3.0298152
0,-145.95371,-0.00029432586,3.0575419
0,-146.01227,-0.057326061,3.0937806
0,-146.71445,-0.76860329,2.9361444
0,-145.95387,-0.00048500346,3.0568546
0,-146.76161,-0.80426566,3.1866255
0,-146.90159,-0.94410865,3.1971961
0,-146.64633,-0.7000508,2.9417952
0,-146.16284,-0.20686022,3.1242012
0,-146.25472,-0.29837865,3.1371131
0,-146.63182,-0.67463764,3.17597
0,-146.15111,-0.20102949,2.9966405
0,-145.96171,-0.0088223212,3.0466992
0,-145.97581,-0.023347178,3.0383846
0,-146.01293,-0.057978368,3.0939724
0,-145.95369,-0.00010215395,3.0613924
0,-146.61683,-0.67035586,2.9443286
0,-146.12676,-0.17642879,3.0006415
0,-146.06645,-0.11102765,3.1070255
0,-145.95385,-0.00022985079,3.0621062
0,-146.08036,-0.12951343,3.0091374
0,-146.04297,-0.091653251,3.0172071
0,-146.64723,-0.69002017,3.1772851
0,-147.64882,-1.7081738,2.8753752
