# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# start_datetime = 2026-05-28 22:15:36 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 200000
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = true (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 1e-16
#     eval_elbo = 10000
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/k_/lm3f3ty933bgx8bfm0dsx7cr0000gn/T/tmp10jhhq_c/5j_3sya8.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter200000/advi_default/1dgaussian-20260528181536901379.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter200000/advi_default/1dgaussian-20260528181536901379-diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=1dgaussian.stan
lp__,log_p__,log_g__,mu
# Stepsize adaptation complete.
# eta = 1
0,0,0,3.0517066
0,-146.00981,-0.030076678,3.0259487
0,-146.31764,-0.39316215,3.1448347
0,-146.06736,-0.13968214,3.1072159
0,-146.16241,-0.14645092,2.9948683
0,-146.65929,-0.55861517,2.9406993
0,-147.2834,-1.3236322,3.2225817
0,-147.24359,-1.058764,2.8988815
0,-146.06852,-0.073120856,3.0115446
0,-146.34263,-0.41786143,3.1477154
0,-145.95662,-0.011140719,3.0673832
0,-146.46332,-0.3935566,2.9585318
0,-147.10331,-0.93793787,2.9078658
0,-146.05477,-0.062747837,3.0145022
0,-146.25881,-0.33474797,3.1376384
0,-146.47126,-0.40020747,2.9577478
0,-145.98228,-0.045789037,3.0834882
0,-146.73572,-0.62347487,2.9344318
0,-146.13372,-0.20855462,3.119534
0,-146.78125,-0.66221182,2.9308436
0,-145.95562,-0.0092522859,3.0659929
0,-146.20218,-0.27802049,3.1300195
0,-146.05071,-0.059707924,3.0154146
0,-146.04054,-0.11113654,3.1012201
0,-146.05566,-0.063412284,3.0143057
0,-145.96047,-0.017394991,3.0712954
0,-145.95454,-0.0068786381,3.0640248
0,-146.83606,-0.89672786,3.192352
0,-145.96749,-0.027244358,3.0762217
0,-145.99675,-0.021167201,3.030098
0,-146.61981,-0.52520229,2.9440704
0,-146.5009,-0.42504605,2.9548759
0,-147.34458,-1.1459558,2.8927132
0,-145.95555,-0.0091132189,3.0658851
0,-146.69602,-0.58975218,2.9376475
0,-146.70829,-0.77383927,3.1823599
0,-145.9542,-0.0059857374,3.0631975
0,-146.22735,-0.19869752,2.9855015
0,-146.87409,-0.93320651,3.1951841
0,-146.50661,-0.57849867,3.1646722
0,-146.58509,-0.49588382,2.9471178
0,-146.08598,-0.086461508,3.0080343
0,-146.14154,-0.12986938,2.9981826
0,-146.04765,-0.11876092,3.1028903
0,-145.95366,-0.0041042832,3.0612217
0,-146.32118,-0.3966686,3.1452491
0,-146.00073,-0.023839261,3.0287746
0,-145.95442,-0.006571994,3.0637471
0,-146.28066,-0.35649393,3.1403857
0,-146.55262,-0.62324539,3.1689598
0,-145.96256,-0.020460368,3.0729514
0,-145.96189,-0.0011999311,3.0465617
0,-146.38259,-0.32626723,2.9668703
0,-145.9966,-0.021068065,3.0301487
0,-145.98676,-0.014667278,3.0337191
0,-145.95646,-0.010847537,3.0671755
0,-146.06183,-0.06805213,3.0129616
0,-146.0523,-0.12372152,3.1039483
0,-147.63431,-1.6560706,3.2428391
0,-146.33228,-0.40764326,3.1465343
0,-145.95525,-0.0084889018,3.0653908
0,-146.35677,-0.43179651,3.1493032
0,-148.87927,-2.4841668,2.8176152
0,-146.07529,-0.078271832,3.010154
0,-147.12726,-0.95853762,2.9062948
0,-146.03499,-0.048084738,3.019138
0,-146.84488,-0.71646524,2.92599
0,-148.90988,-2.5110233,2.8163532
0,-145.99819,-0.064384419,3.0893931
0,-146.01782,-0.035702165,3.0236431
0,-145.98201,-0.045458119,3.0833732
0,-146.76421,-0.64770191,2.932175
0,-146.44781,-0.3805916,2.9600793
0,-148.42007,-2.3958054,3.281597
0,-146.15365,-0.13947417,2.9962387
0,-146.30432,-0.26157861,2.9757446
0,-146.42595,-0.49974172,3.1567014
0,-146.39561,-0.33708075,2.9654759
0,-146.04932,-0.12054124,3.1032725
0,-145.98454,-0.013273634,3.034595
0,-145.97708,-0.039454619,3.0812081
0,-145.95732,-3.9180006e-05,3.0507769
0,-146.00246,-0.069238084,3.0907878
0,-145.99142,-0.056581987,3.0870358
0,-146.42016,-0.49407508,3.1561044
0,-146.04754,-0.11863661,3.1028635
0,-146.3956,-0.33707504,2.9654766
0,-146.25536,-0.3313109,3.1371961
0,-146.2884,-0.3641907,3.1413379
0,-146.44867,-0.52197196,3.1590113
0,-147.3753,-1.1725107,2.8908816
0,-146.30921,-0.38482336,3.1438418
0,-146.28548,-0.24611729,2.9780238
0,-146.09991,-0.097229736,3.0053945
0,-146.8376,-0.71025382,2.9265361
0,-146.02781,-0.042862292,3.0209575
0,-145.99235,-0.018264874,3.031634
0,-150.86539,-4.2341467,2.7460892
0,-146.07618,-0.078950342,3.0099743
0,-146.17773,-0.25334989,3.1264642
0,-146.01359,-0.081713195,3.0941628
0,-146.46246,-0.39283779,2.9586169
0,-145.98772,-0.015280297,3.0333471
0,-146.1476,-0.1346724,2.9972018
