# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# start_datetime = 2026-05-28 22:15:37 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 200000
#     grad_samples = 100
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = true (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 1e-16
#     eval_elbo = 10000
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/k_/lm3f3ty933bgx8bfm0dsx7cr0000gn/T/tmp10jhhq_c/v_0ne9g3.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter200000/advi_grad_samples_100/1dgaussian-20260528181537056324.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter200000/advi_grad_samples_100/1dgaussian-20260528181537056324-diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=1dgaussian.stan
lp__,log_p__,log_g__,mu
# Stepsize adaptation complete.
# eta = 100
0,0,0,3.1630824
0,-147.65053,-0.36368285,3.2437215
0,-146.81046,-0.041770471,3.1904111
0,-146.0856,-1.3432541,3.0081068
0,-147.65933,-0.36800186,3.2441989
0,-149.58649,-1.5404258,3.3290429
0,-147.69247,-0.3843786,3.2459842
0,-146.75736,-0.030123788,3.1862905
0,-149.69893,-1.6182234,3.3331821
0,-149.27882,-1.331472,3.3173769
0,-146.34008,-0.013710182,3.1474255
0,-146.42234,-0.0025505976,3.1563293
0,-147.63482,-0.35601687,3.2428671
0,-145.95974,-0.73632836,3.0483411
0,-146.6769,-0.015589736,3.1797781
0,-146.74429,-0.027496822,3.1852555
0,-145.95501,-0.53835425,3.0649713
0,-146.14394,-0.098051729,3.1212116
0,-146.03263,-0.22768023,3.0992786
0,-145.96701,-0.42481267,3.0759293
0,-146.32364,-0.017221105,3.145535
0,-147.84441,-0.46190185,3.2539605
0,-145.96302,-0.45090806,3.0732924
0,-146.29259,-0.025217755,3.1418482
0,-146.0714,-0.16934777,3.1080557
0,-145.97787,-0.37158503,3.081572
0,-147.91407,-0.498688,3.25751
0,-146.06677,-0.17532299,3.1070933
0,-145.95413,-0.64140263,3.0559923
0,-146.99495,-0.092797866,3.2038161
0,-146.15824,-0.087686053,3.1234866
0,-147.93297,-0.5087984,3.2584624
0,-146.25798,-0.036509349,3.1375327
0,-146.04167,-1.1851137,3.017515
0,-148.48248,-0.82300091,3.284389
0,-146.34256,-2.0571276,2.9712973
0,-149.4496,-1.4467194,3.3239159
0,-146.5335,-0.00094763673,3.1671987
0,-147.27483,-0.19450759,3.2220553
0,-146.35225,-2.0806195,2.9702054
0,-149.94463,-1.7906759,3.3420164
0,-146.90018,-0.064693996,3.1970932
0,-146.17068,-1.6064571,2.9936023
0,-147.00646,-0.096458616,3.2046117
0,-151.72916,-3.1222347,3.399357
0,-147.47803,-0.28213803,3.2341081
0,-148.98346,-1.1369036,3.3056583
0,-146.1087,-0.12817111,3.1152107
0,-148.31855,-0.72551796,3.2769784
0,-145.97334,-0.39153362,3.0794126
0,-151.87073,-3.2326035,3.4034968
0,-147.89317,-0.4875753,3.2564519
0,-147.39103,-0.24340262,3.2290525
0,-146.77266,-2.999121,2.931513
0,-147.56299,-0.32155344,3.2389071
0,-145.95392,-0.63357391,3.0566478
0,-146.87774,-0.058604023,3.1954528
0,-145.95381,-0.57212011,3.0619413
0,-148.41548,-0.78281651,3.2813905
0,-146.04903,-0.20051265,3.1032061
0,-147.43329,-0.26200433,3.2315269
0,-147.42314,-0.25750016,3.230936
0,-146.14392,-0.098066651,3.1212084
0,-146.0736,-1.3021165,3.0104984
0,-145.97228,-0.39659539,3.0788735
0,-146.81908,-0.043801665,3.1910677
0,-149.27366,-1.3280197,3.3171767
0,-145.95512,-0.53613915,3.0651734
0,-147.01553,-0.0993773,3.2052354
0,-146.03391,-0.2254047,3.0995982
0,-145.99788,-0.30456215,3.0892882
0,-149.67079,-1.5986824,3.3321519
0,-146.21304,-0.055630062,3.1315441
0,-149.75401,-1.6565965,3.3351871
0,-146.85356,-0.052300627,3.1936624
0,-146.14087,-1.5187924,2.9982915
0,-145.96581,-0.79544973,3.0438236
0,-146.03176,-0.22924372,3.0990599
0,-146.12706,-0.11159577,3.1184132
0,-147.54688,-0.31396856,3.2380075
0,-149.33712,-1.3706006,3.3196276
0,-147.39867,-0.24673546,3.2295026
0,-147.20343,-0.16624587,3.2176029
0,-146.01973,-1.0957098,3.0231134
0,-149.02927,-1.1666593,3.307512
0,-146.09536,-0.14162341,3.1127611
0,-147.53868,-0.31012492,3.2375475
0,-145.96194,-0.75982026,3.0465251
0,-146.67499,-2.7986747,2.9393853
0,-146.29919,-0.023359281,3.1426456
0,-153.35694,-4.42235,3.4442795
0,-146.12377,-0.11441796,3.1178519
0,-145.95505,-0.53762211,3.065038
0,-145.97689,-0.37570699,3.0811211
0,-146.15764,-0.088097833,3.1233937
0,-148.5909,-0.88900055,3.2891592
0,-146.04451,-1.1960511,3.0168448
0,-146.72396,-0.023610042,3.1836287
0,-147.41284,-0.2529516,3.2303341
0,-149.45725,-1.4519278,3.3242051
0,-146.17724,-0.075296686,3.1263904
0,-147.28647,-0.19925034,3.22277
0,-145.95553,-0.52867616,3.0658572
0,-146.26606,-0.03363043,3.1385607
0,-147.46943,-0.27823243,3.2336147
0,-147.00687,-0.096588733,3.2046397
0,-146.0168,-0.2586503,3.0950775
0,-146.10539,-1.4084308,3.0043916
0,-146.05648,-0.18946089,3.1048796
0,-147.8453,-0.46236914,3.2540065
0,-150.90439,-2.4917405,3.3741569
0,-147.80205,-0.4399062,3.2517703
0,-149.18467,-1.2687716,3.3137001
0,-146.37105,-0.0083282891,3.1508796
0,-151.78714,-3.16737,3.4010587
0,-146.23452,-0.045801791,3.1344653
0,-147.08616,-0.12313027,3.2100034
0,-146.98318,-0.089109602,3.2029984
0,-145.95439,-0.64946934,3.055321
0,-146.19277,-1.6690767,2.9903307
0,-146.75576,-0.029797487,3.1861645
0,-146.82156,-0.044393875,3.1912563
0,-146.12402,-0.1142004,3.117895
0,-146.23632,-1.7876618,2.9842992
0,-145.95894,-0.72679997,3.0490859
0,-147.61658,-0.34717382,3.24187
0,-145.95425,-0.64524131,3.0556723
0,-146.36472,-2.1106317,2.9688193
0,-146.59229,-0.0049868167,3.1725251
0,-145.98059,-0.89990114,3.036235
0,-149.15826,-1.2512908,3.3126589
0,-146.08056,-0.15814942,3.1099061
0,-146.33225,-2.0319669,2.9724738
0,-146.04531,-0.20630555,3.1023473
0,-147.1823,-0.15816003,3.2162605
0,-145.96623,-0.79901494,3.0435566
0,-146.11939,-0.11826613,3.1170976
0,-146.46962,-0.0002210131,3.1610945
0,-148.89614,-1.0806376,3.3020855
0,-146.67671,-0.015559163,3.1797617
0,-146.48758,-3.0882663e-06,3.1628474
0,-146.73137,-0.024997059,3.1842236
0,-145.99688,-0.30736187,3.0889498
0,-146.80386,-0.040241094,3.1899062
0,-146.37634,-0.0075597977,3.1514562
0,-146.0257,-1.120972,3.0215091
0,-145.95576,-0.68020167,3.0528008
0,-147.7571,-0.4168809,3.2494181
0,-147.07301,-0.11857511,3.2091273
0,-146.10006,-1.391167,3.0053671
0,-145.9965,-0.30841928,3.0888224
0,-146.68042,-0.016139818,3.1800701
0,-147.76268,-0.41972264,3.2497119
0,-145.99252,-0.96727971,3.031572
0,-147.41262,-0.25285252,3.2303209
0,-146.06546,-0.17706662,3.1068156
0,-145.95388,-0.63162319,3.0568118
0,-146.03146,-0.22979633,3.0989828
0,-146.36581,-0.0091321378,3.1503042
0,-146.36771,-0.0088352457,3.1505136
0,-148.29962,-0.71445192,3.2761064
0,-146.70321,-0.01990068,3.1819458
0,-147.00146,-0.094861205,3.2042664
0,-146.55192,-0.0018898036,3.1688953
0,-146.10779,-0.12904988,3.1150469
0,-146.07779,-1.3166496,3.0096492
0,-147.8676,-0.47406677,3.2551494
0,-146.20899,-0.057642232,3.1309788
0,-147.91638,-0.49992327,3.2576269
0,-146.43302,-0.0017890783,3.1574266
0,-147.07505,-0.11927597,3.2092632
0,-145.95393,-0.56727503,3.0623705
0,-149.85198,-1.7252646,3.3387178
0,-146.77395,-0.03359775,3.1875922
0,-147.74561,-0.41104785,3.248812
0,-146.12672,-1.4756574,3.0006484
0,-146.18561,-0.070291792,3.1276308
0,-146.40433,-0.0041664393,3.1544513
0,-146.07147,-0.16926162,3.1080697
0,-147.91624,-0.49984924,3.2576199
0,-147.58461,-0.33182384,3.2401085
0,-146.1729,-0.07799929,3.1257377
0,-147.34944,-0.22551455,3.2265821
0,-145.95612,-0.51941079,3.0667129
0,-146.61632,-0.0074594066,3.1746312
0,-150.19555,-1.9699885,3.3507616
0,-147.65916,-0.36791702,3.2441896
0,-147.00553,-0.096160634,3.2045475
0,-145.96595,-0.79663413,3.0437348
0,-146.66872,-0.014341066,3.1790955
0,-146.34905,-0.011991993,3.1484394
0,-146.02642,-0.23919772,3.0976847
0,-147.1482,-0.14540089,3.2140704
0,-147.34011,-0.22155697,3.2260225
0,-147.32514,-0.21525994,3.2251216
0,-145.96632,-0.42894379,3.0755066
0,-146.85188,-0.051873492,3.1935373
0,-146.21861,-0.052950389,3.132313
0,-146.50382,-2.4309889,2.954597
0,-148.21495,-0.66545432,3.272162
0,-145.9839,-0.3484483,3.0841504
0,-146.19809,-1.6838666,2.989567
0,-146.12402,-0.11420078,3.1178949
0,-148.41458,-0.78227708,3.2813497
0,-148.29138,-0.70964257,3.2757254
0,-146.93548,-0.074727567,3.1996356
0,-145.95963,-0.47874572,3.0705622
0,-148.3335,-0.73428815,3.2776647
0,-145.95954,-0.479625,3.0704773
0,-146.98713,-0.090341435,3.2032733
0,-146.09128,-0.14599757,3.1119899
