# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# start_datetime = 2026-05-28 22:15:41 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 200000
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 0.1
#     adapt
#       engaged = false
#       iter = 50 (Default)
#     tol_rel_obj = 1e-16
#     eval_elbo = 10000
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter200000/stan_data.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter200000/fixed_eta_grid/grad_samples_1/eta_0p1/output.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter200000/fixed_eta_grid/grad_samples_1/eta_0p1/diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=1dgaussian.stan
lp__,log_p__,log_g__,mu
0,0,0,3.057003
0,-146.00024,-0.050988351,3.0900705
0,-146.47786,-0.46538065,2.9571017
0,-145.99952,-0.050255473,3.089832
0,-146.09951,-0.14902221,3.1135347
0,-146.01484,-0.049311817,3.0244836
0,-145.9612,-0.010349948,3.0719012
0,-145.99373,-0.044402836,3.0878613
0,-146.4575,-0.49366215,3.1598949
0,-146.46531,-0.50112574,3.1606698
0,-146.11369,-0.16284392,3.1160982
0,-146.39465,-0.38976392,2.9655774
0,-146.6922,-0.66079371,2.9379611
0,-146.03476,-0.085451073,3.099811
0,-150.16135,-3.9917482,3.3495854
0,-146.90942,-0.85945683,2.9212408
0,-147.9643,-1.9221053,3.2600306
0,-146.31843,-0.36049197,3.1449284
0,-148.17467,-2.1206629,3.2702596
0,-145.95811,-0.0068137278,3.0690911
0,-145.96184,-0.011060593,3.0724042
0,-145.9637,-0.013113612,3.0737728
0,-146.00402,-0.03998125,3.0277214
0,-146.07283,-0.10017012,3.0106544
0,-146.06574,-0.093896235,3.0121294
0,-148.56844,-2.4920299,3.2881792
0,-149.32825,-3.0867141,2.7997177
0,-146.60006,-0.6297028,3.1732105
0,-146.00726,-0.0580448,3.0922846
0,-146.01845,-0.069242636,3.0955378
0,-146.62091,-0.64956674,3.1750292
0,-147.49669,-1.4802554,3.2351731
0,-146.64987,-0.67715473,3.1775095
0,-146.22921,-0.27468261,3.1337536
0,-146.11567,-0.16477087,3.1164468
