# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# start_datetime = 2026-05-28 22:15:54 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 200000
#     grad_samples = 100
#     elbo_samples = 100 (Default)
#     eta = 0.1
#     adapt
#       engaged = false
#       iter = 50 (Default)
#     tol_rel_obj = 1e-16
#     eval_elbo = 10000
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter200000/stan_data.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter200000/fixed_eta_grid/grad_samples_100/eta_0p1/output.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter200000/fixed_eta_grid/grad_samples_100/eta_0p1/diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=1dgaussian.stan
lp__,log_p__,log_g__,mu
0,0,0,3.0589726
0,-146.02503,-0.069708685,3.0216857
0,-145.95459,-0.00084879913,3.0548581
0,-146.16084,-0.20447553,2.995112
0,-145.97149,-0.019042053,3.0784606
0,-146.7826,-0.8381532,3.1882652
0,-146.98928,-1.0309132,2.9155812
0,-146.01221,-0.057050919,3.0252405
0,-145.97432,-0.021957887,3.0798996
0,-145.96243,-0.0096576187,3.0728512
0,-146.11428,-0.15819654,3.0028018
0,-146.02195,-0.066669217,3.0225077
0,-146.33365,-0.37653524,2.9723133
0,-145.96522,-0.012565975,3.0748036
0,-145.95969,-0.0056128009,3.0483922
0,-146.01794,-0.066512615,3.0953946
0,-146.15496,-0.20536418,3.1229717
0,-145.95354,-6.8542244e-05,3.0601418
0,-145.96173,-0.0089330618,3.0723204
0,-145.99222,-0.040296927,3.0873222
0,-146.78254,-0.83809608,3.1882608
0,-146.09412,-0.14380683,3.1125278
0,-146.09348,-0.13754202,3.0065969
0,-146.10943,-0.1533851,3.0036626
0,-146.14088,-0.18462919,2.9982902
0,-147.39195,-1.4332976,2.8898973
0,-145.96047,-0.0076149025,3.0712964
0,-146.09453,-0.13858631,3.0063984
0,-146.40281,-0.44548235,2.9647126
0,-148.27229,-2.3135681,2.8441632
0,-146.94101,-0.98269873,2.9189745
0,-147.7517,-1.7929525,2.8698705
0,-146.11872,-0.16260704,3.0020241
0,-146.01791,-0.066485448,3.0953871
0,-146.56971,-0.62374992,3.1705091
0,-146.9381,-0.97979177,2.9191817
0,-146.02621,-0.074932748,3.0976313
0,-146.0495,-0.09393251,3.0156893
0,-145.97249,-0.020073207,3.0789813
0,-146.93465,-0.9763455,2.9194277
0,-146.40475,-0.45749898,3.1544954
0,-145.9553,-0.001486476,3.0535277
0,-147.32661,-1.3855836,3.2252098
0,-146.2254,-0.27654678,3.1332396
0,-145.95862,-0.0045998716,3.0493943
0,-145.95784,-0.0048427613,3.0688004
0,-146.00977,-0.058205491,3.0930443
0,-145.95526,-0.0014517202,3.0535917
0,-145.95752,-0.0035530007,3.0505546
0,-146.04757,-0.096627879,3.1028724
0,-145.97453,-0.019996286,3.0390022
0,-146.32593,-0.37800846,3.1458012
0,-146.0148,-0.063326796,3.0945116
0,-146.17305,-0.22365669,3.1257613
0,-146.18756,-0.23831699,3.1279155
0,-146.02119,-0.069818384,3.0962887
0,-147.14054,-1.1984036,3.213574
0,-146.07923,-0.1287299,3.1096427
0,-146.14414,-0.18786811,2.9977603
0,-145.96585,-0.011545109,3.0437982
0,-147.56415,-1.624497,3.2389721
0,-145.97746,-0.022856119,3.0376218
0,-146.0316,-0.076207672,3.0199863
0,-147.72316,-1.7644118,2.8713816
0,-145.95498,-0.0011975585,3.0540854
0,-146.34621,-0.39846582,3.1481197
0,-146.18326,-0.22677489,2.9917199
0,-146.51772,-0.57137297,3.1657235
0,-146.06025,-0.10948813,3.1057025
0,-146.65142,-0.69351875,2.9413634
0,-146.32777,-0.37986252,3.1460138
0,-146.6817,-0.7365556,3.180176
0,-146.04087,-0.085385678,3.0177054
0,-145.96545,-0.012805274,3.0749537
0,-147.76707,-1.8083219,2.8690617
0,-145.95708,-0.003135899,3.0510641
0,-147.16892,-1.2103941,2.9035996
0,-146.31744,-0.36944382,3.1448119
0,-145.96484,-0.010566058,3.0444558
0,-146.21347,-0.26449593,3.1316035
0,-146.16436,-0.20798082,2.994567
0,-146.96521,-1.0068671,2.9172634
0,-146.14774,-0.19806828,3.1218246
0,-145.95502,-0.0012291577,3.0540213
