# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# start_datetime = 2026-05-28 22:15:46 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 200000
#     grad_samples = 100
#     elbo_samples = 100 (Default)
#     eta = 10
#     adapt
#       engaged = false
#       iter = 50 (Default)
#     tol_rel_obj = 1e-16
#     eval_elbo = 10000
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter200000/stan_data.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter200000/fixed_eta_grid/grad_samples_100/eta_10p0/output.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter200000/fixed_eta_grid/grad_samples_100/eta_10p0/diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=1dgaussian.stan
lp__,log_p__,log_g__,mu
0,0,0,3.0449784
0,-146.08597,-0.069708685,3.0080348
0,-145.97082,-0.00084879913,3.0409018
0,-146.25616,-0.20447553,2.9817057
0,-145.95466,-0.019042053,3.0642871
0,-146.59859,-0.8381532,3.1730808
0,-147.17974,-1.0309132,2.902907
0,-146.06846,-0.057050919,3.0115568
0,-145.95544,-0.021957887,3.0657128
0,-145.95355,-0.0096576187,3.0587293
0,-146.19978,-0.15819654,2.9893247
0,-146.08181,-0.066669217,3.0088492
0,-146.45742,-0.37653524,2.9591169
0,-145.95358,-0.012565975,3.0606638
0,-145.98479,-0.0056128009,3.0344954
0,-145.97677,-0.066512615,3.0810652
0,-146.07302,-0.20536418,3.1083884
0,-145.96245,-6.8542244e-05,3.0461369
0,-145.9536,-0.0089330618,3.0582034
0,-145.96272,-0.040296927,3.0730671
0,-146.59854,-0.83809608,3.1730765
0,-146.02778,-0.14380683,3.0980406
0,-146.1741,-0.13754202,2.9930849
0,-146.19383,-0.1533851,2.9901776
0,-146.23215,-0.18462919,2.9848547
0,-147.61066,-1.4332976,2.8774595
0,-145.95378,-0.0076149025,3.0571888
0,-146.17541,-0.13858631,2.9928882
0,-146.53587,-0.44548235,2.9515862
0,-148.5383,-2.3135681,2.8321465
0,-147.12765,-0.98269873,2.906269
0,-147.9916,-1.7929525,2.8576171
0,-146.20522,-0.16260704,2.9885542
0,-145.97675,-0.066485448,3.0810578
0,-146.41423,-0.62374992,3.1554882
0,-147.12451,-0.97979177,2.9064744
0,-145.98179,-0.074932748,3.0832813
0,-146.11832,-0.09393251,3.0020936
0,-145.95492,-0.020073207,3.064803
0,-147.12078,-0.9763455,2.9067182
0,-146.27451,-0.45749898,3.1396219
0,-145.97335,-0.001486476,3.0395836
0,-147.08138,-1.3855836,3.2096854
0,-146.12794,-0.27654678,3.1185618
0,-145.98235,-0.0045998716,3.0354884
0,-145.95466,-0.0048427613,3.0547158
