# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 300000
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = true (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 1e-16
#     eval_elbo = 10000
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/k_/lm3f3ty933bgx8bfm0dsx7cr0000gn/T/tmpkaxi8z4t/bmvptd1x.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/advi_default/1dgaussian-20260601211914787020.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/advi_default/1dgaussian-20260601211914787020-diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# iter,time_in_seconds,ELBO
10000,0.007,-147.49582
20000,0.014,-147.51764
30000,0.021,-147.48379
40000,0.028,-147.35381
50000,0.035,-147.39927
60000,0.043,-147.43755
70000,0.05,-147.45013
80000,0.057,-147.3105
90000,0.064,-147.37849
100000,0.071,-147.26106
110000,0.079,-147.31565
120000,0.086,-147.34083
130000,0.094,-147.34715
140000,0.101,-147.27519
150000,0.108,-147.21971
160000,0.115,-147.52151
170000,0.122,-147.2992
180000,0.129,-147.26417
190000,0.137,-147.36172
200000,0.144,-147.31894
210000,0.151,-147.48595
220000,0.158,-147.27723
230000,0.166,-147.21999
240000,0.174,-147.2979
250000,0.181,-147.39795
260000,0.188,-147.30548
270000,0.195,-147.28556
280000,0.202,-147.43868
290000,0.21,-147.24444
300000,0.217,-147.20293
