# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# start_datetime = 2026-06-02 01:19:56 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 300000
#     grad_samples = 1 (Default)
#     elbo_samples = 1
#     eta = 0.1
#     adapt
#       engaged = false
#       iter = 50 (Default)
#     tol_rel_obj = 1e-16
#     eval_elbo = 10000
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/stan_data.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/fixed_eta_grad_elbo_grid/grad_samples_1/elbo_samples_1/eta_0p1/output.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/fixed_eta_grad_elbo_grid/grad_samples_1/elbo_samples_1/eta_0p1/diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=1dgaussian.stan
lp__,log_p__,log_g__,mu
0,0,0,3.0586788
0,-147.02881,-0.9789895,2.9128609
0,-146.03628,-0.079316905,3.1001842
0,-146.05244,-0.094489949,3.1039805
0,-147.11922,-1.0617798,2.9068203
0,-145.98039,-0.026537227,3.0826865
0,-147.68753,-1.5825125,2.8732849
0,-146.72867,-0.72319064,3.1840069
0,-146.58008,-0.58543039,3.17144
0,-146.27777,-0.3046905,3.1400277
0,-145.96581,-0.01254267,3.0751839
0,-148.93299,-2.7618937,3.3035995
0,-146.96022,-0.91619943,2.9176145
0,-146.16525,-0.1999187,3.1245732
0,-146.09799,-0.13713026,3.1132532
0,-145.95957,-0.0047735063,3.0484966
0,-146.22621,-0.24552087,2.9856547
0,-146.23243,-0.25117894,2.9848181
0,-145.96895,-0.015578086,3.0770729
0,-146.10161,-0.14051791,3.1139231
0,-146.45216,-0.46673222,3.1593617
0,-146.22263,-0.24225757,2.9861416
0,-146.67588,-0.67425846,3.1796927
0,-146.04125,-0.083989874,3.1013894
0,-145.96132,-0.0062704965,3.0470087
0,-146.19873,-0.22050669,2.9894745
0,-146.25386,-0.27069615,2.9820022
0,-146.09412,-0.12547201,3.0064758
0,-146.55161,-0.54243365,2.9501374
0,-146.23844,-0.26809438,3.1349861
0,-147.39726,-1.3164768,2.8895847
0,-147.07388,-1.0429598,3.2091855
0,-145.9769,-0.023198294,3.0811254
0,-147.03677,-0.9862814,2.9123188
0,-145.97885,-0.02165372,3.0369924
0,-145.95575,-0.001578017,3.0528245
