# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# start_datetime = 2026-06-02 01:19:56 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 300000
#     grad_samples = 1 (Default)
#     elbo_samples = 1
#     eta = 100
#     adapt
#       engaged = false
#       iter = 50 (Default)
#     tol_rel_obj = 1e-16
#     eval_elbo = 10000
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/stan_data.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/fixed_eta_grad_elbo_grid/grad_samples_1/elbo_samples_1/eta_100p0/output.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/fixed_eta_grad_elbo_grid/grad_samples_1/elbo_samples_1/eta_100p0/diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=1dgaussian.stan
lp__,log_p__,log_g__,mu
0,0,0,3.0772099
0,-147.26199,-0.9789895,2.8977405
0,-146.19015,-0.079316905,3.1282939
0,-146.22339,-0.094489949,3.1329663
0,-147.38503,-1.0617798,2.8903059
0,-146.06518,-0.026537227,3.106758
0,-148.16863,-1.5825125,2.8490313
0,-147.43215,-0.72319064,3.2314608
0,-147.17812,-0.58543039,3.2159938
0,-146.64778,-0.3046905,3.1773322
0,-146.02581,-0.01254267,3.097524
0,-151.04688,-2.7618937,3.3786527
0,-147.16905,-0.91619943,2.9035913
0,-146.44173,-0.1999187,3.1583113
0,-146.31375,-0.13713026,3.1443788
0,-145.95485,-0.0047735063,3.0646779
0,-146.21396,-0.24552087,2.9873335
0,-146.22144,-0.25117894,2.9863038
0,-146.03492,-0.015578086,3.099849
0,-146.32079,-0.14051791,3.1452034
0,-146.95651,-0.46673222,3.2011282
0,-146.20965,-0.24225757,2.9879328
0,-147.34225,-0.67425846,3.226151
0,-146.20047,-0.083989874,3.1297771
0,-145.95407,-0.0062704965,3.0628467
0,-146.18113,-0.22050669,2.9920349
0,-146.24741,-0.27069615,2.9828381
0,-146.06184,-0.12547201,3.0129597
0,-146.62502,-0.54243365,2.9436197
0,-146.57659,-0.26809438,3.1711271
0,-147.76648,-1.3164768,2.8690927
0,-148.01312,-1.0429598,3.2624501
0,-146.05629,-0.023198294,3.1048367
0,-147.2728,-0.9862814,2.8970734
0,-145.95755,-0.02165372,3.0505188
0,-145.95903,-0.001578017,3.0700045
0,-146.38963,-0.37514344,2.9661135
0,-146.15946,-0.065628019,3.1236771
0,-146.80274,-0.66600051,2.9291837
0,-147.72148,-0.88175303,3.2475335
0,-146.67076,-0.57441565,2.9397378
0,-148.57515,-1.8495222,2.8305315
0,-147.46211,-1.1134743,2.8858101
0,-146.20083,-0.084155711,3.129829
0,-145.9891,-0.0024443269,3.0861776
0,-146.00746,-0.0069630304,3.0923456
0,-145.97283,-0.00011521241,3.0791569
0,-152.71632,-3.7243138,3.4272554
0,-146.67249,-0.57561986,2.9395938
0,-146.89402,-0.72882856,2.9223589
0,-146.13369,-0.18366417,2.9994755
0,-146.1803,-0.074886552,3.1268467
0,-148.47644,-1.7848385,2.8348835
0,-146.25978,-0.11144508,3.1377624
0,-146.12539,-0.17711442,3.0008741
0,-146.51509,-0.46494579,2.9535291
0,-148.65581,-1.9023078,2.8270362
0,-146.57243,-0.2659682,3.170754
0,-145.9541,-0.006193981,3.0629346
0,-145.98159,-0.0010890409,3.0831957
0,-147.13039,-0.89001332,2.9060904
0,-146.0864,-0.14579726,3.007951
0,-146.00163,-0.0053850042,3.0905204
0,-146.94168,-0.45884619,3.2000768
0,-147.98743,-1.0287158,3.2611808
0,-146.00754,-0.0069860775,3.0923706
0,-146.04582,-0.11188774,3.0165373
0,-146.34881,-0.15409674,3.1484129
0,-146.22977,-0.25745722,2.9851747
0,-149.55643,-1.9105578,3.3279256
0,-145.95374,-0.011955561,3.057377
0,-145.99418,-0.0035500689,3.0880173
0,-147.37072,-1.0521727,2.8911534
0,-146.06892,-0.027962745,3.1075412
0,-146.86264,-0.41698193,3.1943377
0,-148.5611,-1.3486934,3.2878582
0,-145.98096,-0.00099403107,3.0829287
0,-148.19322,-1.1430795,3.2711375
0,-146.38373,-0.37087294,2.9667477
0,-146.16166,-0.20550092,2.9949841
0,-146.49433,-0.22631114,3.1634987
0,-146.36855,-0.35987082,2.9683985
0,-146.07358,-0.0297628,3.1085023
0,-146.11443,-0.16840057,3.0027756
0,-145.9955,-0.0038586179,3.0884772
0,-145.95361,-0.0081200905,3.060865
0,-147.08751,-0.53670643,3.210093
0,-145.95442,-0.014669235,3.0552412
0,-146.07414,-0.13572376,3.0103864
0,-146.1282,-0.052084816,3.1186058
0,-145.97593,-0.00036516408,3.0806761
0,-146.78683,-0.65500342,2.9304109
0,-146.07818,-0.031557087,3.1094317
0,-146.28281,-0.12233128,3.1406509
0,-145.96069,-0.00099715724,3.0714822
0,-147.06338,-0.52377132,3.208482
0,-147.14334,-0.56669742,3.2137553
0,-146.11699,-0.17044103,3.002326
0,-147.92226,-1.4197878,2.8610809
0,-146.0429,-0.018350968,3.1017814
0,-146.51007,-0.46138724,2.9540033
0,-149.56653,-1.9162914,3.3283015
0,-146.26955,-0.28720141,2.9800036
0,-151.08639,-2.7845791,3.3798881
0,-146.35799,-0.15857302,3.1494397
0,-145.96541,-0.033356724,3.0440821
0,-146.25647,-0.27746482,2.9816655
0,-146.20403,-0.085612588,3.1302825
0,-145.96317,-0.030360884,3.0456047
0,-146.07949,-0.032074212,3.1096947
0,-146.31443,-0.13745557,3.1444584
0,-146.25231,-0.10793887,3.1368022
0,-146.19505,-0.23115501,2.9900026
0,-146.07891,-0.031844361,3.1095781
0,-149.15799,-2.2298127,2.8063557
0,-146.28164,-0.12177932,3.1405077
0,-146.93585,-0.45575132,3.1996618
0,-149.97929,-2.1510992,3.3432405
0,-147.91901,-0.99080695,3.2577593
0,-146.87277,-0.71423115,2.9239175
0,-147.09903,-0.54288611,3.2108559
0,-146.02427,-0.093029417,3.0218862
0,-149.96618,-2.7534925,2.776226
0,-148.30327,-1.6711346,2.8427292
0,-146.32285,-0.14151161,3.1454434
0,-146.63257,-0.29684151,3.1760342
0,-147.14304,-0.89858669,2.9052682
0,-145.97691,-0.00046695719,3.0811295
0,-146.69035,-0.58807281,2.9381132
0,-148.50684,-1.8047664,2.8335344
0,-146.46352,-0.42824003,2.9585115
0,-146.51166,-0.23506163,3.1651511
0,-146.44154,-0.19982379,3.158292
0,-147.38357,-1.0608036,2.8903919
0,-146.4326,-0.40609521,2.9616212
0,-147.04127,-0.51193712,3.2069905
0,-148.77743,-1.4701927,3.297142
0,-145.97971,-0.050092126,3.0366137
0,-146.52313,-0.24087342,3.1662316
0,-148.08174,-1.0810593,3.2658032
0,-146.46122,-0.2096667,3.160265
0,-146.06469,-0.02635185,3.1066546
0,-145.9622,-0.028990987,3.046326
0,-147.38655,-0.69834527,3.228788
0,-145.99427,-0.065035135,3.0309531
0,-146.17407,-0.21507989,2.9930895
0,-146.53406,-0.47839212,2.9517534
0,-146.07477,-0.030225332,3.1087445
0,-145.9643,-0.031901048,3.044813
0,-146.3398,-0.14971826,3.147394
0,-146.27154,-0.11699248,3.1392511
0,-146.87213,-0.42199458,3.1950396
0,-146.33652,-0.14812328,3.1470192
0,-145.95595,-0.0034980079,3.0664821
0,-145.95355,-0.01037922,3.0587307
0,-148.31138,-1.676467,2.8423554
0,-148.46622,-1.2955349,3.2836652
0,-145.98842,-0.0023061933,3.0859205
0,-146.98151,-0.78872341,2.9161217
0,-146.21819,-0.24872378,2.9867492
0,-147.70592,-1.2762156,2.8722998
0,-146.43037,-0.19426182,3.1571556
0,-146.16708,-0.068996051,3.1248545
0,-151.0997,-2.792223,3.3803033
0,-146.02544,-0.09407223,3.021577
0,-146.09508,-0.15285241,3.006295
0,-150.55157,-2.4779571,3.3627376
0,-145.98499,-0.0016550307,3.084589
0,-145.95355,-0.0087020298,3.0602895
0,-146.28506,-0.12340277,3.1409282
0,-146.25956,-0.1113413,3.1377342
0,-146.15582,-0.2009687,2.9958959
0,-147.40128,-1.0726887,2.8893482
0,-146.10611,-0.042818449,3.1147432
0,-146.43189,-0.40558636,2.9616937
0,-146.04711,-0.11299329,3.0162383
0,-146.71849,-0.34136769,3.1831872
0,-146.15783,-0.064914278,3.1234237
0,-146.07754,-0.13852504,3.0097003
0,-146.31723,-0.13880329,3.1447873
0,-146.75009,-0.62957727,2.9332884
0,-146.26633,-0.28480813,2.9804094
0,-145.96028,-0.0011227316,3.0711322
0,-146.02449,-0.093222176,3.0218289
0,-147.49823,-0.75926463,3.2352612
0,-147.25491,-0.97421829,2.8981784
0,-146.02741,-0.095825226,3.021061
0,-147.1659,-0.57884356,3.2152108
0,-147.65952,-0.84766961,3.2442092
0,-146.01461,-0.084294568,3.0245475
0,-145.97169,-5.5907243e-05,3.0785662
0,-149.0238,-2.1424832,2.8117126
0,-146.01559,-0.0093340321,3.094734
0,-146.96664,-0.47211907,3.2018412
0,-147.44063,-0.727813,3.231953
0,-145.95944,-0.0014132177,3.0703912
0,-146.76078,-0.63698273,2.9324444
0,-147.97876,-1.4571726,2.8582539
0,-146.22679,-0.25521415,2.9855765
0,-146.61674,-0.53663022,2.9443363
0,-145.97291,-0.04251977,3.0398078
0,-146.49925,-0.22879319,3.1639706
0,-145.96856,-0.037344944,3.0421576
0,-146.43864,-0.4104305,2.9610059
0,-147.52928,-1.1584201,2.8819854
0,-148.37383,-1.2438516,3.2795052
0,-145.97391,-0.00018833803,3.0796992
0,-147.09082,-0.86315786,2.9086918
0,-146.35757,-0.15836829,3.149393
0,-150.58331,-2.4961292,3.3637827
0,-146.48253,-0.22036336,3.1623573
0,-146.36742,-0.35905321,2.9685221
0,-145.96144,-0.027905709,3.0469096
0,-146.4153,-0.18677212,3.1555993
0,-145.96504,-0.00019363902,3.0746859
0,-146.0046,-0.074988203,3.0275395
0,-146.54436,-0.48567503,2.950802
0,-146.63171,-0.29639864,3.1759605
0,-145.95363,-0.011262231,3.0579607
0,-148.06505,-1.5141871,2.8540115
0,-146.73131,-0.34804952,3.1842193
0,-145.98801,-0.058773914,3.0332362
0,-145.96001,-0.0012101819,3.0709
0,-147.49573,-0.75789635,3.2351187
0,-145.96859,-3.6759634e-06,3.0768622
0,-146.33867,-0.14916617,3.1472645
0,-145.96544,-0.0001561054,3.0749437
0,-147.37666,-1.0561632,2.8908009
0,-146.72842,-0.61454772,2.9350166
0,-148.97706,-1.582643,3.305398
0,-147.05567,-0.51964421,3.2079638
0,-147.68212,-1.2603759,2.8735754
0,-147.21289,-0.60419149,3.2182
0,-146.2137,-0.24533017,2.9873685
0,-149.28014,-1.7539154,3.317428
0,-147.93498,-0.99965173,3.2585633
0,-146.60481,-0.28255933,3.1736275
0,-146.0489,-0.020493531,3.1031762
0,-145.96785,-0.036471002,3.0425701
0,-146.11779,-0.047683147,3.116818
0,-145.9952,-0.065949074,3.0306293
0,-147.16624,-0.5790261,3.2152326
0,-146.30877,-0.13473377,3.1437893
0,-146.37056,-0.36132918,2.9681782
0,-146.25427,-0.10885786,3.1370554
0,-146.81649,-0.39266506,3.1908712
0,-145.98481,-0.0016241009,3.0845198
0,-146.48511,-0.22166356,3.1626081
0,-146.47943,-0.21880472,3.1620556
0,-146.3408,-0.15020368,3.1475077
0,-146.2846,-0.12318465,3.1408718
0,-146.78642,-0.37686905,3.1885616
0,-148.2785,-1.1906228,3.2751294
0,-148.0582,-1.0679875,3.2646595
0,-147.52324,-0.77294134,3.2366783
0,-146.11292,-0.045644986,3.1159623
0,-146.14386,-0.058813617,3.1211985
0,-146.40013,-0.38272586,2.9649964
0,-146.48853,-0.44607719,2.9560647
0,-147.79552,-1.3357635,2.8675738
0,-146.02126,-0.01108791,3.0963096
0,-145.95364,-0.011341919,3.0578927
0,-146.20604,-0.086529529,3.130566
0,-146.00404,-0.0060244936,3.0912886
0,-148.78584,-1.4749195,3.2974952
0,-146.2096,-0.24221736,2.9879402
0,-145.99794,-0.068615424,3.0296969
0,-146.13196,-0.053690251,3.1192389
0,-145.95985,-0.025495442,3.0482477
0,-148.40925,-1.2636548,3.2811092
0,-146.45653,-0.42324466,2.9592058
0,-145.95539,-0.0040851025,3.0656167
0,-146.1355,-0.18508582,2.9991752
0,-147.91321,-0.98759603,3.2574665
0,-145.96606,-0.034203686,3.0436642
0,-148.71573,-1.9414892,2.8244729
0,-145.9602,-0.02604528,3.047937
0,-146.13637,-0.055579976,3.1199722
0,-146.02558,-0.012470854,3.0974657
0,-146.06833,-0.027739508,3.1074199
0,-152.23912,-3.4484815,3.4140435
0,-145.97751,-0.047690769,3.0375987
0,-145.95762,-0.02178726,3.0504366
0,-147.22546,-0.61097841,3.2189897
0,-145.96405,-0.00031058891,3.0740133
0,-145.99112,-0.061902926,3.0320808
0,-146.04787,-0.11364417,3.016063
