# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# start_datetime = 2026-06-02 01:19:56 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 300000
#     grad_samples = 1 (Default)
#     elbo_samples = 1
#     eta = 1 (Default)
#     adapt
#       engaged = false
#       iter = 50 (Default)
#     tol_rel_obj = 1e-16
#     eval_elbo = 10000
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/stan_data.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/fixed_eta_grad_elbo_grid/grad_samples_1/elbo_samples_1/eta_1p0/output.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/fixed_eta_grad_elbo_grid/grad_samples_1/elbo_samples_1/eta_1p0/diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=1dgaussian.stan
lp__,log_p__,log_g__,mu
0,0,0,3.0477807
0,-147.20306,-0.9789895,2.9014247
0,-145.99833,-0.079316905,3.0894393
0,-146.01047,-0.094489949,3.0932496
0,-147.30075,-1.0617798,2.8953618
0,-145.96117,-0.026537227,3.071877
0,-147.90994,-1.5825125,2.8617027
0,-146.60417,-0.72319064,3.1735713
0,-146.46823,-0.58543039,3.160958
0,-146.19803,-0.3046905,3.1294298
0,-145.95469,-0.01254267,3.0643467
0,-148.694,-2.7618937,3.2936052
0,-147.12877,-0.91619943,2.9061959
0,-146.10159,-0.1999187,3.1139183
0,-146.04621,-0.13713026,3.1025565
0,-145.97759,-0.0047735063,3.037561
0,-146.31493,-0.24552087,2.9744872
0,-146.3221,-0.25117894,2.9736474
0,-145.95579,-0.015578086,3.0662427
0,-146.04913,-0.14051791,3.1032289
0,-146.35258,-0.46673222,3.1488352
0,-146.31078,-0.24225757,2.9749759
0,-146.55571,-0.67425846,3.1692412
0,-146.00203,-0.083989874,3.0906489
0,-145.98098,-0.0062704965,3.0360676
0,-146.28307,-0.22050669,2.9783211
0,-146.34677,-0.27069615,2.9708211
0,-146.15909,-0.12547201,2.9953851
0,-146.68157,-0.54243365,2.9388388
0,-146.16393,-0.26809438,3.1243696
0,-147.59969,-1.3164768,2.8780626
0,-146.9244,-1.0429598,3.1988428
0,-145.95936,-0.023198294,3.0703101
0,-147.21168,-0.9862814,2.9008806
0,-146.00959,-0.02165372,3.0260143
0,-145.969,-0.001578017,3.0419048
0,-146.47703,-0.37514344,2.9571824
0,-145.98777,-0.065628019,3.0856744
0,-146.83056,-0.66600051,2.9270664
0,-146.76229,-0.88175303,3.1866784
0,-146.72027,-0.57441565,2.9356732
0,-148.21976,-1.8495222,2.8466162
0,-147.36161,-1.1134743,2.8916955
0,-146.00216,-0.084155711,3.0906912
0,-145.95449,-0.0024443269,3.0550938
0,-145.95353,-0.0069630304,3.0601237
0,-145.95865,-0.00011521241,3.0493684
0,-149.70052,-3.7243138,3.3332404
0,-146.72173,-0.57561986,2.9355558
0,-146.90583,-0.72882856,2.9215008
0,-146.23564,-0.18366417,2.9843888
0,-145.99487,-0.074886552,3.0882591
0,-148.14483,-1.7848385,2.8501652
0,-146.02443,-0.11144508,3.0971608
0,-146.22714,-0.17711442,2.9855294
0,-146.58732,-0.46494579,2.9469198
0,-148.28086,-1.9023078,2.8437658
0,-146.16196,-0.2659682,3.1240653
0,-145.98081,-0.006193981,3.0361393
0,-145.95585,-0.0010890409,3.0526621
0,-147.09773,-0.89001332,2.9082339
0,-146.18611,-0.14579726,2.9913005
0,-145.95355,-0.0053850042,3.0586353
0,-146.34495,-0.45884619,3.1479778
0,-146.91003,-1.0287158,3.1978077
0,-145.95354,-0.0069860775,3.0601441
0,-146.1408,-0.11188774,2.9983026
0,-146.06092,-0.15409674,3.1058462
0,-146.33005,-0.25745722,2.9727267
0,-147.81105,-1.9105578,3.2522376
0,-145.99243,-0.011955561,3.0316071
0,-145.95394,-0.0035500689,3.0565941
0,-147.28943,-1.0521727,2.8960529
0,-145.96198,-0.027962745,3.0725157
0,-146.30464,-0.41698193,3.1432976
0,-147.23462,-1.3486934,3.219563
0,-145.95601,-0.00099403107,3.0524443
0,-147.02564,-1.1430795,3.2059273
0,-146.47176,-0.37087294,2.9576995
0,-146.26383,-0.20550092,2.9807261
0,-146.1255,-0.22631114,3.1181486
0,-146.45814,-0.35987082,2.9590457
0,-145.96303,-0.0297628,3.0732994
0,-146.21579,-0.16840057,2.9870801
0,-145.95384,-0.0038586179,3.0569691
0,-145.98489,-0.0081200905,3.0344516
0,-146.42056,-0.53670643,3.156146
0,-145.99744,-0.014669235,3.0298654
0,-146.17276,-0.13572376,2.9932866
0,-145.9778,-0.052084816,3.0815388
0,-145.95747,-0.00036516408,3.0506073
0,-146.81736,-0.65500342,2.9280671
0,-145.96411,-0.031557087,3.0740574
0,-146.03358,-0.12233128,3.0995164
0,-145.96695,-0.00099715724,3.0431098
0,-146.40795,-0.52377132,3.1548322
0,-146.44988,-0.56669742,3.1591325
0,-146.21845,-0.17044103,2.9867134
0,-147.72039,-1.4197878,2.871529
0,-145.95697,-0.018350968,3.0678186
0,-146.58297,-0.46138724,2.9473066
0,-147.81696,-1.9162914,3.2525442
0,-146.36754,-0.28720141,2.9685096
0,-148.71764,-2.7845791,3.2946127
0,-146.06483,-0.15857302,3.1066836
0,-146.02855,-0.033356724,3.0207652
0,-146.3553,-0.27746482,2.9698649
0,-146.00332,-0.085612588,3.091061
0,-146.02382,-0.030360884,3.0220069
0,-145.96442,-0.032074212,3.0742718
0,-146.04649,-0.13745557,3.1026214
0,-146.02151,-0.10793887,3.0963778
0,-146.29666,-0.23115501,2.9766637
0,-145.96428,-0.031844361,3.0741767
0,-148.65895,-2.2298127,2.826901
0,-146.03311,-0.12177932,3.0993996
0,-146.34196,-0.45575132,3.1476394
0,-148.05959,-2.1510992,3.2647268
0,-146.87183,-0.99080695,3.1950174
