# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# start_datetime = 2026-06-02 01:20:30 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 300000
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 100
#     adapt
#       engaged = false
#       iter = 50 (Default)
#     tol_rel_obj = 1e-16
#     eval_elbo = 10000
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/stan_data.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/fixed_eta_grad_elbo_grid/grad_samples_1/elbo_samples_100/eta_100p0/output.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/fixed_eta_grad_elbo_grid/grad_samples_1/elbo_samples_100/eta_100p0/diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=1dgaussian.stan
lp__,log_p__,log_g__,mu
0,0,0,2.9308274
0,-146.17503,-0.39857572,2.9929454
0,-148.28787,-0.78879419,2.843441
0,-148.8611,-1.3063877,2.8183674
0,-147.05257,-0.039594156,2.911249
0,-147.93051,-0.50848535,2.8606655
0,-146.60035,-0.023057504,2.945768
0,-147.13319,-0.064142948,2.9059081
0,-147.91089,-0.49424878,2.8616547
0,-146.10678,-0.55516809,3.0041392
0,-147.06089,-0.041890481,2.9106892
0,-147.27136,-0.1170665,2.8971624
0,-146.20647,-0.34212258,2.9883784
0,-146.40257,-0.1187827,2.9647382
0,-148.12494,-0.65629599,2.8511176
0,-147.54498,-0.25539587,2.8811031
0,-146.02758,-0.84019585,3.0210161
0,-146.28394,-0.23194142,2.9782135
0,-146.14486,-0.46114318,2.9976433
0,-146.7533,-0.00050316137,2.9330345
0,-146.37425,-0.14100716,2.9677747
0,-147.12612,-0.06179214,2.906369
0,-149.47247,-1.9274945,2.7942249
0,-147.06575,-0.043259854,2.9103627
0,-149.33157,-1.7790662,2.7995899
0,-146.11491,-0.53345205,3.0026911
0,-147.45101,-0.20341912,2.8864504
0,-146.06814,-3.2197279,3.1073789
0,-146.29215,-0.22222177,2.97721
0,-146.03035,-0.82694606,3.0203022
0,-148.13508,-0.66432155,2.8506317
0,-146.89424,-0.007435513,2.9223431
0,-146.06465,-0.68662293,3.0123581
0,-146.16686,-0.4146187,2.9941832
0,-146.55049,-0.038925129,2.9502397
0,-146.33606,-0.17541373,2.9720366
0,-146.12993,-0.49574757,3.0001049
0,-146.71657,-0.0027347003,2.9359728
0,-146.10038,-0.57302107,3.0053087
0,-145.99151,-1.0560251,3.0319385
0,-147.04463,-0.037453656,2.9117855
0,-147.07572,-0.046123807,2.9096962
0,-146.9345,-0.013397324,2.9194388
0,-146.26344,-0.25769859,2.9807754
0,-146.03755,-0.79410771,3.0185076
0,-146.05383,-0.72686751,3.0147134
0,-148.33135,-0.82537269,2.8414378
0,-148.00211,-0.56152411,2.8570971
0,-150.90681,-3.5757609,2.7447703
0,-146.34083,-0.17081885,2.9714932
0,-146.12809,-3.6415387,3.118588
0,-146.43746,-0.094822783,2.9611257
0,-146.04526,-3.0384272,3.1023362
0,-146.64226,-0.01322158,2.9421411
0,-147.33037,-0.14340522,2.8935673
0,-146.32977,-0.18161943,2.9727592
0,-146.01179,-0.92316051,3.0253641
0,-147.08788,-0.049725906,2.9088866
0,-146.85272,-0.0030378728,2.9254043
0,-147.81119,-0.42399451,2.8667593
0,-145.95475,-1.8447966,3.0644673
0,-146.37798,-0.13793208,2.9673696
0,-146.14099,-0.46987173,2.9982727
0,-145.97523,-1.2011237,3.0386614
0,-146.53035,-0.046735788,2.9520983
0,-146.28235,-0.23386168,2.9784093
0,-146.66066,-0.0098323873,2.9405838
0,-146.32583,-0.1855901,2.973215
0,-146.27915,-0.2377631,2.9788045
0,-146.37802,-0.13789723,2.967365
0,-146.75113,-0.0005842454,2.9332057
0,-146.04103,-0.7789729,3.0176681
0,-146.27157,-0.24722703,2.97975
0,-146.58477,-0.027506725,2.9471459
0,-147.81453,-0.42628741,2.8665863
0,-146.25764,-0.26539571,2.9815158
0,-146.14308,-3.7385407,3.1210723
0,-146.31669,-0.19503158,2.9742799
0,-148.19267,-0.71047512,2.8478927
0,-146.17966,-0.38973584,2.9922527
0,-146.17103,-0.40636058,2.9935491
0,-146.40601,-0.11625567,2.9643756
0,-148.21512,-0.72872138,2.8468345
0,-146.1489,-0.45222957,2.9969944
0,-147.00217,-0.026904643,2.9146884
0,-146.39873,-0.12164355,2.9651442
0,-146.05571,-0.71964681,3.0142957
0,-147.49098,-0.22499844,2.8841559
0,-147.91177,-0.49488322,2.8616103
0,-146.77417,-3.3290815e-05,2.9313951
0,-146.50847,-0.056209093,2.9541547
0,-147.00394,-0.027313834,2.9145662
0,-147.44917,-0.20244674,2.8865566
0,-147.28242,-0.12184521,2.8964822
0,-147.44477,-0.20012435,2.8868113
0,-146.18686,-0.37637425,2.9911905
0,-147.14812,-0.069226708,2.9049394
0,-148.08369,-0.62395832,2.8531061
0,-147.12606,-0.061772996,2.9063728
0,-145.97799,-1.1727403,3.0373797
0,-147.66655,-0.3287225,2.8744147
0,-147.89163,-0.48040248,2.8626305
0,-147.40678,-0.18049865,2.8890252
0,-148.59233,-1.0546358,2.8297828
0,-146.66784,-0.0086567345,2.939982
0,-147.45607,-0.20610666,2.8861582
0,-146.20752,-0.34037823,2.9882315
0,-146.74638,-0.00078427962,2.9335829
0,-146.04412,-3.0289373,3.1020681
0,-145.97725,-1.1801519,3.0377159
0,-147.53623,-0.25037075,2.8815947
0,-147.19078,-0.084631607,2.9022035
0,-146.88139,-0.005879104,2.9232831
0,-146.37277,-0.14224663,2.9679367
0,-146.21995,-0.32025086,2.9865084
0,-146.09714,-0.58229497,3.005909
0,-146.72236,-0.0022599962,2.9355049
0,-146.84065,-0.0021106375,2.9263071
0,-147.43372,-0.19433856,2.8874522
0,-146.95539,-0.017115342,2.9179551
0,-147.12767,-0.062304571,2.9062678
0,-146.357,-0.15588269,2.9696747
0,-148.20767,-0.7226537,2.8471849
0,-146.38634,-0.13119822,2.9664664
0,-147.5822,-0.27714438,2.8790292
0,-147.57058,-0.27028206,2.8796745
0,-146.81058,-0.00051996032,2.9285838
0,-149.35252,-1.8009517,2.7987851
0,-146.46807,-0.076615292,2.9580619
0,-146.90049,-0.0082548483,2.9218878
0,-146.84711,-0.0025865888,2.9258233
0,-147.65565,-0.32188245,2.8750047
0,-145.95506,-1.8612312,3.0650613
0,-146.92936,-0.01254615,2.9198065
0,-146.20185,-0.34992656,2.9890311
0,-147.20926,-0.091692206,2.9010334
0,-146.74609,-0.0007973625,2.9336058
0,-147.88027,-0.47229676,2.8632083
0,-147.10197,-0.054042439,2.9079541
0,-147.46592,-0.21137383,2.885591
0,-148.12667,-0.65766765,2.8510343
0,-148.5129,-0.98317036,2.8332664
0,-147.86171,-0.45915005,2.864156
0,-146.729,-0.0017732105,2.9349707
0,-148.53056,-0.99893793,2.8324872
0,-146.31316,-0.19877776,2.9746952
0,-147.74497,-0.37935124,2.870226
0,-149.13638,-1.5784517,2.8072106
0,-146.53803,-0.04365795,2.951386
0,-146.03223,-0.81815832,3.0198255
0,-147.84529,-0.44762408,2.8649982
0,-147.05231,-0.039522971,2.9112666
0,-146.39111,-0.12746417,2.9659556
0,-148.82751,-1.2741364,2.8197643
0,-146.50236,-0.059047581,2.9547365
0,-147.3541,-0.15457182,2.8921438
0,-150.51727,-3.1068054,2.7573995
0,-146.63221,-0.015307247,2.9430008
0,-146.02588,-0.84848905,3.0214601
0,-146.65655,-0.010542949,2.9409302
0,-147.89933,-0.48592627,2.8622396
0,-146.68546,-0.006107143,2.9385166
0,-147.35157,-0.15336769,2.8922947
0,-150.11836,-2.6417858,2.7709045
0,-147.42194,-0.1882404,2.8881382
0,-146.01205,-0.92169492,3.025289
0,-146.39405,-0.12519842,2.965642
0,-146.27242,-0.2461506,2.9796434
0,-146.60014,-0.023114671,2.9457865
0,-146.11969,-3.5859107,3.1171483
0,-147.8974,-0.48454054,2.8623374
0,-146.23169,-0.30220498,2.9849169
0,-145.95367,-1.7565597,3.0612321
0,-147.89178,-0.48051306,2.8626227
0,-147.35855,-0.1567023,2.8918781
0,-146.12516,-0.50739522,3.000914
0,-146.89406,-0.007412751,2.9223561
0,-148.711,-1.1639777,2.8246739
0,-147.16497,-0.075159135,2.9038529
