# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# start_datetime = 2026-06-02 01:20:23 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 300000
#     grad_samples = 100
#     elbo_samples = 1
#     eta = 0.01
#     adapt
#       engaged = false
#       iter = 50 (Default)
#     tol_rel_obj = 1e-16
#     eval_elbo = 10000
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/stan_data.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/fixed_eta_grad_elbo_grid/grad_samples_100/elbo_samples_1/eta_0p01/output.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/fixed_eta_grad_elbo_grid/grad_samples_100/elbo_samples_1/eta_0p01/diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=1dgaussian.stan
lp__,log_p__,log_g__,mu
0,0,0,3.0599007
0,-146.03982,-0.088034075,3.017958
0,-146.56891,-0.6114387,3.1704376
0,-146.02072,-0.065799406,3.0961619
0,-146.06746,-0.11212892,3.1072365
0,-145.95556,-0.0023076312,3.05311
0,-148.82423,-2.8633135,3.299103
0,-146.96215,-1.0150589,2.9174789
0,-146.33068,-0.37398754,3.1463496
0,-145.97068,-0.016451131,3.078032
0,-146.15318,-0.20234224,2.9963128
0,-147.12498,-1.1662461,3.212561
0,-146.4574,-0.50026264,3.1598846
0,-147.87803,-1.918131,3.2556815
0,-147.89165,-1.9317403,3.2563748
0,-145.99225,-0.039881382,3.0316704
0,-146.14476,-0.18892958,3.1213449
0,-146.15291,-0.19702848,3.122648
0,-146.59749,-0.63993212,3.1729838
0,-145.96251,-0.0084727306,3.0729126
0,-146.14203,-0.18621748,3.1209023
0,-146.04501,-0.093275573,3.0167274
0,-146.22302,-0.26678933,3.1329162
0,-146.33765,-0.38792634,2.9718555
0,-146.10617,-0.1549796,3.0042503
0,-145.97112,-0.01687249,3.0782627
0,-145.95937,-0.0054313843,3.0703187
0,-146.55069,-0.60198547,2.9502216
0,-146.08222,-0.13082963,3.0087697
0,-145.95533,-0.0020615144,3.0534823
0,-145.96219,-0.0081662228,3.0726751
0,-146.34892,-0.39925868,2.9705788
0,-146.97311,-1.0260614,2.9167091
0,-146.52016,-0.56282793,3.1659527
0,-145.98081,-0.026392907,3.0828661
0,-146.00304,-0.048317527,3.0909737
0,-146.04774,-0.0960368,3.0160931
0,-146.01067,-0.058553682,3.0256942
0,-146.21755,-0.26133636,3.1321662
0,-147.1587,-1.212289,2.9042561
0,-146.0613,-0.10601923,3.1059288
0,-145.99567,-0.041038275,3.0885376
0,-147.53175,-1.5723373,3.2371578
0,-146.18322,-0.2271784,3.1272781
0,-145.97286,-0.020156368,3.0398312
0,-145.95731,-0.0034543736,3.0682091
0,-145.9536,-3.825322e-05,3.060775
0,-146.24564,-0.29539795,2.98307
0,-146.0812,-0.12577053,3.1100333
0,-145.95799,-0.0048646339,3.0500412
0,-146.08196,-0.13057027,3.0088204
0,-146.05482,-0.099590814,3.1045115
0,-146.11527,-0.1641503,3.0026275
0,-146.24373,-0.29347927,2.9833199
0,-146.05824,-0.10298498,3.1052654
0,-146.01577,-0.060901488,3.0947862
0,-146.94127,-0.99410516,2.9189565
0,-145.99284,-0.040484679,3.0314576
0,-147.80938,-1.8495726,3.2521508
0,-146.13529,-0.18432112,2.9992105
0,-147.70537,-1.7606406,2.8723295
0,-146.00923,-0.057092163,3.0261238
0,-146.47796,-0.52892585,2.9570924
0,-146.06941,-0.11406909,3.1076443
0,-145.99094,-0.038549814,3.0321456
0,-145.96517,-0.011065992,3.0747712
0,-145.95377,-0.00035662423,3.0572312
0,-146.34932,-0.39256176,3.1484703
0,-145.96651,-0.012370866,3.0756235
0,-147.3951,-1.4494498,2.8897113
0,-146.00879,-0.053999664,3.09275
0,-146.50642,-0.54913261,3.1646544
0,-146.3172,-0.36736249,2.9742209
0,-146.16715,-0.21119499,3.1248647
0,-145.95357,-0.00010086257,3.058481
0,-145.97199,-0.017733386,3.0787253
0,-147.27559,-1.3165872,3.2221025
0,-145.9924,-0.04003053,3.0316176
0,-146.12855,-0.17281266,3.1186657
0,-146.10492,-0.15372065,3.0044768
0,-147.25148,-1.2925111,3.2206126
0,-146.02961,-0.074598396,3.0985103
0,-145.97739,-0.023030865,3.0813536
0,-147.01207,-1.0535489,3.2049976
0,-147.93767,-1.9935893,2.8603061
0,-145.9536,-0.00014459335,3.0582009
0,-150.23241,-4.2704292,3.3520243
0,-145.95468,-0.0013609905,3.0546856
0,-146.1821,-0.23146427,2.9918907
0,-146.51528,-0.56642312,2.9535106
0,-146.05464,-0.099416832,3.1044726
0,-146.11642,-0.16530933,3.0024256
0,-146.26545,-0.31532837,2.9805205
0,-147.72167,-1.7619807,3.2475433
0,-146.2511,-0.29474146,3.1366459
0,-146.86278,-0.90456988,3.1943479
0,-146.04169,-0.086569149,3.1014929
0,-146.0434,-0.091648771,3.0171056
0,-146.7048,-0.75674479,2.9369289
0,-146.24842,-0.29206568,3.1362968
0,-146.13171,-0.18071364,2.9998073
0,-146.77291,-0.81491011,3.187511
0,-147.27061,-1.3245583,2.8972086
0,-145.98779,-0.035348602,3.033323
0,-146.25407,-0.30388176,2.9819745
0,-146.16274,-0.20680385,3.1241858
0,-146.05769,-0.10608556,3.0138582
0,-146.02204,-0.070060345,3.0224839
0,-146.00323,-0.051020163,3.0279705
0,-147.30522,-1.3592882,2.8950895
0,-146.08201,-0.12657167,3.1101927
0,-145.95504,-0.0013094808,3.0650161
0,-145.95383,-0.00042661055,3.0569809
0,-146.26109,-0.3109421,2.9810745
0,-146.41005,-0.46069689,2.9639521
0,-145.98729,-0.032774621,3.0854924
0,-145.98276,-0.030242691,3.0353173
0,-146.41553,-0.45853269,3.1556236
0,-146.50267,-0.55375324,2.9547072
0,-146.2864,-0.33639891,2.9779112
0,-145.99035,-0.035788112,3.0866431
0,-146.69593,-0.73811987,3.1813498
0,-145.97879,-0.02440895,3.0819861
0,-146.12713,-0.17610563,3.0005785
0,-146.80364,-0.85596815,2.9291152
0,-146.02988,-0.074874054,3.0985816
0,-147.53865,-1.5792299,3.2375459
0,-146.99053,-1.032054,3.2035098
0,-146.40225,-0.4528544,2.9647723
0,-145.95726,-0.0034146253,3.0681611
0,-146.08984,-0.13851536,3.0072893
0,-145.95549,-0.0022377241,3.0532136
0,-146.26661,-0.31649687,2.9803735
0,-146.28354,-0.33351822,2.978263
0,-147.6143,-1.6693103,2.8772592
0,-146.63774,-0.68941148,2.9425272
0,-145.96779,-0.013620517,3.0763986
0,-147.41971,-1.4604695,3.2307358
0,-145.98468,-0.030199251,3.0844664
0,-145.99488,-0.042550341,3.030741
0,-150.30023,-4.3382144,3.3543336
0,-146.1664,-0.21044999,3.12475
0,-146.75736,-0.80951712,2.9327133
0,-147.11187,-1.1652984,2.9073025
0,-145.97581,-0.021474027,3.0806158
0,-145.96048,-0.0065110924,3.0713073
0,-145.95543,-0.0016725412,3.0656819
0,-145.97298,-0.020273772,3.0397728
0,-146.61294,-0.65534603,3.1743376
0,-145.98964,-0.037233472,3.0326236
0,-145.96064,-0.0066644589,3.0714409
0,-146.48501,-0.53601154,2.956406
0,-146.23278,-0.27649792,3.1342329
0,-147.39207,-1.4328725,3.2291141
0,-146.0449,-0.093165821,3.0167528
0,-146.93893,-0.98056016,3.1998813
0,-146.09693,-0.14139562,3.1130563
0,-145.96245,-0.008412955,3.0728667
0,-145.95572,-0.0024808843,3.0528597
0,-145.9546,-0.00090646585,3.0641567
0,-146.98942,-1.030945,3.2034327
0,-146.71509,-0.76707191,2.9360926
