# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 300000
#     grad_samples = 100
#     elbo_samples = 100 (Default)
#     eta = 10
#     adapt
#       engaged = false
#       iter = 50 (Default)
#     tol_rel_obj = 1e-16
#     eval_elbo = 10000
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/stan_data.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/fixed_eta_grad_elbo_grid/grad_samples_100/elbo_samples_100/eta_10p0/output.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/fixed_eta_grad_elbo_grid/grad_samples_100/elbo_samples_100/eta_10p0/diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# iter,time_in_seconds,ELBO
10000,0.215,-147.27033
20000,0.435,-147.42889
30000,0.658,-147.41809
40000,0.881,-147.25292
50000,1.097,-147.49208
60000,1.313,-147.33692
70000,1.53,-147.38709
80000,1.747,-147.33301
90000,1.965,-147.33211
100000,2.182,-147.22426
110000,2.4,-147.37452
120000,2.623,-147.32217
130000,2.842,-147.34529
140000,3.059,-147.26622
150000,3.277,-147.38808
160000,3.496,-147.40627
170000,3.715,-147.27402
180000,3.937,-147.29399
190000,4.157,-147.31616
200000,4.373,-147.33424
210000,4.592,-147.32472
220000,4.807,-147.32187
230000,5.023,-147.28868
240000,5.237,-147.42057
250000,5.455,-147.17855
260000,5.675,-147.24375
270000,5.893,-147.29393
280000,6.109,-147.28488
290000,6.326,-147.41128
300000,6.544,-147.24988
