# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 300000
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 100
#     adapt
#       engaged = false
#       iter = 50 (Default)
#     tol_rel_obj = 1e-16
#     eval_elbo = 10000
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/stan_data.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/fixed_eta_grid/grad_samples_1/eta_100p0/output.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/fixed_eta_grid/grad_samples_1/eta_100p0/diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# iter,time_in_seconds,ELBO
10000,0.007,-150.29521
20000,0.014,-156.61551
30000,0.021,-149.06837
40000,0.03,-147.55112
50000,0.038,-147.49923
60000,0.045,-148.76609
70000,0.052,-147.97153
80000,0.059,-147.50155
90000,0.067,-147.53305
100000,0.074,-147.69007
110000,0.081,-148.31014
120000,0.089,-150.77369
130000,0.096,-147.28855
140000,0.103,-148.08191
150000,0.11,-150.88709
160000,0.118,-147.48719
170000,0.125,-152.33275
180000,0.132,-148.1799
190000,0.14,-150.39893
200000,0.147,-148.43466
210000,0.155,-147.61286
220000,0.162,-148.32788
230000,0.169,-148.43682
240000,0.177,-148.28565
250000,0.184,-148.60476
260000,0.191,-150.79144
270000,0.199,-148.6202
280000,0.206,-147.33966
290000,0.213,-147.56944
300000,0.221,-148.33341
