# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# start_datetime = 2026-05-28 21:55:31 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 200
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = true (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/k_/lm3f3ty933bgx8bfm0dsx7cr0000gn/T/tmp0t1b4ewy/s19qd60m.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad200/advi_grad_samples_200/1dgaussian-20260528175531887516.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad200/advi_grad_samples_200/1dgaussian-20260528175531887516-diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=1dgaussian.stan
lp__,log_p__,log_g__,mu
# Stepsize adaptation complete.
# eta = 100
0,0,0,-48.066005
0,-130846.06,-0.022628311,-48.065255
0,-130861.11,-0.1938872,-48.068198
0,-130839.68,-0.16074681,-48.064008
0,-130852.69,-0.012074224,-48.066552
0,-130861.21,-0.19736396,-48.068217
0,-130886.27,-2.0394783,-48.073118
0,-130863.85,-0.30014679,-48.068733
0,-130839.67,-0.16126598,-48.064004
0,-130858.41,-0.11169785,-48.067669
0,-130824.89,-0.964354,-48.061113
0,-130828.16,-0.72833737,-48.061754
0,-130851.67,-0.0048381452,-48.066351
0,-130844.74,-0.040980318,-48.064996
0,-130823.77,-1.0524988,-48.060895
0,-130868.69,-0.54444172,-48.06968
0,-130858.03,-0.10196581,-48.067595
0,-130870.07,-0.62787028,-48.069951
0,-130856.54,-0.068200579,-48.067305
0,-130843.81,-0.057008318,-48.064815
0,-130844.56,-0.04383433,-48.064962
0,-130841.55,-0.10723578,-48.064374
0,-130857.43,-0.087512577,-48.067478
0,-130812.96,-2.1038156,-48.05878
0,-130847.83,-0.006594433,-48.0656
0,-130896.94,-3.4114398,-48.075204
0,-130856.84,-0.074302143,-48.067362
0,-130884.72,-1.8695759,-48.072815
0,-130891.04,-2.6097407,-48.074051
0,-130894.05,-3.0058013,-48.07464
0,-130849.52,-0.0002171736,-48.065931
0,-130813.57,-2.034733,-48.0589
0,-130846.42,-0.018590748,-48.065325
0,-130849.1,-0.0009836586,-48.065848
0,-130853.98,-0.02573588,-48.066804
0,-130851.66,-0.0047869779,-48.066349
0,-130858.93,-0.12600664,-48.067773
0,-130875.54,-1.014072,-48.07102
0,-130819.04,-1.4683136,-48.059969
0,-130852.38,-0.0095212692,-48.066491
0,-130826.16,-0.86852627,-48.061363
0,-130819.57,-1.4177752,-48.060074
0,-130836.67,-0.26975651,-48.063418
0,-130870.12,-0.63059159,-48.06996
0,-130849.72,-4.7938629e-05,-48.06597
0,-130825.59,-0.91104854,-48.06125
0,-130843.85,-0.056326478,-48.064822
0,-130874.06,-0.90055932,-48.070731
0,-130864.09,-0.31087801,-48.068782
0,-130844.54,-0.044185313,-48.064958
0,-130859.28,-0.13590431,-48.067841
0,-130858.94,-0.12613433,-48.067774
0,-130851.63,-0.0046310579,-48.066344
0,-130845.02,-0.036632812,-48.065051
0,-130854.02,-0.026188971,-48.066811
0,-130863.33,-0.27815933,-48.068631
0,-130837.03,-0.25520687,-48.063488
0,-130846.46,-0.018182014,-48.065333
0,-130846.31,-0.019845486,-48.065303
0,-130856.38,-0.064827512,-48.067273
0,-130846.48,-0.017949168,-48.065337
0,-130868.94,-0.55944843,-48.06973
0,-130839.68,-0.16090897,-48.064007
0,-130858.32,-0.10945092,-48.067652
0,-130864.63,-0.33467302,-48.068886
0,-130840.75,-0.12882147,-48.064217
0,-130854.66,-0.034966387,-48.066936
0,-130831.7,-0.51039875,-48.062446
0,-130874.29,-0.91761397,-48.070776
0,-130840.01,-0.1505487,-48.064072
0,-130835.29,-0.328868,-48.063148
0,-130859.88,-0.15374355,-48.067958
0,-130860.12,-0.16119459,-48.068004
0,-130858.95,-0.12655342,-48.067776
0,-130839.77,-0.15813416,-48.064024
0,-130849.1,-0.00096406082,-48.06585
0,-130839.32,-0.17232697,-48.063937
0,-130828.05,-0.73600299,-48.061732
0,-130863.84,-0.29971958,-48.068731
0,-130891.56,-2.6766305,-48.074153
0,-130891.46,-2.6638374,-48.074134
0,-130850.38,-0.00037148664,-48.066101
0,-130830.19,-0.59864661,-48.062151
0,-130837.68,-0.22986173,-48.063617
0,-130849.19,-0.00075963753,-48.065867
0,-130827.61,-0.76603132,-48.061645
0,-130841.6,-0.10603424,-48.064383
0,-130840.22,-0.14424881,-48.064113
0,-130883.46,-1.7365655,-48.072568
0,-130873.93,-0.89039822,-48.070705
0,-130860.14,-0.16186289,-48.068008
0,-130862.43,-0.24222177,-48.068456
0,-130864.3,-0.31975597,-48.068821
0,-130832.01,-0.49330008,-48.062506
0,-130886.27,-2.0396133,-48.073118
0,-130842.76,-0.078491937,-48.064609
0,-130837.41,-0.24015334,-48.063564
0,-130854.78,-0.036855981,-48.066961
0,-130836.19,-0.28973201,-48.063324
0,-130834.92,-0.3459618,-48.063075
0,-130841.28,-0.11452263,-48.064319
0,-130857.47,-0.088550472,-48.067487
0,-130873.05,-0.8266268,-48.070533
0,-130854.09,-0.027120195,-48.066825
0,-130826.11,-0.87226303,-48.061353
0,-130861.8,-0.2183768,-48.068332
0,-130874.72,-0.95056977,-48.070861
0,-130859.36,-0.13820603,-48.067856
0,-130886,-2.0101317,-48.073066
0,-130814.44,-1.9382598,-48.05907
0,-130841.94,-0.097485882,-48.064449
0,-130845.86,-0.025036492,-48.065216
0,-130871,-0.68648522,-48.070131
0,-130840.71,-0.13012055,-48.064208
0,-130874.92,-0.96555308,-48.070899
0,-130857.95,-0.10006556,-48.06758
0,-130850.18,-0.00012891586,-48.066061
0,-130879.32,-1.3348775,-48.071759
0,-130863.49,-0.28507592,-48.068664
0,-130840.07,-0.14881195,-48.064083
0,-130859.08,-0.12998736,-48.0678
0,-130849.88,-1.8974556e-07,-48.066002
0,-130885.62,-1.967564,-48.072991
0,-130817.2,-1.6480872,-48.05961
0,-130839.58,-0.16399616,-48.063988
0,-130851.35,-0.0032580353,-48.066289
0,-130849.5,-0.00024082146,-48.065927
0,-130835.69,-0.31119987,-48.063226
0,-130862.47,-0.2439326,-48.068465
0,-130846.09,-0.02229271,-48.065261
0,-130875,-0.97149869,-48.070914
0,-130828.55,-0.70226755,-48.061831
0,-130831.09,-0.54529348,-48.062327
0,-130847.79,-0.0068214921,-48.065593
0,-130879.27,-1.3307558,-48.07175
0,-130851.22,-0.0027105606,-48.066264
0,-130867.11,-0.45669267,-48.069371
0,-130879.67,-1.3668205,-48.071828
0,-130864.93,-0.34876527,-48.068946
0,-130855.89,-0.055462258,-48.067178
0,-130859.75,-0.14973832,-48.067932
0,-130880.15,-1.411635,-48.071922
0,-130843.56,-0.06185665,-48.064766
0,-130834.05,-0.38731883,-48.062905
0,-130877.4,-1.1664803,-48.071384
0,-130847.13,-0.011786517,-48.065464
0,-130872.79,-0.8079624,-48.070482
0,-130820.17,-1.3624755,-48.060191
0,-130855.33,-0.045497759,-48.067067
0,-130843.02,-0.072840817,-48.06466
0,-130848.15,-0.0046737702,-48.065664
0,-130878.26,-1.2401918,-48.071551
0,-130840.48,-0.13664366,-48.064163
0,-130850.92,-0.0016311055,-48.066206
0,-130845.35,-0.031811241,-48.065116
0,-130842.9,-0.075442886,-48.064637
0,-130864.01,-0.30705491,-48.068765
0,-130826.81,-0.82175835,-48.061489
0,-130894.49,-3.0654591,-48.074725
0,-130842.16,-0.092237746,-48.064492
0,-130835.22,-0.33221392,-48.063134
0,-130885.51,-1.9555846,-48.07297
0,-130850.09,-5.8500489e-05,-48.066043
0,-130836.84,-0.26271995,-48.063452
0,-130837.9,-0.22184153,-48.063659
0,-130868.2,-0.51675599,-48.069585
0,-130876.8,-1.1156914,-48.071266
0,-130876.96,-1.1293237,-48.071298
0,-130847.7,-0.007407583,-48.065576
0,-130840.31,-0.14169999,-48.06413
0,-130854.09,-0.027168409,-48.066826
0,-130839.24,-0.17485872,-48.063922
0,-130839.36,-0.17102341,-48.063945
0,-130864.26,-0.31813545,-48.068814
0,-130815.96,-1.7752827,-48.059368
0,-130864.78,-0.34152829,-48.068915
0,-130835.94,-0.30014038,-48.063276
0,-130831.7,-0.5106089,-48.062445
0,-130840.29,-0.14217131,-48.064127
0,-130855.73,-0.052564726,-48.067147
0,-130855.64,-0.050986932,-48.067129
0,-130853.87,-0.024392856,-48.066782
0,-130838.92,-0.18560861,-48.063859
0,-130817.53,-1.6149686,-48.059675
0,-130822.07,-1.1937579,-48.060563
0,-130833.97,-0.39094008,-48.06289
0,-130857.51,-0.089393803,-48.067494
0,-130860.47,-0.17230245,-48.068072
0,-130896.54,-3.3544529,-48.075127
0,-130824.55,-0.99047718,-48.061048
0,-130873.44,-0.85477723,-48.07061
0,-130857.11,-0.080339505,-48.067416
0,-130856.3,-0.063219068,-48.067257
0,-130865.39,-0.37009631,-48.069035
0,-130861.78,-0.2179656,-48.06833
0,-130874.81,-0.95734879,-48.070878
0,-130843.19,-0.069217785,-48.064694
0,-130870.7,-0.66766319,-48.070074
0,-130841.38,-0.11164908,-48.06434
0,-130820.17,-1.3627911,-48.06019
0,-130840.71,-0.13017455,-48.064208
0,-130883.12,-1.7024067,-48.072503
0,-130845.36,-0.031673374,-48.065118
0,-130833.8,-0.39929131,-48.062857
0,-130857.94,-0.099801666,-48.067578
0,-130835.6,-0.31514496,-48.063208
0,-130855.4,-0.046669503,-48.067081
0,-130843.59,-0.061244963,-48.064772
0,-130873.44,-0.85472861,-48.070609
0,-130815.65,-1.8086548,-48.059306
