source_file,restart_idx,estimated_alpha,best_elbo_np,final_elbo,n_records,method,mc_setting
single_MC/logistic_regression/results/numpyro_processed_restarts.csv,0,,-66.50431823730469,,40000,numpyro,1_mc
single_MC/logistic_regression/results/numpyro_processed_restarts.csv,1,,-66.49609375,,40000,numpyro,1_mc
single_MC/logistic_regression/results/numpyro_processed_restarts.csv,2,,-66.49478912353516,,40000,numpyro,1_mc
single_MC/logistic_regression/results/numpyro_processed_restarts.csv,3,,-66.49373626708984,,40000,numpyro,1_mc
single_MC/logistic_regression/results/numpyro_processed_restarts.csv,4,,-66.50130462646484,,40000,numpyro,1_mc
single_MC/logistic_regression/results/numpyro_processed_restarts.csv,5,,-66.49551391601562,,40000,numpyro,1_mc
single_MC/logistic_regression/results/numpyro_processed_restarts.csv,6,,-66.5050048828125,,40000,numpyro,1_mc
single_MC/logistic_regression/results/numpyro_processed_restarts.csv,7,,-66.50528717041016,,40000,numpyro,1_mc
single_MC/logistic_regression/results/numpyro_processed_restarts.csv,8,,-66.48340606689453,,40000,numpyro,1_mc
single_MC/logistic_regression/results/numpyro_processed_restarts.csv,9,,-66.51091003417969,,40000,numpyro,1_mc
single_MC/logistic_regression/results/numpyro_processed_restarts.csv,0,,-66.49790954589844,,40000,numpyro,100_mc
single_MC/logistic_regression/results/numpyro_processed_restarts.csv,1,,-66.4941177368164,,40000,numpyro,100_mc
single_MC/logistic_regression/results/numpyro_processed_restarts.csv,2,,-66.49147033691406,,40000,numpyro,100_mc
single_MC/logistic_regression/results/numpyro_processed_restarts.csv,3,,-66.49335479736328,,40000,numpyro,100_mc
single_MC/logistic_regression/results/numpyro_processed_restarts.csv,4,,-66.50086212158203,,40000,numpyro,100_mc
single_MC/logistic_regression/results/numpyro_processed_restarts.csv,5,,-66.49269104003906,,40000,numpyro,100_mc
single_MC/logistic_regression/results/numpyro_processed_restarts.csv,6,,-66.50403594970703,,40000,numpyro,100_mc
single_MC/logistic_regression/results/numpyro_processed_restarts.csv,7,,-66.50048828125,,40000,numpyro,100_mc
single_MC/logistic_regression/results/numpyro_processed_restarts.csv,8,,-66.48063659667969,,40000,numpyro,100_mc
single_MC/logistic_regression/results/numpyro_processed_restarts.csv,9,,-66.50582885742188,,40000,numpyro,100_mc
single_MC/logistic_regression/results/tfp_processed_restarts.csv,0,,-66.50788879394531,,4000,tfp,1_mc
single_MC/logistic_regression/results/tfp_processed_restarts.csv,1,,-66.51404571533203,,4000,tfp,1_mc
single_MC/logistic_regression/results/tfp_processed_restarts.csv,2,,-66.49507141113281,,4000,tfp,1_mc
single_MC/logistic_regression/results/tfp_processed_restarts.csv,3,,-66.49878692626953,,4000,tfp,1_mc
