candidate_idx,package,setting,restart_idx,input_file,n_records,selection_score,selected_best,mu_mean,mu_sd,kappa_sq_log___mean,kappa_sq_log___sd,sigma_sq_log___mean,sigma_sq_log___sd
0,numpyro,adam_100_mc,0,/Users/madelynandersen/Documents/VB Bakeoff/simpleVI/single_MC/radon_example/price_nero_gelman_1996/results/numpyro_processed_restarts.csv,4000,1.878227354637026,False,4.947775363922119,0.03434683009982109,-0.5616111755371094,0.04643527418375015,-2.292931079864502,0.15401208400726318
1,numpyro,adam_100_mc,1,/Users/madelynandersen/Documents/VB Bakeoff/simpleVI/single_MC/radon_example/price_nero_gelman_1996/results/numpyro_processed_restarts.csv,4000,1.8691111420186506,False,4.948523044586182,0.03414685279130936,-0.5615746378898621,0.046429477632045746,-2.297750949859619,0.15544454753398895
2,numpyro,adam_100_mc,2,/Users/madelynandersen/Documents/VB Bakeoff/simpleVI/single_MC/radon_example/price_nero_gelman_1996/results/numpyro_processed_restarts.csv,4000,1.3859609091234006,False,4.948134899139404,0.03422706201672554,-0.5587537884712219,0.04682573303580284,-2.295319080352783,0.15417629480361938
3,numpyro,adam_100_mc,3,/Users/madelynandersen/Documents/VB Bakeoff/simpleVI/single_MC/radon_example/price_nero_gelman_1996/results/numpyro_processed_restarts.csv,4000,1.7385700307782184,False,4.94775390625,0.034290581941604614,-0.5609368681907654,0.046413201838731766,-2.2982354164123535,0.15519602596759796
4,numpyro,adam_100_mc,4,/Users/madelynandersen/Documents/VB Bakeoff/simpleVI/single_MC/radon_example/price_nero_gelman_1996/results/numpyro_processed_restarts.csv,4000,1.5845449085699204,False,4.947648525238037,0.034080833196640015,-0.5604660511016846,0.046823952347040176,-2.2945916652679443,0.1532311737537384
5,tfp,adam_100_mc,0,/Users/madelynandersen/Documents/VB Bakeoff/simpleVI/single_MC/radon_example/price_nero_gelman_1996/results/tfp_processed_restarts.csv,4000,1.9597974016901711,False,4.947460174560547,0.03390958905220032,-0.5588870644569397,0.04656752571463585,-2.295900344848633,0.15492652356624603
6,tfp,adam_100_mc,1,/Users/madelynandersen/Documents/VB Bakeoff/simpleVI/single_MC/radon_example/price_nero_gelman_1996/results/tfp_processed_restarts.csv,4000,2.213715784988576,False,4.948653697967529,0.03434620797634125,-0.5632852911949158,0.04659426212310791,-2.2927706241607666,0.15378983318805695
7,tfp,adam_100_mc,2,/Users/madelynandersen/Documents/VB Bakeoff/simpleVI/single_MC/radon_example/price_nero_gelman_1996/results/tfp_processed_restarts.csv,4000,2.1632849751249776,False,4.947563648223877,0.03397218883037567,-0.560938835144043,0.046570662409067154,-2.2967631816864014,0.1555166095495224
8,tfp,adam_100_mc,3,/Users/madelynandersen/Documents/VB Bakeoff/simpleVI/single_MC/radon_example/price_nero_gelman_1996/results/tfp_processed_restarts.csv,4000,2.3735075161492376,False,4.945745944976807,0.034011561423540115,-0.5589401125907898,0.04654749110341072,-2.291295051574707,0.15314176678657532
9,tfp,adam_100_mc,4,/Users/madelynandersen/Documents/VB Bakeoff/simpleVI/single_MC/radon_example/price_nero_gelman_1996/results/tfp_processed_restarts.csv,4000,2.4083949241290106,False,4.947379112243652,0.0339420922100544,-0.5596155524253845,0.046458519995212555,-2.2945468425750732,0.15649670362472534
10,pymc,default_100_mc,0,/Users/madelynandersen/Documents/VB Bakeoff/simpleVI/single_MC/radon_example/price_nero_gelman_1996/results/pymc_default_processed_restarts.csv,80,1.0187357520054041,True,4.9483009715330795,0.03416480273884367,-0.5594039816147848,0.04671529543925131,-2.293125639875289,0.1553678868817351
11,pymc,default_100_mc,1,/Users/madelynandersen/Documents/VB Bakeoff/simpleVI/single_MC/radon_example/price_nero_gelman_1996/results/pymc_default_processed_restarts.csv,80,1.2145856086018065,False,4.949757685039194,0.03422928912560222,-0.5595435809152357,0.04679199815050182,-2.2937478447407558,0.15499662104297818
12,pymc,default_100_mc,2,/Users/madelynandersen/Documents/VB Bakeoff/simpleVI/single_MC/radon_example/price_nero_gelman_1996/results/pymc_default_processed_restarts.csv,80,1.0723549804150982,False,4.947724227334769,0.034120480332265106,-0.5597947911146275,0.04671495461322164,-2.2955570406110652,0.15379487643411072
13,pymc,default_100_mc,3,/Users/madelynandersen/Documents/VB Bakeoff/simpleVI/single_MC/radon_example/price_nero_gelman_1996/results/pymc_default_processed_restarts.csv,80,1.055708929075368,False,4.947325040905798,0.03408963554908431,-0.5582030878920131,0.046550502109592815,-2.2922341488579097,0.15541287717924535
14,pymc,default_100_mc,4,/Users/madelynandersen/Documents/VB Bakeoff/simpleVI/single_MC/radon_example/price_nero_gelman_1996/results/pymc_default_processed_restarts.csv,80,1.1242205092558442,False,4.946564019336455,0.03444968578684987,-0.558625566370307,0.04690218711733825,-2.293949391296189,0.15494017144345412
15,pymc,adam_100_mc,0,/Users/madelynandersen/Documents/VB Bakeoff/simpleVI/single_MC/radon_example/price_nero_gelman_1996/results/pymc_adam_processed_restarts.csv,80,1.8908365401880451,False,4.948560620799541,0.03408227503526586,-0.5596736075919747,0.046591147425137446,-2.2935956011107668,0.15593087407702771
16,pymc,adam_100_mc,1,/Users/madelynandersen/Documents/VB Bakeoff/simpleVI/single_MC/radon_example/price_nero_gelman_1996/results/pymc_adam_processed_restarts.csv,80,2.2397806399902307,False,4.951953879417899,0.03397172393349667,-0.5601850329398492,0.0468529095827766,-2.294287006844537,0.15497251523793626
