parameter,mean,sd,source,model,scale,best_package,best_setting,best_restart_idx,selection_score
mu,4.9483009715330795,0.03416480273884367,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
kappa_sq_log__,-0.5594039816147848,0.04671529543925131,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
sigma_sq_log__,-2.293125639875289,0.1553678868817351,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[AITKIN],4.681369367135992,0.24192267460457584,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[ANOKA],4.527689248093109,0.0997435217610717,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[BECKER],4.854356538864328,0.25565385328757134,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[BELTRAMI],4.864158447335603,0.21100379476824013,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[BENTON],4.916693515580789,0.24296758084767192,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[BIG STONE],5.012705272539507,0.254898284402377,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[BLUE EARTH],5.355920957050047,0.1697565429714567,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[BROWN],5.071091626168531,0.2417271175354685,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[CARLTON],4.7006894570487345,0.1907351503502683,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[CARVER],4.95774474930809,0.22039757380255273,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[CASS],4.980694375209448,0.2315384043260752,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[CHIPPEWA],5.112731443331497,0.24233907266140742,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[CHISAGO],4.806661076611423,0.22101772435147551,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[CLAY],5.270542499089656,0.16900455652902086,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[CLEARWATER],4.807938234313501,0.2417847392949942,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[COOK],4.779388537805458,0.2717871148960451,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[COTTONWOOD],4.793309530125211,0.24289562727822636,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[CROW WING],4.693161851658111,0.17887328125078925,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[DAKOTA],4.91947809709044,0.09068325550284131,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[DODGE],5.1064650962300036,0.2554935444856074,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[DOUGLAS],5.1451875091529,0.19694600258209177,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[FARIBAULT],4.627508443801594,0.22187237826943776,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[FILLMORE],4.878354653537129,0.27221862122526497,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[FREEBORN],5.318395590307992,0.19781761822670874,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
