parameter,mean,sd,source,model,scale,best_package,best_setting,best_restart_idx,selection_score
mu_a,1.4921311140060425,0.0348968543112278,Saved VI NumPyro-ELBO best (pymc default_100_mc restart 0),pymc_tutorial,unconstrained_for_positive_scales,pymc,default_100_mc,0,-1062.56787109375
sigma_a_log__,-1.128519058227539,0.07703481614589691,Saved VI NumPyro-ELBO best (pymc default_100_mc restart 0),pymc_tutorial,unconstrained_for_positive_scales,pymc,default_100_mc,0,-1062.56787109375
alpha[AITKIN],1.222760558128357,0.24140632152557373,Saved VI NumPyro-ELBO best (pymc default_100_mc restart 0),pymc_tutorial,unconstrained_for_positive_scales,pymc,default_100_mc,0,-1062.56787109375
alpha[ANOKA],0.9779698252677917,0.0961950346827507,Saved VI NumPyro-ELBO best (pymc default_100_mc restart 0),pymc_tutorial,unconstrained_for_positive_scales,pymc,default_100_mc,0,-1062.56787109375
alpha[BECKER],1.5091545581817627,0.2554871439933777,Saved VI NumPyro-ELBO best (pymc default_100_mc restart 0),pymc_tutorial,unconstrained_for_positive_scales,pymc,default_100_mc,0,-1062.56787109375
alpha[BELTRAMI],1.5386872291564941,0.208512082695961,Saved VI NumPyro-ELBO best (pymc default_100_mc restart 0),pymc_tutorial,unconstrained_for_positive_scales,pymc,default_100_mc,0,-1062.56787109375
alpha[BENTON],1.4681025743484497,0.24114757776260376,Saved VI NumPyro-ELBO best (pymc default_100_mc restart 0),pymc_tutorial,unconstrained_for_positive_scales,pymc,default_100_mc,0,-1062.56787109375
alpha[BIG STONE],1.5115511417388916,0.2552424967288971,Saved VI NumPyro-ELBO best (pymc default_100_mc restart 0),pymc_tutorial,unconstrained_for_positive_scales,pymc,default_100_mc,0,-1062.56787109375
alpha[BLUE EARTH],1.878402829170227,0.16663101315498352,Saved VI NumPyro-ELBO best (pymc default_100_mc restart 0),pymc_tutorial,unconstrained_for_positive_scales,pymc,default_100_mc,0,-1062.56787109375
alpha[BROWN],1.7102503776550293,0.24073241651058197,Saved VI NumPyro-ELBO best (pymc default_100_mc restart 0),pymc_tutorial,unconstrained_for_positive_scales,pymc,default_100_mc,0,-1062.56787109375
alpha[CARLTON],1.1913267374038696,0.18620459735393524,Saved VI NumPyro-ELBO best (pymc default_100_mc restart 0),pymc_tutorial,unconstrained_for_positive_scales,pymc,default_100_mc,0,-1062.56787109375
alpha[CARVER],1.5210949182510376,0.21833792328834534,Saved VI NumPyro-ELBO best (pymc default_100_mc restart 0),pymc_tutorial,unconstrained_for_positive_scales,pymc,default_100_mc,0,-1062.56787109375
alpha[CASS],1.4623761177062988,0.22888414561748505,Saved VI NumPyro-ELBO best (pymc default_100_mc restart 0),pymc_tutorial,unconstrained_for_positive_scales,pymc,default_100_mc,0,-1062.56787109375
alpha[CHIPPEWA],1.6090176105499268,0.2414969950914383,Saved VI NumPyro-ELBO best (pymc default_100_mc restart 0),pymc_tutorial,unconstrained_for_positive_scales,pymc,default_100_mc,0,-1062.56787109375
alpha[CHISAGO],1.2671773433685303,0.21798075735569,Saved VI NumPyro-ELBO best (pymc default_100_mc restart 0),pymc_tutorial,unconstrained_for_positive_scales,pymc,default_100_mc,0,-1062.56787109375
alpha[CLAY],1.8643943071365356,0.16647538542747498,Saved VI NumPyro-ELBO best (pymc default_100_mc restart 0),pymc_tutorial,unconstrained_for_positive_scales,pymc,default_100_mc,0,-1062.56787109375
alpha[CLEARWATER],1.433393955230713,0.24079369008541107,Saved VI NumPyro-ELBO best (pymc default_100_mc restart 0),pymc_tutorial,unconstrained_for_positive_scales,pymc,default_100_mc,0,-1062.56787109375
alpha[COOK],1.2753546237945557,0.27307721972465515,Saved VI NumPyro-ELBO best (pymc default_100_mc restart 0),pymc_tutorial,unconstrained_for_positive_scales,pymc,default_100_mc,0,-1062.56787109375
alpha[COTTONWOOD],1.3844709396362305,0.2405768632888794,Saved VI NumPyro-ELBO best (pymc default_100_mc restart 0),pymc_tutorial,unconstrained_for_positive_scales,pymc,default_100_mc,0,-1062.56787109375
alpha[CROW WING],1.256369948387146,0.1758919358253479,Saved VI NumPyro-ELBO best (pymc default_100_mc restart 0),pymc_tutorial,unconstrained_for_positive_scales,pymc,default_100_mc,0,-1062.56787109375
alpha[DAKOTA],1.3772618770599365,0.08818352222442627,Saved VI NumPyro-ELBO best (pymc default_100_mc restart 0),pymc_tutorial,unconstrained_for_positive_scales,pymc,default_100_mc,0,-1062.56787109375
alpha[DODGE],1.6127593517303467,0.25593507289886475,Saved VI NumPyro-ELBO best (pymc default_100_mc restart 0),pymc_tutorial,unconstrained_for_positive_scales,pymc,default_100_mc,0,-1062.56787109375
alpha[DOUGLAS],1.6542720794677734,0.19425703585147858,Saved VI NumPyro-ELBO best (pymc default_100_mc restart 0),pymc_tutorial,unconstrained_for_positive_scales,pymc,default_100_mc,0,-1062.56787109375
alpha[FARIBAULT],1.104549765586853,0.21922971308231354,Saved VI NumPyro-ELBO best (pymc default_100_mc restart 0),pymc_tutorial,unconstrained_for_positive_scales,pymc,default_100_mc,0,-1062.56787109375
alpha[FILLMORE],1.4675848484039307,0.27262043952941895,Saved VI NumPyro-ELBO best (pymc default_100_mc restart 0),pymc_tutorial,unconstrained_for_positive_scales,pymc,default_100_mc,0,-1062.56787109375
