parameter,mean,sd,source,model,scale,best_package,best_setting,best_restart_idx,selection_score
mu_a,1.4926880598068237,0.034782543778419495,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
sigma_a_log__,-1.1293624639511108,0.07718558609485626,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[AITKIN],1.2207744121551514,0.2414434552192688,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[ANOKA],0.9804816842079163,0.09647737443447113,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[BECKER],1.5101491212844849,0.25470930337905884,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[BELTRAMI],1.5416247844696045,0.2091590017080307,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[BENTON],1.4759788513183594,0.2412988692522049,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[BIG STONE],1.51313054561615,0.2554028332233429,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[BLUE EARTH],1.883507490158081,0.16617074608802795,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[BROWN],1.7119406461715698,0.24009734392166138,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[CARLTON],1.197070837020874,0.18641017377376556,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[CARVER],1.52560293674469,0.21862751245498657,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[CASS],1.459251046180725,0.2288295328617096,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[CHIPPEWA],1.6076939105987549,0.2412654608488083,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[CHISAGO],1.2721959352493286,0.21642720699310303,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[CLAY],1.8611083030700684,0.16516800224781036,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[CLEARWATER],1.432316541671753,0.24005776643753052,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[COOK],1.2707633972167969,0.2734389901161194,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[COTTONWOOD],1.3871476650238037,0.2391156703233719,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[CROW WING],1.254630446434021,0.17583052814006805,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[DAKOTA],1.378039836883545,0.0879201665520668,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[DODGE],1.613534688949585,0.2553237974643707,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[DOUGLAS],1.6568533182144165,0.1932045817375183,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[FARIBAULT],1.1053133010864258,0.21821323037147522,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[FILLMORE],1.471575379371643,0.27282342314720154,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[FREEBORN],1.8896045684814453,0.19263607263565063,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[GOODHUE],1.8360252380371094,0.1656000018119812,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[HENNEPIN],1.3967875242233276,0.0690988078713417,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[HOUSTON],1.6492940187454224,0.2169644683599472,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[HUBBARD],1.375850796699524,0.22676518559455872,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[ISANTI],1.3421227931976318,0.25599655508995056,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[ITASCA],1.134357213973999,0.18088772892951965,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[JACKSON],1.7620846033096313,0.22833971679210663,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[KANABEC],1.3929800987243652,0.24235671758651733,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[KANDIYOHI],1.747894048690796,0.2398444563150406,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[KITTSON],1.5318892002105713,0.25471097230911255,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[KOOCHICHING],1.120551347732544,0.20959147810935974,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[LAC QUI PARLE],1.904347538948059,0.27327993512153625,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[LAKE],0.8471673727035522,0.1932758390903473,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[LAKE OF THE WOODS],1.6565395593643188,0.24033591151237488,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[LE SUEUR],1.6278655529022217,0.22791533172130585,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[LINCOLN],1.8543939590454102,0.2405131310224533,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[LYON],1.7884043455123901,0.20002557337284088,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
