# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# start_datetime = 2026-05-28 21:59:34 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = true (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/k_/lm3f3ty933bgx8bfm0dsx7cr0000gn/T/tmpw61mapv5/2x3j0df6.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100/advi_default/1dgaussian-20260528175934487364.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100/advi_default/1dgaussian-20260528175934487364-diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=1dgaussian.stan
lp__,log_p__,log_g__,mu
# Stepsize adaptation complete.
# eta = 1
0,0,0,3.1215492
0,-147.38725,-0.67183045,3.2288298
0,-146.04322,-0.63626309,3.017147
0,-147.87801,-1.0502157,3.2556807
0,-145.99873,-0.059690527,3.0895718
0,-146.20194,-1.0252977,2.9890186
0,-146.72208,-0.22386242,3.1834765
0,-145.95421,-0.25250995,3.0557788
0,-145.95698,-0.16847441,3.0678265
0,-147.19703,-0.53403595,3.2171974
0,-146.48512,-0.098410728,3.1626086
0,-145.96198,-0.32886368,3.0464908
0,-147.19492,-0.5325394,3.2170633
0,-146.85107,-0.30200213,3.193477
0,-147.06233,-0.44043563,3.2084118
0,-145.99047,-0.070949161,3.0866862
0,-145.95382,-0.24302446,3.057026
0,-147.95684,-1.1134265,3.2596583
0,-146.53772,-0.12373511,3.1675895
0,-148.88785,-1.8953875,3.3017433
0,-149.75525,-2.6653699,3.3352323
0,-146.49363,-0.10239222,3.163431
0,-146.43696,-0.07682642,3.1578275
0,-146.80338,-0.27246771,3.1898694
0,-147.25512,-0.5754702,3.2208386
0,-146.10726,-0.002540943,3.1149516
0,-146.19147,-0.0028074616,3.1284843
0,-145.98841,-0.45682236,3.0330855
0,-146.27804,-1.1871366,2.9789419
0,-146.09206,-0.0051694845,3.1121387
0,-145.99238,-0.47204471,3.0316237
0,-145.9561,-0.17569179,3.0666878
0,-146.24391,-0.011700995,3.1357073
0,-146.32104,-0.032740849,3.1452322
0,-147.66748,-0.88442864,3.2446392
0,-148.88706,-1.8947027,3.3017107
0,-145.95375,-0.24067068,3.0573392
0,-146.6535,-0.18481256,3.1778167
0,-146.22188,-0.0073362159,3.1327598
0,-147.03028,-0.41872481,3.2062438
0,-146.81779,-0.2813149,3.1909697
0,-146.53225,-0.12102417,3.1670824
0,-146.91598,-0.34329403,3.1982367
0,-145.95892,-0.15575907,3.0698936
0,-146.19163,-0.0028270038,3.1285084
0,-145.99533,-0.48299738,3.0305864
0,-146.27018,-0.01794085,3.1390805
0,-146.08317,-0.74492845,3.008583
0,-147.32654,-0.627209,3.225206
0,-146.60873,-0.16040787,3.1739701
0,-145.95937,-0.30993506,3.0486829
0,-146.21609,-1.056162,2.9870386
0,-147.04605,-0.42937902,3.2073146
0,-146.24577,-0.012109182,3.1359521
0,-146.80432,-0.27304405,3.1899416
0,-146.00438,-0.053080893,3.0913942
0,-146.77308,-0.25408133,3.187524
0,-146.24067,-0.011007745,3.1352814
0,-146.22815,-0.008493298,3.1336115
0,-146.14745,-0.90224243,2.9972258
0,-146.10745,-0.80634718,3.0040182
0,-149.25568,-2.2180413,3.3164781
0,-146.25051,-0.01316962,3.1365695
0,-145.95834,-0.15920093,3.0693259
0,-146.01746,-0.040333475,3.0952632
0,-146.80044,-0.27066666,3.1896432
0,-146.9732,-0.38065076,3.2023015
0,-147.01126,-0.40595224,3.2049421
0,-146.29117,-0.023644587,3.1416752
0,-146.71511,-0.21980726,3.1829131
0,-146.66294,-1.9156872,2.9403928
0,-146.15148,-0.91160311,2.9965825
0,-146.01689,-0.040825435,3.0951034
0,-147.73818,-3.676555,2.8705849
0,-146.2853,-0.021990081,3.1409583
0,-145.95957,-0.31152045,3.0484968
0,-145.98323,-0.43598822,3.0351263
0,-146.85706,-0.30576354,3.1939235
0,-146.02747,-0.032483052,3.0979597
0,-146.3728,-0.050875029,3.1510711
0,-145.97233,-0.10619247,3.0788973
0,-145.96165,-0.14184422,3.0722549
0,-145.96438,-0.34416321,3.0447647
0,-145.95379,-0.20820867,3.0618263
0,-146.63094,-0.1724003,3.1758943
0,-146.05958,-0.014926784,3.1055583
0,-147.51291,-0.76589409,3.2360941
0,-146.9291,-0.35178336,3.1991791
0,-146.99012,-0.39185472,3.2034813
0,-145.96404,-0.13191222,3.074012
0,-146.12696,-0.0005800664,3.1183969
0,-145.95358,-0.23288418,3.0583864
0,-146.32557,-0.034214367,3.1457593
0,-147.1418,-0.49521973,3.2136558
0,-147.03214,-0.41997505,3.2063702
0,-146.3832,-0.054838283,3.1521994
0,-147.01345,-0.40741676,3.2050924
0,-146.27337,-1.1774677,2.9795239
0,-146.36216,-1.3565951,2.9691031
0,-146.27509,-0.019219594,3.1396945
0,-147.64082,-0.86378079,3.2431939
0,-145.95447,-0.19413384,3.0638803
0,-146.01847,-0.039478006,3.0955435
0,-146.60453,-0.15816661,3.1736026
0,-145.95506,-0.26673256,3.0539519
