# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# start_datetime = 2026-05-28 21:59:34 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 100
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = true (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/k_/lm3f3ty933bgx8bfm0dsx7cr0000gn/T/tmpw61mapv5/ac_si2r4.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100/advi_grad_samples_100/1dgaussian-20260528175934503872.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100/advi_grad_samples_100/1dgaussian-20260528175934503872-diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=1dgaussian.stan
lp__,log_p__,log_g__,mu
# Stepsize adaptation complete.
# eta = 100
0,0,0,2.1254528
0,-188.39653,-0.050041105,2.1382119
0,-191.7328,-0.15930688,2.1026875
0,-194.92972,-0.9506015,2.0698424
0,-187.23711,-0.19877878,2.1508826
0,-190.99242,-0.069131002,2.1104562
0,-186.77835,-0.28580328,2.1559452
0,-186.58928,-0.3264202,2.1580399
0,-188.61915,-0.032903564,2.135799
0,-188.50735,-0.041056935,2.13701
0,-183.95117,-1.1945902,2.1877928
0,-183.27303,-1.5128142,2.1956064
0,-192.13516,-0.22343785,2.0984919
0,-181.12845,-2.794233,2.2207957
0,-191.72627,-0.15835286,2.1027558
0,-191.98426,-0.19815209,2.1000632
0,-195.12925,-1.0206967,2.0678286
0,-194.61207,-0.84387657,2.073057
0,-187.34717,-0.18030796,2.1496723
0,-191.21162,-0.09203307,2.1081495
0,-180.05434,-3.6018321,2.2337005
0,-182.32764,-2.0250459,2.2066189
0,-186.65802,-0.31132975,2.1572777
0,-196.53798,-1.5814855,2.0537247
0,-188.49113,-0.042316085,2.1371858
0,-191.2646,-0.098049573,2.1075929
0,-195.31795,-1.0891467,2.0659277
0,-192.07293,-0.21283163,2.0991396
0,-184.22856,-1.0759698,2.1846167
0,-195.02427,-0.9835237,2.0688876
0,-186.16037,-0.42897627,2.16281
0,-183.26536,-1.5166456,2.1956952
0,-182.97545,-1.66532,2.1990576
0,-193.43325,-0.50104808,2.0850793
0,-191.78099,-0.16643146,2.102184
0,-190.89991,-0.06043264,2.1114314
0,-187.84896,-0.10773619,2.1441742
0,-188.52425,-0.039766053,2.1368268
0,-186.846,-0.27194843,2.1551969
0,-189.76286,-0.0011719163,2.1235003
0,-187.87489,-0.10450155,2.143891
0,-188.36826,-0.052477759,2.1385189
0,-185.41547,-0.64204112,2.1711552
0,-182.11894,-2.1491575,2.2090691
0,-186.53976,-0.33752047,2.1585894
0,-192.35453,-0.26282255,2.0962121
0,-185.23729,-0.69969406,2.173163
0,-189.22,-0.0045911194,2.1293175
0,-187.31175,-0.18615071,2.1500616
0,-191.45678,-0.1214409,2.1055764
0,-194.56556,-0.82875474,2.0735286
0,-182.56307,-1.889873,2.2038631
0,-185.75102,-0.54051492,2.1673863
0,-188.24467,-0.063818044,2.1398617
0,-185.20073,-0.71184824,2.1735756
0,-194.46114,-0.79527845,2.0745881
0,-189.01668,-0.011262158,2.1315058
0,-191.69202,-0.15339651,2.1031138
0,-189.76307,-0.0011745134,2.1234981
0,-186.73096,-0.29572248,2.1564698
0,-188.08804,-0.07981038,2.1415662
0,-187.63697,-0.13607505,2.1464928
0,-190.87749,-0.058411564,2.1116678
0,-192.55612,-0.30174093,2.0941219
0,-192.11021,-0.21915504,2.0987515
0,-194.85276,-0.92419123,2.0706204
0,-191.30683,-0.10297937,2.1071494
0,-192.54549,-0.29962315,2.094232
0,-193.20972,-0.4456693,2.0873758
0,-189.23825,-0.00413707,2.1291215
0,-195.7508,-1.2540134,2.0615812
0,-192.6727,-0.32543144,2.0929151
0,-193.53799,-0.52806467,2.0840051
0,-192.29915,-0.25258681,2.0967872
0,-190.89259,-0.059769137,2.1115086
0,-191.65484,-0.148104,2.1035025
0,-186.32891,-0.38694266,2.1609325
0,-190.72662,-0.04569163,2.1132608
0,-194.59171,-0.83724061,2.0732635
0,-192.12634,-0.22191942,2.0985836
0,-189.24447,-0.0039876406,2.1290546
0,-191.28929,-0.10091817,2.1073335
0,-183.28303,-1.5078301,2.1954907
0,-189.80226,-0.0017313995,2.1230795
0,-186.66296,-0.31026089,2.1572231
0,-183.80681,-1.2589583,2.1894503
0,-190.05407,-0.0078649244,2.1203945
0,-190.90519,-0.060913597,2.1113757
0,-190.52224,-0.030922899,2.1154229
0,-194.29302,-0.74275687,2.0762964
0,-185.76919,-0.5352775,2.1671826
0,-184.10034,-1.1299775,2.1860834
0,-182.32249,-2.0280605,2.2066793
0,-186.77556,-0.28638226,2.155976
0,-189.99377,-0.0059945451,2.1210368
0,-187.62597,-0.13763844,2.1466134
0,-193.81841,-0.60373034,2.081135
0,-181.10196,-2.8127765,2.2211115
0,-189.5108,-0.00017014548,2.1261968
0,-185.47559,-0.62317693,2.1704787
0,-187.3562,-0.17883256,2.149573
0,-188.80116,-0.021575939,2.1338309
0,-188.46452,-0.044423178,2.1374744
0,-189.01076,-0.011500446,2.1315695
0,-193.26179,-0.45829226,2.0868403
0,-193.77916,-0.59284887,2.0815362
0,-196.72975,-1.6665926,2.05182
0,-182.62226,-1.8566952,2.2031718
0,-184.45137,-0.9854685,2.1820739
0,-196.00386,-1.3554249,2.0590488
0,-181.62649,-2.4581868,2.2148789
0,-182.86443,-1.7242601,2.2003488
0,-184.59041,-0.9311369,2.180491
0,-188.57839,-0.035770454,2.1362403
0,-187.75281,-0.12017101,2.1452251
0,-190.1791,-0.012545441,2.1190643
0,-190.10288,-0.009563474,2.119875
0,-189.29015,-0.0029749779,2.1285638
0,-194.14349,-0.6974797,2.0778182
0,-189.76823,-0.0012417796,2.1234429
0,-189.71713,-0.00065872189,2.1239889
0,-187.5529,-0.14825162,2.1474141
0,-189.40965,-0.0010275095,2.1272811
0,-194.95412,-0.95904526,2.069596
0,-196.28346,-1.4717409,2.0562582
0,-194.80676,-0.90857727,2.0710855
0,-187.19298,-0.20644634,2.1513684
0,-188.83093,-0.019951581,2.1335093
0,-197.11427,-1.8434454,2.0480116
0,-189.05517,-0.0097717816,2.1310911
0,-191.17657,-0.088155027,2.108518
0,-190.49743,-0.029323139,2.1156858
0,-188.72631,-0.025943031,2.1346397
0,-190.68898,-0.042759048,2.1136586
0,-188.03857,-0.08523986,2.1421053
0,-185.75109,-0.54049454,2.1673855
0,-191.35883,-0.10921302,2.1066036
0,-187.10911,-0.22142835,2.1522923
0,-189.13456,-0.0070339428,2.1302364
0,-189.78501,-0.0014730942,2.1232637
0,-192.32308,-0.25698543,2.0965386
0,-184.58165,-0.93450996,2.1805906
0,-179.75467,-3.8478943,2.2373369
0,-188.28594,-0.059905927,2.139413
0,-188.63422,-0.031874666,2.1356359
0,-188.94038,-0.014530378,2.1323282
0,-184.99133,-0.78358124,2.1759421
0,-185.41734,-0.64145202,2.1711342
0,-190.32453,-0.019347516,2.1175192
0,-190.47922,-0.028176531,2.1158787
0,-193.48507,-0.51433036,2.0845477
0,-179.61623,-3.964695,2.2390223
0,-189.13719,-0.0069511582,2.1302082
0,-191.65139,-0.14761757,2.1035386
0,-189.89548,-0.0034871359,2.1220847
0,-185.30989,-0.67588802,2.1723443
0,-188.72126,-0.026252359,2.1346943
0,-185.47704,-0.62272553,2.1704624
0,-188.06353,-0.082477545,2.1418332
0,-187.08987,-0.22494125,2.1525043
0,-186.03797,-0.46092162,2.164176
0,-180.85669,-2.9877502,2.224042
0,-192.95042,-0.3853436,2.0900465
0,-184.97908,-0.78789075,2.1760807
0,-191.82375,-0.17287945,2.1017375
0,-190.19511,-0.013223117,2.118894
0,-192.38693,-0.26890108,2.0958759
0,-193.98617,-0.65130551,2.079422
0,-189.42936,-0.000803709,2.1270698
0,-187.35535,-0.1789716,2.1495824
0,-194.69288,-0.87045568,2.0722383
0,-193.49245,-0.51623536,2.084472
0,-190.08225,-0.0088253689,2.1200946
0,-190.38066,-0.022361673,2.1169236
0,-185.5255,-0.60773881,2.1699175
0,-183.13186,-1.5841763,2.1972419
0,-190.92218,-0.062474277,2.1111965
0,-188.40787,-0.049080452,2.1380889
0,-195.65865,-1.2180054,2.0625049
0,-196.94222,-1.7632945,2.0497139
0,-193.67868,-0.56542216,2.0825641
0,-185.06247,-0.75880155,2.1751373
0,-191.38812,-0.11280247,2.1062963
0,-192.37112,-0.26592732,2.0960399
0,-191.93765,-0.19064078,2.1005491
0,-194.42132,-0.78268483,2.0749925
0,-188.50663,-0.041112817,2.1370178
0,-187.62007,-0.13848098,2.146678
0,-188.55764,-0.037277077,2.1364651
0,-188.39671,-0.050025722,2.13821
0,-194.86203,-0.92735373,2.0705266
0,-190.68608,-0.04253635,2.1136893
0,-186.8944,-0.26225332,2.1546619
0,-186.28792,-0.3969588,2.1613888
0,-189.73052,-0.00079381942,2.1238458
0,-185.97388,-0.47812394,2.1648919
0,-195.41562,-1.1253947,2.0649453
0,-189.73177,-0.00080705563,2.1238325
0,-186.79616,-0.28212082,2.1557481
0,-187.93233,-0.097513763,2.1432639
0,-191.00856,-0.070707142,2.1102862
0,-192.10613,-0.21845891,2.098794
0,-189.96336,-0.0051470209,2.1213608
0,-192.5775,-0.30601956,2.0939005
0,-186.98854,-0.24391544,2.1536222
0,-196.64637,-1.6293332,2.0526477
0,-188.43457,-0.046856148,2.1377992
0,-190.57711,-0.034608891,2.114842
0,-187.16169,-0.21197191,2.1517129
0,-191.24276,-0.095546271,2.1078224
0,-192.13298,-0.22306152,2.0985146
