# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# start_datetime = 2026-05-28 22:05:51 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 0.01
#     adapt
#       engaged = false
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100/stan_data.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100/fixed_eta_grid/grad_samples_1/eta_0p01/output.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100/fixed_eta_grid/grad_samples_1/eta_0p01/diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=1dgaussian.stan
lp__,log_p__,log_g__,mu
0,0,0,2.1800006
0,-223.03546,-0.21211649,1.8179366
0,-258.06501,-0.61765177,1.5621692
0,-155.95407,-0.30239177,2.6122985
0,-230.55869,-0.28712274,1.7587583
0,-167.49679,-3.8169272,3.7158727
0,-163.56277,-0.132427,2.4660799
0,-243.67498,-0.43490743,1.6615629
0,-177.39419,-0.012124762,2.2665641
0,-309.76908,-1.4008936,1.2495342
0,-193.30159,-0.014166763,2.0864313
0,-161.95282,-0.15939188,2.4938572
0,-202.30862,-0.053654376,1.9979045
0,-152.55328,-0.43117455,2.6962085
0,-204.54352,-0.066641636,1.9770591
0,-179.96421,-0.0048577745,2.2347925
0,-192.52925,-0.011856443,2.0944003
0,-149.87963,-0.58114994,2.7792978
0,-182.98713,-0.00057930252,2.1989219
0,-201.56962,-0.049617916,2.004888
0,-147.852,-0.75848162,2.8646538
0,-170.63453,-0.050667775,2.3569561
0,-272.38516,-0.81702953,1.469414
0,-268.84993,-0.76635659,1.4918023
0,-145.96092,-1.2865134,3.0716729
0,-239.00139,-0.37998783,1.6954011
0,-147.40707,-0.81340198,2.8890079
0,-182.19714,-0.0012821781,2.2081502
0,-192.78157,-0.01259069,2.0917896
0,-162.85524,-0.14381198,2.4781237
0,-173.762,-0.028955238,2.3137715
0,-191.98707,-0.010347174,2.1000339
0,-223.14406,-0.2131421,1.8170623
0,-172.22798,-0.038689998,2.3346319
