# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# start_datetime = 2026-05-28 22:05:51 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 100
#     adapt
#       engaged = false
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100/stan_data.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100/fixed_eta_grid/grad_samples_1/eta_100p0/output.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100/fixed_eta_grid/grad_samples_1/eta_100p0/diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=1dgaussian.stan
lp__,log_p__,log_g__,mu
0,0,0,323.50847
0,-5135036.6,-0.17441076,323.50847
0,-5135036.6,-0.020698684,323.50847
0,-5135036.6,-0.1243888,323.50847
0,-5135036.6,-0.091119515,323.50847
0,-5135036.6,-0.91664809,323.50847
0,-5135036.6,-0.10843178,323.50847
0,-5135036.6,-1.2440601,323.50847
0,-5135036.6,-0.17241268,323.50847
0,-5135036.6,-0.78072697,323.50847
0,-5135036.6,-0.01125334,323.50847
0,-5135036.6,-0.27825747,323.50847
0,-5135036.6,-0.038173819,323.50847
0,-5135036.6,-0.028795908,323.50847
0,-5135036.6,-0.45911161,323.50847
0,-5135036.6,-0.53201379,323.50847
0,-5135036.6,-0.31140242,323.50847
0,-5135036.6,-0.13825927,323.50847
0,-5135036.6,-0.091960837,323.50847
0,-5135036.6,-0.30883366,323.50847
0,-5135036.6,-0.21280264,323.50847
0,-5135036.6,-0.50356333,323.50847
0,-5135036.6,-1.0585687e-07,323.50847
0,-5135036.6,-0.24691069,323.50847
0,-5135036.6,-0.087470522,323.50847
0,-5135036.6,-0.29477929,323.50847
0,-5135036.6,-0.00024794478,323.50847
0,-5135036.6,-0.1151756,323.50847
0,-5135036.6,-0.20535628,323.50847
0,-5135036.6,-0.6019158,323.50847
0,-5135036.6,-0.079060898,323.50847
0,-5135036.6,-0.011470684,323.50847
0,-5135036.6,-2.8393336,323.50847
0,-5135036.6,-0.06885822,323.50847
0,-5135036.6,-0.12603519,323.50847
0,-5135036.6,-1.8786187,323.50847
0,-5135036.6,-0.11678772,323.50847
0,-5135036.6,-0.15869643,323.50847
0,-5135036.6,-0.0012136131,323.50847
0,-5135036.6,-0.47210149,323.50847
0,-5135036.6,-0.2004185,323.50847
0,-5135036.6,-0.35472316,323.50847
0,-5135036.6,-0.24994476,323.50847
0,-5135036.6,-2.4975241,323.50847
0,-5135036.6,-0.01009452,323.50847
0,-5135036.6,-0.50254276,323.50847
0,-5135036.6,-0.12585615,323.50847
0,-5135036.6,-3.4684374,323.50847
0,-5135036.6,-0.91186214,323.50847
0,-5135036.6,-0.065174704,323.50847
0,-5135036.6,-0.7245955,323.50847
0,-5135036.6,-0.086724617,323.50847
0,-5135036.6,-0.0103507,323.50847
0,-5135036.6,-0.79503463,323.50847
0,-5135036.6,-0.25187162,323.50847
0,-5135036.6,-0.25428674,323.50847
0,-5135036.6,-1.0040238,323.50847
0,-5135036.6,-0.071181805,323.50847
0,-5135036.6,-0.06826681,323.50847
0,-5135036.6,-0.049014744,323.50847
0,-5135036.6,-0.037031382,323.50847
0,-5135036.6,-0.00032445986,323.50847
0,-5135036.6,-3.0677057,323.50847
0,-5135036.6,-0.028632538,323.50847
0,-5135036.6,-0.048757107,323.50847
0,-5135036.6,-0.13127395,323.50847
0,-5135036.6,-0.16082283,323.50847
0,-5135036.6,-0.0038370406,323.50847
0,-5135036.6,-0.88196739,323.50847
0,-5135036.6,-0.059194607,323.50847
0,-5135036.6,-0.1243627,323.50847
0,-5135036.6,-0.00083042592,323.50847
0,-5135036.6,-0.31322918,323.50847
0,-5135036.6,-1.4597043,323.50847
0,-5135036.6,-8.4962233e-05,323.50847
0,-5135036.6,-0.0094240253,323.50847
0,-5135036.6,-0.85529921,323.50847
0,-5135036.6,-1.7188056,323.50847
0,-5135036.6,-0.018931772,323.50847
0,-5135036.6,-1.3889835,323.50847
0,-5135036.6,-0.021586809,323.50847
0,-5135036.6,-0.015746728,323.50847
0,-5135036.6,-0.14715808,323.50847
0,-5135036.6,-0.4492454,323.50847
0,-5135036.6,-0.00014388926,323.50847
0,-5135036.6,-0.57381309,323.50847
0,-5135036.6,-0.15075701,323.50847
0,-5135036.6,-0.18625008,323.50847
0,-5135036.6,-1.4795658,323.50847
0,-5135036.6,-0.20878845,323.50847
0,-5135036.6,-0.022241462,323.50847
0,-5135036.6,-0.22679692,323.50847
0,-5135036.6,-0.37951181,323.50847
0,-5135036.6,-0.0041433215,323.50847
0,-5135036.6,-0.083736255,323.50847
0,-5135036.6,-0.01925453,323.50847
0,-5135036.6,-0.0038636122,323.50847
0,-5135036.6,-0.22208029,323.50847
0,-5135036.6,-0.0097239987,323.50847
0,-5135036.6,-0.0070568082,323.50847
0,-5135036.6,-0.2022697,323.50847
0,-5135036.6,-0.98030431,323.50847
0,-5135036.6,-1.1615502,323.50847
0,-5135036.6,-0.040506173,323.50847
0,-5135036.6,-0.45837562,323.50847
0,-5135036.6,-1.2351239,323.50847
0,-5135036.6,-0.27565338,323.50847
0,-5135036.6,-1.5721304,323.50847
0,-5135036.6,-0.024710427,323.50847
0,-5135036.6,-0.47353426,323.50847
0,-5135036.6,-0.12718776,323.50847
0,-5135036.6,-0.16782353,323.50847
0,-5135036.6,-0.43869241,323.50847
0,-5135036.6,-0.12261457,323.50847
0,-5135036.6,-1.6569187,323.50847
0,-5135036.6,-0.036990109,323.50847
0,-5135036.6,-2.1592256,323.50847
0,-5135036.6,-0.062869517,323.50847
0,-5135036.6,-0.17541623,323.50847
0,-5135036.6,-0.35229474,323.50847
0,-5135036.6,-0.013303724,323.50847
0,-5135036.6,-0.050128527,323.50847
0,-5135036.6,-0.20592773,323.50847
0,-5135036.6,-1.1804949,323.50847
0,-5135036.6,-0.046599846,323.50847
0,-5135036.6,-0.010028441,323.50847
0,-5135036.6,-0.052858425,323.50847
0,-5135036.6,-0.58880366,323.50847
0,-5135036.6,-0.22651127,323.50847
0,-5135036.6,-0.022593932,323.50847
0,-5135036.6,-0.23148876,323.50847
0,-5135036.6,-0.048963391,323.50847
0,-5135036.6,-0.8167565,323.50847
0,-5135036.6,-0.26714307,323.50847
0,-5135036.6,-0.041554171,323.50847
0,-5135036.6,-0.02148855,323.50847
0,-5135036.6,-0.16062465,323.50847
0,-5135036.6,-0.54998227,323.50847
0,-5135036.6,-0.20950783,323.50847
0,-5135036.6,-0.19248882,323.50847
0,-5135036.6,-0.0056525148,323.50847
0,-5135036.6,-0.00028595674,323.50847
0,-5135036.6,-0.52331958,323.50847
0,-5135036.6,-0.10334107,323.50847
0,-5135036.6,-0.20987124,323.50847
0,-5135036.6,-2.3548495,323.50847
0,-5135036.6,-0.026794451,323.50847
0,-5135036.6,-0.20031407,323.50847
0,-5135036.6,-0.98986014,323.50847
0,-5135036.6,-0.19989522,323.50847
0,-5135036.6,-0.20662254,323.50847
0,-5135036.6,-0.020807937,323.50847
0,-5135036.6,-0.063948887,323.50847
0,-5135036.6,-0.18696025,323.50847
0,-5135036.6,-0.33217541,323.50847
0,-5135036.6,-0.0010572543,323.50847
0,-5135036.6,-0.55196505,323.50847
0,-5135036.6,-0.075107494,323.50847
0,-5135036.6,-0.70317152,323.50847
0,-5135036.6,-0.036462471,323.50847
0,-5135036.6,-0.54221694,323.50847
0,-5135036.6,-0.044753352,323.50847
0,-5135036.6,-0.0066214545,323.50847
0,-5135036.6,-0.082716802,323.50847
0,-5135036.6,-0.2533678,323.50847
0,-5135036.6,-0.34673367,323.50847
0,-5135036.6,-0.23278458,323.50847
0,-5135036.6,-0.00017184314,323.50847
0,-5135036.6,-0.13399554,323.50847
0,-5135036.6,-1.7955792,323.50847
0,-5135036.6,-4.1872427,323.50847
0,-5135036.6,-0.70614699,323.50847
0,-5135036.6,-0.35770655,323.50847
0,-5135036.6,-0.012017656,323.50847
0,-5135036.6,-0.63014767,323.50847
0,-5135036.6,-0.010493812,323.50847
0,-5135036.6,-0.73754401,323.50847
0,-5135036.6,-0.11098632,323.50847
0,-5135036.6,-0.00024057471,323.50847
0,-5135036.6,-0.5826218,323.50847
0,-5135036.6,-1.7940103,323.50847
0,-5135036.6,-0.43476291,323.50847
0,-5135036.6,-1.4473323,323.50847
0,-5135036.6,-0.13209624,323.50847
0,-5135036.6,-0.0040567069,323.50847
0,-5135036.6,-0.15386745,323.50847
0,-5135036.6,-0.20722619,323.50847
0,-5135036.6,-2.2639072,323.50847
0,-5135036.6,-0.092635133,323.50847
0,-5135036.6,-0.98987952,323.50847
0,-5135036.6,-0.00030837665,323.50847
0,-5135036.6,-1.1018757,323.50847
0,-5135036.6,-0.00014972718,323.50847
0,-5135036.6,-0.18412151,323.50847
0,-5135036.6,-0.0062090538,323.50847
0,-5135036.6,-0.022621602,323.50847
0,-5135036.6,-0.00088812931,323.50847
0,-5135036.6,-1.6616489,323.50847
0,-5135036.6,-0.5187308,323.50847
0,-5135036.6,-0.029402163,323.50847
0,-5135036.6,-2.1829299,323.50847
0,-5135036.6,-0.00047927868,323.50847
0,-5135036.6,-0.31686682,323.50847
0,-5135036.6,-0.13979141,323.50847
0,-5135036.6,-0.0002990914,323.50847
0,-5135036.6,-1.144229,323.50847
0,-5135036.6,-0.93932563,323.50847
0,-5135036.6,-0.72581456,323.50847
0,-5135036.6,-0.41249742,323.50847
0,-5135036.6,-1.7027765,323.50847
0,-5135036.6,-1.3144071,323.50847
0,-5135036.6,-1.3532659,323.50847
0,-5135036.6,-1.0892029,323.50847
0,-5135036.6,-3.0157681,323.50847
0,-5135036.6,-0.24536056,323.50847
0,-5135036.6,-0.14399851,323.50847
0,-5135036.6,-0.025330286,323.50847
0,-5135036.6,-0.024570136,323.50847
0,-5135036.6,-0.23353933,323.50847
0,-5135036.6,-0.32430789,323.50847
0,-5135036.6,-0.64506213,323.50847
0,-5135036.6,-0.0022398044,323.50847
0,-5135036.6,-0.26365933,323.50847
0,-5135036.6,-0.23976014,323.50847
0,-5135036.6,-0.84642092,323.50847
0,-5135036.6,-0.0073585154,323.50847
0,-5135036.6,-0.014306187,323.50847
0,-5135036.6,-0.37282568,323.50847
0,-5135036.6,-0.50692496,323.50847
0,-5135036.6,-0.00858253,323.50847
0,-5135036.6,-0.030671035,323.50847
0,-5135036.6,-0.23347203,323.50847
0,-5135036.6,-0.41824983,323.50847
0,-5135036.6,-0.14154351,323.50847
0,-5135036.6,-0.53222703,323.50847
0,-5135036.6,-0.035519574,323.50847
0,-5135036.6,-1.1068093,323.50847
0,-5135036.6,-0.20230417,323.50847
0,-5135036.6,-0.5681078,323.50847
0,-5135036.6,-0.010642332,323.50847
0,-5135036.6,-0.13302347,323.50847
0,-5135036.6,-1.8017069,323.50847
0,-5135036.6,-1.4830647,323.50847
0,-5135036.6,-0.74065634,323.50847
0,-5135036.6,-0.00021014714,323.50847
0,-5135036.6,-0.24277635,323.50847
0,-5135036.6,-0.68768466,323.50847
0,-5135036.6,-0.278821,323.50847
0,-5135036.6,-1.4068545,323.50847
0,-5135036.6,-0.002824981,323.50847
0,-5135036.6,-0.020371275,323.50847
0,-5135036.6,-7.9837018,323.50847
0,-5135036.6,-0.10177932,323.50847
0,-5135036.6,-0.00097567334,323.50847
0,-5135036.6,-5.8359353e-05,323.50847
0,-5135036.6,-0.21290194,323.50847
0,-5135036.6,-0.059463902,323.50847
0,-5135036.6,-0.8737488,323.50847
0,-5135036.6,-0.039751313,323.50847
0,-5135036.6,-0.016959956,323.50847
0,-5135036.6,-0.67833715,323.50847
0,-5135036.6,-0.11432207,323.50847
0,-5135036.6,-0.25205472,323.50847
0,-5135036.6,-0.59133797,323.50847
0,-5135036.6,-0.052179816,323.50847
