# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# start_datetime = 2026-05-28 22:05:51 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = false
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100/stan_data.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100/fixed_eta_grid/grad_samples_1/eta_1p0/output.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100/fixed_eta_grid/grad_samples_1/eta_1p0/diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=1dgaussian.stan
lp__,log_p__,log_g__,mu
0,0,0,3.078357
0,-146.01397,-0.17441076,3.0247323
0,-146.02319,-0.020698684,3.0968305
0,-145.98845,-0.1243888,3.0330705
0,-146.11951,-0.091119515,3.117117
0,-146.49521,-0.91664809,2.9554209
0,-146.14042,-0.10843178,3.120639
0,-147.26703,-1.2440601,3.2215753
0,-146.21398,-0.17241268,3.1316736
0,-146.40103,-0.78072697,2.9649009
0,-146.00626,-0.01125334,3.0919783
0,-146.07298,-0.27825747,3.0106238
0,-145.95546,-0.038173819,3.0532693
0,-146.03612,-0.028795908,3.1001463
0,-146.51387,-0.45911161,3.1653605
0,-146.23331,-0.53201379,2.9847001
0,-146.09292,-0.31140242,3.0067032
0,-145.99525,-0.13825927,3.0306123
0,-145.97368,-0.091960837,3.0394184
0,-146.36047,-0.30883366,3.1497146
0,-146.25843,-0.21280264,3.1375903
0,-146.21464,-0.50356333,2.9872388
0,-145.97137,-1.0585687e-07,3.0783987
0,-146.05455,-0.24691069,3.014553
0,-145.9718,-0.087470522,3.040381
0,-146.34579,-0.29477929,3.148072
0,-145.96768,-0.00024794478,3.0763351
0,-145.98408,-0.1151756,3.0347799
0,-146.25032,-0.20535628,3.1365448
0,-146.2797,-0.6019158,2.9787371
0,-146.10456,-0.079060898,3.1144613
0,-145.95482,-0.011470684,3.0646047
0,-148.7202,-2.8393336,3.2947215
0,-145.96453,-0.06885822,3.0446627
0,-146.16116,-0.12603519,3.1239422
