# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# start_datetime = 2026-05-28 22:05:51 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 100
#     elbo_samples = 100 (Default)
#     eta = 0.01
#     adapt
#       engaged = false
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100/stan_data.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100/fixed_eta_grid/grad_samples_100/eta_0p01/output.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100/fixed_eta_grid/grad_samples_100/eta_0p01/diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=1dgaussian.stan
lp__,log_p__,log_g__,mu
0,0,0,2.1045718
0,-196.01664,-0.020292874,2.058921
0,-194.59067,-0.0095383733,2.073274
0,-218.71988,-0.61532569,1.8531929
0,-191.09594,-0.0002238224,2.1093661
0,-190.64446,-0.00088949776,2.1141294
0,-169.16972,-0.72865856,2.3781228
0,-212.04243,-0.36912411,1.9098734
0,-186.28546,-0.031464689,2.1614162
0,-226.59823,-0.96622804,1.7895678
0,-210.57822,-0.32216235,1.9226798
0,-151.16749,-3.8896766,2.736595
0,-230.02669,-1.1370563,1.7628543
0,-198.55154,-0.048631058,2.0339021
0,-185.63343,-0.040051376,2.1687053
0,-198.18816,-0.043869451,2.037451
0,-217.25615,-0.55707487,1.8653873
0,-182.17036,-0.10510421,2.2084648
0,-183.33806,-0.079369387,2.1948541
0,-161.82413,-1.4929834,2.4961367
0,-177.01414,-0.27091708,2.2713712
0,-167.66855,-0.85286276,2.4005201
0,-194.38306,-0.0082972941,2.0753811
0,-195.56948,-0.016506484,2.0633997
0,-160.22889,-1.7228357,2.5251998
0,-217.13928,-0.55252404,1.8663663
0,-180.19401,-0.15814438,2.232011
0,-181.00524,-0.1348829,2.2222659
0,-202.21233,-0.10891557,1.9988118
0,-209.9148,-0.30177195,1.92853
0,-225.98475,-0.93676702,1.7944073
0,-238.04532,-1.5747503,1.7024273
0,-177.73216,-0.24229344,2.2623137
0,-181.31135,-0.12665128,2.2186181
0,-154.31769,-2.9023471,2.6505194
0,-210.14341,-0.30873502,1.9265106
0,-267.80245,-3.5768369,1.4984976
0,-174.32868,-0.39591328,2.3062116
0,-176.08233,-0.3109934,2.283283
0,-200.4317,-0.07685236,2.0157326
0,-195.86706,-0.018984751,2.0604169
0,-193.0196,-0.0022611704,2.0893333
0,-181.78196,-0.11456602,2.2130404
0,-177.34663,-0.25742293,2.2671641
0,-170.33669,-0.64133188,2.3612079
0,-198.282,-0.045077179,2.0365333
0,-155.76405,-2.5525834,2.6165674
0,-171.59509,-0.55548759,2.3434153
0,-222.02434,-0.75507381,1.8261066
0,-185.76582,-0.03821825,2.1672204
0,-186.39149,-0.030172136,2.1602364
0,-205.06728,-0.17054179,1.9722316
0,-195.39757,-0.015150645,2.0651268
0,-205.7179,-0.18626762,1.9662646
0,-202.01791,-0.10517023,2.0006462
0,-223.36012,-0.8146769,1.8153247
0,-172.46457,-0.50089672,2.3313756
0,-174.69886,-0.37691349,2.3013138
0,-169.672,-0.69012512,2.3707915
0,-179.81475,-0.16975564,2.2366066
0,-157.17515,-2.2548515,2.5857824
0,-234.08156,-1.3519961,1.7319537
0,-168.54289,-0.77883353,2.3873843
0,-200.92804,-0.085279354,2.0109885
0,-235.58559,-1.4350934,1.7206734
0,-221.48614,-0.73155606,1.8304775
0,-180.22901,-0.15709683,2.2315882
0,-195.13963,-0.013221238,2.0677239
0,-173.95699,-0.4155903,2.3111616
0,-229.28666,-1.099313,1.7685736
0,-177.92401,-0.2349685,2.259911
0,-191.82783,-8.0591547e-05,2.1016949
0,-180.31111,-0.154655,2.2305972
0,-231.29813,-1.2029896,1.7530865
0,-193.99207,-0.0061886509,2.0793617
0,-203.1283,-0.12734872,1.990212
0,-187.01139,-0.02318755,2.15337
0,-177.69272,-0.24381603,2.2628086
0,-212.94778,-0.39947973,1.9020258
0,-195.24337,-0.013982029,2.0666786
0,-204.41721,-0.15544108,1.9782265
0,-197.72729,-0.038161351,2.0419698
0,-163.41696,-1.289967,2.4685418
0,-176.2001,-0.30574064,2.2817674
0,-196.48776,-0.024683549,2.0542241
0,-184.01942,-0.066176955,2.1870102
0,-177.60304,-0.24729905,2.2639348
0,-199.25376,-0.058475682,2.0270785
0,-242.14782,-1.8176095,1.6725292
0,-223.26339,-0.8103027,1.8161023
0,-188.47768,-0.010450375,2.1373317
0,-200.04589,-0.070579869,2.0194351
0,-166.07121,-1.0011643,2.4252201
0,-196.17967,-0.021765965,2.0572931
0,-253.08741,-2.5206747,1.5957864
0,-168.28415,-0.80024054,2.3912446
0,-194.94471,-0.011847322,2.069691
0,-184.6082,-0.055825374,2.1802886
0,-165.01549,-1.1092617,2.4420869
0,-191.87232,-0.00010870613,2.1012306
0,-184.22162,-0.062513717,2.184696
0,-212.81658,-0.39501942,1.9031597
0,-211.18279,-0.34122902,1.9173746
0,-220.1265,-0.67344334,1.8415893
0,-235.91274,-1.4534019,1.7182323
0,-225.67913,-0.92221872,1.7968252
0,-177.91502,-0.23530862,2.2600234
0,-167.04718,-0.90847635,2.4100168
0,-169.03911,-0.73892013,2.3800422
0,-170.12139,-0.65686793,2.3642977
0,-181.82774,-0.11342686,2.2124998
0,-210.52753,-0.32058454,1.9231257
0,-218.9731,-0.62563511,1.8510958
0,-209.55583,-0.29097438,1.9317082
0,-164.59798,-1.1544023,2.4488859
0,-212.82384,-0.39526553,1.903097
0,-171.56222,-0.55762557,2.3438745
0,-213.43745,-0.41630906,1.8978034
0,-197.44385,-0.034836722,2.0447589
0,-200.58093,-0.079343918,2.014304
0,-186.02701,-0.034736217,2.1642984
0,-180.73997,-0.1422563,2.22544
0,-187.8051,-0.015643634,2.1446534
0,-220.54614,-0.69117854,1.838149
0,-180.88394,-0.13822665,2.2237158
0,-203.00745,-0.12484305,1.9913426
0,-253.51264,-2.5495116,1.5928844
0,-188.22902,-0.012244025,2.1400318
0,-176.63545,-0.28679756,2.2761903
0,-224.73675,-0.87790548,1.80431
0,-189.65301,-0.0039351217,2.1246745
0,-214.06036,-0.43812789,1.8924542
0,-165.43827,-1.0649545,2.4352776
0,-209.45774,-0.28805284,1.9325782
0,-185.2823,-0.045136993,2.1726554
0,-185.21904,-0.046088015,2.1733689
