# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# start_datetime = 2026-05-28 22:05:51 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 100
#     elbo_samples = 100 (Default)
#     eta = 100
#     adapt
#       engaged = false
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100/stan_data.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100/fixed_eta_grid/grad_samples_100/eta_100p0/output.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100/fixed_eta_grid/grad_samples_100/eta_100p0/diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=1dgaussian.stan
lp__,log_p__,log_g__,mu
0,0,0,2.2175542
0,-183.18929,-0.21811712,2.1965762
0,-184.12201,-0.49865082,2.1858353
0,-175.24254,-2.9099122,2.2941773
0,-182.70366,-0.1165139,2.2022218
0,-182.80418,-0.13500066,2.2010503
0,-180.41319,-0.0691594,2.2293668
0,-184.4582,-0.62666731,2.1819961
0,-182.78603,-0.13156486,2.2012616
0,-179.95304,-0.14960517,2.2349279
0,-178.17939,-0.76042731,2.2567238
0,-178.23957,-0.73161231,2.2559745
0,-180.32173,-0.082669056,2.2304691
0,-184.42132,-0.61193687,2.1824165
0,-182.40661,-0.069723214,2.2056935
0,-179.92489,-0.15554205,2.2352693
0,-186.03948,-1.41307,2.1641591
0,-180.09169,-0.1220779,2.2332484
0,-179.06083,-0.39596328,2.2458191
0,-186.81458,-1.9058173,2.1555444
0,-182.88844,-0.15152466,2.2000694
0,-181.17362,-0.0036217456,2.2202574
0,-185.11707,-0.91787057,2.1745203
0,-181.46173,-0.00025866699,2.2168318
0,-181.06253,-0.0080408415,2.221582
0,-182.00643,-0.025417705,2.210393
0,-184.30093,-0.56503139,2.18379
0,-182.83903,-0.14172222,2.2006444
0,-179.7381,-0.19794129,2.2375385
0,-180.80412,-0.025104989,2.2246712
0,-182.86976,-0.14778237,2.2002866
0,-186.27102,-1.553041,2.161577
0,-181.67477,-0.0052240506,2.2143076
0,-177.24783,-1.2819532,2.2684118
