# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# start_datetime = 2026-05-28 22:10:43 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 100000
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = true (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 1e-16
#     eval_elbo = 10000
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/k_/lm3f3ty933bgx8bfm0dsx7cr0000gn/T/tmp44p4fi6i/0f0vqnjn.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter100000/advi_default/1dgaussian-20260528181043011686.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter100000/advi_default/1dgaussian-20260528181043011686-diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=1dgaussian.stan
lp__,log_p__,log_g__,mu
# Stepsize adaptation complete.
# eta = 1
0,0,0,3.0707334
0,-146.12025,-0.091582946,3.1172459
0,-146.7711,-0.81906562,2.931635
0,-146.22689,-0.1664605,3.1334407
0,-145.96665,-0.031871271,3.0432948
0,-145.97826,-0.047435833,3.0372587
0,-146.12897,-0.097549966,3.1187373
0,-146.03872,-0.038218468,3.1007803
0,-145.97288,-0.040449875,3.0398218
0,-145.9557,-0.00090324954,3.0661142
0,-145.9548,-0.011250599,3.054431
0,-145.95752,-0.017236495,3.050555
0,-146.2922,-0.21380184,3.1418005
0,-146.04494,-0.12339206,3.0167443
0,-146.23368,-0.17134101,3.1343533
0,-146.00881,-0.083769132,3.0262493
0,-147.68219,-1.291974,3.2454321
0,-146.58606,-0.64778172,2.9470313
0,-146.03189,-0.10933098,3.0199134
0,-145.99008,-0.062005303,3.0324617
0,-146.37449,-0.27447647,3.1512555
0,-145.99516,-0.013152701,3.08836
0,-146.70353,-0.75673116,2.9370327
0,-147.32453,-1.0085437,3.2250846
0,-146.2103,-0.15458592,3.1311627
0,-145.96637,-0.031468947,3.0434685
0,-146.14212,-0.10660607,3.120916
0,-145.95363,-0.0039764793,3.0610414
0,-145.95368,-0.0072053591,3.057687
0,-145.95433,-0.0021848531,3.0635493
0,-146.59665,-0.65763941,2.9460936
0,-145.97865,-0.0052977564,3.0819203
0,-147.33411,-1.0161005,3.2256618
0,-146.01144,-0.022012242,3.0935365
0,-145.99224,-0.064590239,3.0316721
0,-150.61289,-3.6595472,3.3647531
0,-145.99972,-0.073357249,3.0291055
0,-148.10648,-1.6306582,3.266999
0,-146.1085,-0.1894784,3.0038308
0,-146.85871,-0.89958107,2.9249584
0,-146.15016,-0.1121838,3.1222121
0,-146.11781,-0.19893489,3.0021817
0,-146.91587,-0.95195101,2.9207752
0,-146.34552,-0.25300533,3.1480419
0,-145.95491,-0.0014975299,3.0647857
0,-146.12295,-0.093429237,3.1177124
0,-146.2437,-0.32343619,2.9833242
0,-146.20138,-0.14822302,3.129906
0,-147.37047,-1.0448214,3.2278361
0,-147.75647,-1.3511022,3.2493849
0,-145.95941,-5.9146225e-06,3.0703596
0,-145.96356,-0.00036694477,3.0736776
0,-148.87447,-2.7079451,2.8178137
0,-147.50742,-1.4884536,2.8832208
0,-146.63899,-0.69697316,2.9424204
0,-147.28588,-1.2884927,2.8962702
0,-148.11777,-1.6396983,3.2675423
0,-146.75286,-0.80226596,2.9330689
0,-146.85901,-0.89986339,2.9249356
0,-146.0805,-0.16076365,3.0091084
0,-147.01138,-0.76258645,3.2049503
0,-146.95144,-0.71581824,3.2007695
0,-146.5485,-0.40531111,3.1685825
0,-146.0036,-0.017643868,3.0911489
0,-146.13237,-0.099882318,3.1193077
0,-146.39746,-0.29157293,3.1537254
0,-146.35519,-0.430608,2.9698769
0,-146.04781,-0.12645502,3.0160783
0,-146.00004,-0.07373183,3.0289994
0,-146.0311,-0.10847117,3.0201136
0,-147.99737,-1.5433562,3.2616729
0,-151.98559,-5.4421578,2.7121846
0,-149.52502,-2.7747286,3.3267528
0,-150.42958,-3.5101294,3.3586882
0,-147.3532,-1.349359,2.8921971
0,-145.97735,-0.046276555,3.0376703
0,-146.04591,-0.042685399,3.1024877
0,-146.31094,-0.22752666,3.144046
0,-146.24727,-0.32690874,2.9828562
0,-146.12723,-0.20844875,3.0005616
0,-145.99412,-0.066806154,3.0310077
0,-145.96373,-0.027580134,3.0452087
0,-147.88821,-1.8302235,2.8628045
0,-145.95388,-0.0030792283,3.0622047
0,-146.06057,-0.051969298,3.1057711
0,-147.85498,-1.4296306,3.2545034
0,-147.12352,-0.8503764,3.2124655
0,-146.57191,-0.4231036,3.1707072
0,-146.73323,-0.54668392,3.1843733
0,-145.95672,-0.015672262,3.0514923
0,-146.1241,-0.20528528,3.0010961
0,-146.02861,-0.10576581,3.0207489
0,-145.99329,-0.012190973,3.0877034
0,-147.93085,-1.8683768,2.8606484
0,-145.98261,-0.0070340774,3.0836238
0,-148.00501,-1.5494634,3.2620503
0,-148.3207,-1.802427,3.2770772
0,-146.17967,-0.13284917,3.1267533
0,-146.53601,-0.39583133,3.1674315
0,-146.35781,-0.26209657,3.1494186
0,-149.39795,-2.671714,3.3219554
0,-147.14489,-1.1606933,2.9051482
0,-146.10557,-0.18649669,3.0043593
0,-145.95352,-0.0053405258,3.0595014
