# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# start_datetime = 2026-05-28 22:10:43 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 100000
#     grad_samples = 100
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = true (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 1e-16
#     eval_elbo = 10000
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/k_/lm3f3ty933bgx8bfm0dsx7cr0000gn/T/tmp44p4fi6i/ivoqo9kx.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter100000/advi_grad_samples_100/1dgaussian-20260528181043095899.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter100000/advi_grad_samples_100/1dgaussian-20260528181043095899-diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=1dgaussian.stan
lp__,log_p__,log_g__,mu
# Stepsize adaptation complete.
# eta = 100
0,0,0,3.2023388
0,-148.26174,-0.26649158,3.2743506
0,-148.18758,-0.24136001,3.270871
0,-146.38611,-0.12757872,3.1525133
0,-146.51574,-0.069603149,3.1655364
0,-148.22701,-0.25461917,3.2727282
0,-147.19315,-0.010972904,3.2169512
0,-151.49878,-1.8585119,3.3925099
0,-149.03327,-0.57018779,3.3076734
0,-146.8282,-0.0057518826,3.1917592
0,-149.14088,-0.6176721,3.3119717
0,-146.17748,-0.29614728,3.1264258
0,-150.5191,-1.3045221,3.3616652
0,-146.19158,-0.2801797,3.1285007
0,-150.47889,-1.2827784,3.3603318
0,-146.16391,-0.3124228,3.1243677
0,-146.0253,-0.56600258,3.0973915
0,-147.14627,-0.0069227417,3.2139453
0,-147.15749,-0.0078144111,3.2146701
0,-147.98273,-0.1765227,3.2609475
0,-146.24636,-0.22595982,3.136029
0,-147.8824,-0.1474501,3.2559042
0,-146.49829,-0.076015016,3.1638786
0,-147.08444,-0.0029294183,3.2098889
0,-148.45699,-0.33645426,3.283253
0,-149.35625,-0.71583118,3.320362
0,-146.92103,-0.00071815161,3.1986005
0,-147.90504,-0.15384701,3.2570538
0,-147.08992,-0.0032188617,3.2102531
0,-151.15818,-1.6609942,3.3821207
0,-147.97764,-0.17500261,3.2606946
0,-146.67926,-0.025705204,3.1799736
0,-145.95478,-0.97590678,3.0645334
0,-146.46402,-0.08977645,3.160542
0,-150.59947,-1.3482459,3.3643132
0,-148.22857,-0.25514878,3.2728014
0,-146.9673,-1.0471048e-05,3.2018874
0,-149.22069,-0.65357412,3.3151129
0,-146.46817,-0.088023428,3.160952
0,-147.28801,-0.021649863,3.2228641
0,-147.34532,-0.029592104,3.2263354
0,-149.58901,-0.82622274,3.3291362
0,-147.41228,-0.040182513,3.2303016
0,-146.57039,-0.051862272,3.1705709
0,-145.95373,-1.0791104,3.0574299
0,-146.00885,-0.61697358,3.0927679
0,-146.12806,-2.0951772,3.000422
0,-146.38045,-0.13072636,3.1519024
0,-146.16869,-0.30658515,3.1250996
0,-146.54354,-0.060150725,3.1681265
0,-146.05742,-0.48604418,3.1050865
0,-146.52766,-0.065435804,3.1666551
0,-148.59954,-0.39072598,3.2895351
0,-148.42739,-0.32551228,3.2819264
0,-147.56362,-0.068854478,3.2389427
0,-148.98514,-0.54930563,3.3057265
0,-146.50349,-0.074065537,3.1643749
0,-146.83118,-0.0055100456,3.191984
0,-147.61156,-0.079190779,3.2415942
0,-145.99299,-1.5014874,3.031407
0,-147.18396,-0.01011242,3.2163666
0,-147.10979,-0.0043745355,3.2115651
0,-146.01036,-0.61190595,3.0932188
0,-146.62902,-0.03638774,3.1757291
0,-149.55091,-0.80786458,3.3277197
0,-146.07432,-0.45105336,3.1086525
0,-148.69371,-0.42793646,3.2935927
0,-146.67675,-0.02618658,3.1797652
0,-149.75748,-0.90867794,3.3353129
0,-147.62548,-0.082298869,3.2423571
0,-146.10477,-2.0113213,3.004504
0,-146.08576,-0.42941618,3.1109272
0,-147.17513,-0.009315291,3.2158023
0,-146.49622,-0.076802623,3.1636798
0,-147.53225,-0.062402953,3.2371857
0,-146.70489,-0.021086059,3.1820825
0,-157.45972,-5.8311435,3.5391906
0,-149.20047,-0.64442704,3.3143209
0,-146.06313,-0.47378325,3.106321
0,-148.01551,-0.18641767,3.2625678
0,-148.40213,-0.3162646,3.2807878
0,-145.95513,-0.96674297,3.0651819
0,-147.68388,-0.09583715,3.2455234
0,-146.6891,-0.023868166,3.1807876
0,-146.80106,-0.0082199772,3.1896915
0,-148.73799,-0.44578807,3.2954766
0,-146.87765,-0.0024411436,3.1954466
0,-149.50407,-0.78544611,3.3259677
0,-147.0607,-0.0018275809,3.2083023
0,-148.10674,-0.21494159,3.2670117
0,-146.90726,-0.0011505292,3.1976071
0,-147.53541,-0.063041958,3.2373637
0,-146.98828,-5.2911944e-05,3.2033535
0,-147.20762,-0.012391654,3.2178672
0,-145.96605,-1.2937865,3.0436693
0,-148.24531,-0.26085214,3.2735846
0,-146.13928,-0.34458533,3.1204526
0,-146.3501,-2.7634364,2.9704463
0,-146.64108,-0.033616714,3.1767624
0,-147.15206,-0.0073762296,3.2143194
0,-145.97841,-1.4015976,3.0371906
0,-146.36912,-0.13720164,3.1506684
0,-146.183,-0.28978078,3.1272462
0,-148.3619,-0.30171718,3.2789623
0,-146.04075,-0.52494615,3.1012695
0,-146.67125,-0.027260115,3.1793071
0,-145.96069,-0.88004221,3.0714767
0,-147.53809,-0.063584638,3.2375141
0,-149.43539,-0.75288633,3.3233782
0,-146.81197,-0.0071708207,3.1905262
0,-146.28372,-0.19484766,3.140763
0,-147.29199,-0.02216708,3.2231078
0,-146.94117,-0.00027144411,3.2000405
0,-146.68638,-0.024367513,3.1805633
0,-148.46317,-0.33875497,3.2835292
0,-148.62762,-0.40171392,3.2907527
0,-146.2644,-0.21041298,3.1383508
0,-146.54627,-0.059268905,3.1683782
0,-148.63475,-0.4045177,3.2910607
0,-148.65503,-0.41252562,3.2919345
0,-150.80298,-1.4604359,3.3709177
0,-146.72609,-0.017662756,3.1837996
0,-147.83573,-0.13458204,3.2535135
0,-149.29286,-0.6865269,3.3179209
0,-146.11891,-0.37413898,3.1170134
0,-145.95393,-1.0063794,3.0623985
0,-147.71254,-0.10276698,3.2470574
0,-146.1895,-0.28248164,3.128198
0,-149.62008,-0.84127296,3.3302859
0,-149.56055,-0.81250083,3.3280789
0,-146.3569,-0.14446665,3.149318
0,-146.76247,-0.012580067,3.1866928
0,-150.52301,-1.3066402,3.3617945
0,-147.08878,-0.0031576449,3.2101775
0,-146.88941,-0.0018688246,3.1963084
0,-148.68285,-0.42359399,3.2931285
0,-148.21167,-0.24943047,3.2720073
0,-148.05267,-0.19786483,3.2643894
0,-148.15736,-0.23136341,3.2694367
0,-145.98923,-0.6928276,3.0862275
0,-149.30309,-0.69122997,3.3183162
0,-147.35848,-0.031564411,3.2271222
0,-153.47083,-3.0818744,3.4472279
0,-146.0085,-1.5918049,3.0263411
0,-147.24249,-0.01612697,3.2200537
0,-145.95736,-0.923693,3.0682706
0,-147.32762,-0.027024863,3.2252709
0,-146.59449,-0.045084395,3.1727195
0,-146.09717,-0.40923293,3.1131013
0,-146.05722,-1.823617,3.0139614
0,-147.22958,-0.014693285,3.2192479
0,-146.99134,-7.7399805e-05,3.203566
0,-146.1743,-0.29987569,3.1259495
0,-145.95364,-1.0258087,3.0610541
0,-147.84597,-0.13737009,3.2540409
0,-146.36643,-0.13877651,3.1503727
0,-148.54031,-0.36786664,3.286946
0,-147.28036,-0.020672214,3.2223953
0,-146.48518,-0.081094494,3.1626143
0,-147.13611,-0.0061588835,3.2132862
0,-146.15211,-0.32739429,3.1225214
0,-151.4593,-1.8353742,3.3913225
0,-146.32185,-0.16703491,3.1453269
0,-147.26906,-0.019263844,3.2217
0,-146.08045,-0.4392556,3.1098859
0,-146.00267,-1.5592716,3.0281489
0,-147.20281,-0.011911842,3.2175636
0,-147.3586,-0.031583008,3.2271295
0,-145.9646,-0.84131453,3.0743885
0,-150.61156,-1.3548483,3.3647094
0,-147.34148,-0.029026261,3.2261049
0,-147.87436,-0.14520367,3.2554946
0,-153.30839,-2.9767684,3.4430157
0,-145.99536,-1.5161408,3.0305749
0,-146.03573,-1.7282191,3.0189548
0,-147.14366,-0.0067227743,3.2137764
0,-148.62547,-0.40086791,3.2906595
0,-148.33324,-0.2914942,3.277653
0,-147.06998,-0.0022290349,3.2089248
0,-147.88984,-0.14954261,3.2562829
0,-147.65977,-0.090150415,3.2442226
0,-146.68396,-0.024816631,3.1803636
0,-147.69183,-0.097739738,3.2459499
0,-148.81299,-0.47651884,3.2986334
0,-146.02103,-0.57841297,3.0962472
0,-147.07059,-0.002256689,3.2089655
0,-147.16937,-0.0088118104,3.2154335
0,-147.55185,-0.066403954,3.2382855
0,-146.58342,-0.048122828,3.1717376
0,-147.23264,-0.015028308,3.2194396
0,-146.11221,-0.38452494,3.1158372
0,-148.47369,-0.34268021,3.2839982
0,-146.95713,-7.0011586e-05,3.2011716
0,-145.96662,-0.82430183,3.0756888
0,-147.06773,-0.0021278316,3.2087735
0,-146.10558,-0.39517746,3.1146472
0,-145.96006,-1.2231754,3.0480599
0,-147.77026,-0.11727426,3.2501097
0,-146.11357,-2.0435337,3.002926
0,-146.87359,-0.0026577151,3.1951473
0,-146.68611,-0.024418125,3.1805407
0,-147.88401,-0.14790244,3.2559863
0,-149.73347,-0.89680617,3.3344414
0,-145.96751,-1.3084891,3.0427703
0,-146.64738,-0.032223714,3.1772979
0,-149.46792,-0.76826332,3.324608
0,-146.42093,-0.10947347,3.156184
0,-151.96398,-2.13566,3.4061969
0,-145.98893,-1.475563,3.0328891
0,-146.10443,-0.39705979,3.1144386
