# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# start_datetime = 2026-05-28 22:15:41 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 200000
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 10
#     adapt
#       engaged = false
#       iter = 50 (Default)
#     tol_rel_obj = 1e-16
#     eval_elbo = 10000
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter200000/stan_data.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter200000/fixed_eta_grid/grad_samples_1/eta_10p0/output.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter200000/fixed_eta_grid/grad_samples_1/eta_10p0/diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=1dgaussian.stan
lp__,log_p__,log_g__,mu
0,0,0,3.0513575
0,-145.97643,-0.050988351,3.0809078
0,-146.42809,-0.46538065,2.9620824
0,-145.97597,-0.050255473,3.0806947
0,-146.0433,-0.14902221,3.1018762
0,-146.02273,-0.049311817,3.0222971
0,-145.95485,-0.010349948,3.0646711
0,-145.9724,-0.044402836,3.0789335
0,-146.3047,-0.49366215,3.1433053
0,-146.31053,-0.50112574,3.1439977
0,-146.05327,-0.16284392,3.104167
0,-146.35717,-0.38976392,2.9696566
0,-146.60937,-0.66079371,2.9449777
0,-145.99885,-0.085451073,3.0896122
0,-149.16231,-3.9917482,3.312819
0,-146.79167,-0.85945683,2.9300359
0,-147.4551,-1.9221053,3.2327899
0,-146.20155,-0.36049197,3.1299306
0,-147.61769,-2.1206629,3.2419308
0,-145.95387,-0.0068137278,3.0621599
0,-145.95509,-0.011060593,3.0651206
0,-145.95586,-0.013113612,3.0663436
0,-146.01239,-0.03998125,3.0251905
0,-146.07635,-0.10017012,3.0099389
0,-146.06991,-0.093896235,3.011257
0,-147.92268,-2.4920299,3.2579444
0,-148.7875,-3.0867141,2.8214388
0,-146.41151,-0.6297028,3.1552045
0,-145.98086,-0.0580448,3.0828863
0,-145.98808,-0.069242636,3.0857935
0,-146.4272,-0.64956674,3.1568297
0,-147.0948,-1.4802554,3.2105764
0,-146.44902,-0.67715473,3.1590462
0,-146.1362,-0.27468261,3.1199445
0,-146.05467,-0.16477087,3.1044785
0,-148.50853,-3.2023872,3.2855447
0,-146.01319,-0.1064201,3.0940487
0,-146.18229,-0.20668217,2.9918629
0,-146.72293,-1.0203098,3.1835456
0,-145.98774,-0.068719149,3.0856631
0,-146.24314,-0.41445458,3.1356065
0,-146.31512,-0.50700856,3.1445399
0,-145.96523,-0.032111763,3.0748084
0,-146.86187,-1.1927637,3.1942809
0,-146.34991,-0.38206522,2.9704675
0,-145.95815,-0.00012894141,3.0498715
0,-145.95778,-6.9342934e-05,3.0502678
0,-147.29954,-1.4195923,2.8954353
0,-146.67363,-0.73061511,2.9394986
0,-147.0051,-1.0938867,2.9144863
0,-146.26611,-0.2936857,2.9804377
0,-146.5459,-0.79912391,3.1683433
0,-145.95354,-0.0032329038,3.0587984
0,-147.14782,-1.2514854,2.9049582
0,-145.95852,-0.019240242,3.0695098
0,-145.95377,-0.0020269974,3.0572494
0,-147.38721,-1.8390646,3.2288274
0,-146.06262,-0.086842645,3.0127926
0,-146.00498,-0.094483232,3.0915832
0,-146.09639,-0.22155588,3.1129557
0,-146.71942,-0.78051438,2.9357419
0,-145.98084,-0.013546164,3.0361263
0,-146.2474,-0.41996351,3.1361646
0,-145.97869,-0.054612995,3.0819401
0,-145.99029,-0.021022763,3.032383
0,-147.98051,-2.1793184,2.8581667
0,-146.00623,-0.034544024,3.0270348
0,-146.28394,-0.46702342,3.14079
0,-146.04057,-0.14520752,3.1012254
0,-146.72443,-1.0221799,3.1836667
0,-147.11948,-1.2201421,2.9068031
0,-146.11627,-0.24817985,3.1165518
0,-145.95523,-0.00030556802,3.0536451
0,-145.99922,-0.028487936,3.0292695
0,-145.98709,-0.018435108,3.0335891
0,-146.32565,-0.52046729,3.1457686
0,-146.64475,-0.6992053,2.9419295
0,-146.95206,-1.3042866,3.2008133
0,-146.0014,-0.089221881,3.0904472
0,-146.21754,-0.24306914,2.986838
0,-146.57018,-0.82957589,3.1705515
0,-146.09309,-0.21710195,3.1123334
0,-146.22548,-0.39159265,3.1332499
0,-146.08628,-0.10989871,3.0079742
0,-145.98639,-0.066644449,3.0851413
0,-145.95903,-0.020297167,3.0700017
0,-146.48144,-0.52260209,2.956753
0,-145.99067,-0.073186142,3.0867606
0,-146.7827,-1.0946033,3.1882736
0,-146.93119,-1.2785129,3.1993292
0,-146.01997,-0.046796719,3.0230479
0,-145.97796,-0.053447174,3.0816119
0,-146.02058,-0.11701361,3.0961231
0,-147.26698,-1.6917663,3.2215719
0,-147.92804,-2.4985436,3.2582142
0,-146.07837,-0.10214068,3.0095335
0,-146.07166,-0.09559803,3.0108952
0,-146.42489,-0.64664388,3.1565922
0,-146.8246,-1.1465816,3.1914867
0,-145.95368,-0.0023453392,3.0576952
0,-146.15106,-0.17476112,2.9966498
0,-145.95415,-0.0012233431,3.0559347
0,-146.01118,-0.10350094,3.0934591
0,-146.32796,-0.52341593,3.1460356
0,-145.97588,-0.0098702528,3.0383561
0,-146.1867,-0.21121677,2.9912138
0,-146.04914,-0.073940394,3.0157725
0,-146.02195,-0.048596685,3.0225086
0,-146.18342,-0.20783812,2.9916968
0,-146.07376,-0.097646986,3.0104639
0,-145.99146,-0.074386037,3.0870496
0,-147.67309,-1.8354594,2.8740617
0,-146.05393,-0.078505106,3.0146905
0,-148.2956,-2.9445851,3.2759205
0,-146.00181,-0.030705637,3.0284259
0,-146.00165,-0.030571881,3.0284759
0,-146.44249,-0.48079464,2.960616
0,-145.95361,-0.0026669779,3.0581158
0,-145.96774,-0.0044417159,3.0426358
0,-146.25625,-0.28337001,2.9816944
0,-146.44098,-0.66699488,3.1582353
0,-146.10032,-0.22683458,3.1136852
0,-145.95366,-0.005673562,3.0612147
0,-145.95892,-0.00029661951,3.0491037
0,-146.19093,-0.21556695,2.9905976
0,-146.79211,-1.10628,3.189002
0,-146.6966,-0.75563076,2.9375998
0,-145.96589,-0.033293377,3.0752359
0,-147.06545,-1.1604595,2.9103828
0,-145.95374,-0.0021182735,3.0573806
0,-146.29659,-0.32569686,2.9766726
0,-146.94047,-1.0227191,2.9190135
0,-146.28828,-0.31695781,2.9776814
0,-146.11597,-0.13935971,3.0025041
0,-146.23236,-0.40050836,3.1341769
0,-146.0756,-0.19343152,3.1089134
0,-145.98309,-0.061536162,3.0838207
0,-146.11056,-0.13395765,3.0034603
0,-146.93994,-1.0221456,2.9190506
0,-145.98444,-0.016330283,3.0346342
0,-146.37069,-0.40414066,2.9681634
0,-145.97606,-0.050387849,3.0807333
0,-145.96045,-0.023180733,3.0712821
0,-145.95352,-0.0040849747,3.0597217
0,-146.17516,-0.32601145,3.1260785
0,-145.98927,-0.020189185,3.032763
0,-146.20287,-0.36221441,3.1301181
0,-146.25382,-0.42824573,3.1369967
0,-146.69573,-0.75468774,2.9376708
0,-145.96571,-0.032974197,3.0751212
0,-145.96799,-0.0045948879,3.0424867
0,-146.28153,-0.46392937,3.1404933
0,-146.29069,-0.47570197,3.1416172
0,-146.00225,-0.031088355,3.0282834
0,-146.35337,-0.55583569,3.1489237
0,-149.31535,-4.1761329,3.3187895
0,-146.24817,-0.42096085,3.1362652
0,-146.23825,-0.40813392,3.1349616
0,-145.96436,-0.0025313781,3.0447733
0,-146.28352,-0.31195187,2.9782655
0,-145.95649,-0.014685432,3.0672163
0,-147.49209,-1.6336387,2.8840929
0,-148.79854,-3.0991651,2.8209756
0,-146.07145,-0.18777804,3.1080661
0,-146.96924,-1.325498,3.2020237
0,-145.96909,-0.0052733836,3.0418543
0,-147.12629,-1.518998,3.2126465
0,-146.05379,-0.078369674,3.0147222
0,-146.34404,-0.54394812,3.1478748
0,-146.06102,-0.17351483,3.1058698
0,-146.15875,-0.30445726,3.1235662
0,-146.03561,-0.13827558,3.1000205
0,-146.67662,-0.96261955,3.1797541
0,-146.07479,-0.098647173,3.010255
0,-145.95652,-8.8124479e-06,3.051746
0,-146.45121,-0.67992269,3.1592661
0,-147.24116,-1.6600963,3.2199712
0,-146.01612,-0.043323002,3.0241189
0,-146.0331,-0.13474699,3.0993956
0,-146.99797,-1.3609556,3.2040256
0,-146.23175,-0.25782656,2.9849083
0,-146.27456,-0.30254608,2.9793759
0,-146.28801,-0.31666992,2.9777149
0,-146.01681,-0.043947653,3.0239232
0,-145.95958,-0.021424442,3.0705125
0,-146.2225,-0.24821333,2.9861589
0,-146.30019,-0.3294945,2.9762385
0,-145.9822,-0.060142243,3.0834509
0,-146.47574,-0.71087735,3.1616951
0,-145.9536,-0.0027204484,3.0581832
0,-146.00023,-0.087490801,3.0900661
0,-149.84408,-4.8122175,3.3384348
0,-146.24038,-0.26680439,2.9837613
0,-146.26532,-0.29286278,2.9805371
0,-145.98963,-0.020482037,3.0326286
0,-147.1216,-1.2224883,2.9066642
0,-146.06138,-0.085648057,3.0130587
0,-146.06297,-0.17617888,3.1062867
0,-146.16526,-0.31302263,3.1245749
0,-145.96219,-0.026528752,3.0726725
0,-145.95688,-0.015615636,3.0677108
0,-146.29023,-0.47510889,3.1415609
0,-146.21586,-0.24132074,2.9870705
0,-146.43845,-0.47646758,2.9610253
0,-145.95539,-0.011880849,3.0656218
0,-145.96232,-0.0015338581,3.0462322
0,-146.59715,-0.86335347,3.1729538
0,-146.28105,-0.30936034,2.9785697
0,-146.25402,-0.42850997,3.1370231
0,-146.0252,-0.1235942,3.0973647
0,-145.97197,-0.0071489021,3.0402927
0,-146.14246,-0.16603625,2.9980329
0,-146.49255,-0.53456109,2.9556767
0,-145.97648,-0.051075201,3.080933
0,-146.21411,-0.2395048,2.9873128
0,-146.53236,-0.57745834,2.9519117
0,-146.84789,-0.92103706,2.9257647
0,-146.62381,-0.67645924,2.9437242
0,-145.99365,-0.077691918,3.0878341
0,-146.14594,-0.16956316,2.9974695
0,-145.99541,-0.080325743,3.0884472
0,-146.21405,-0.37675743,3.1316837
0,-146.58354,-0.632798,2.9472556
0,-146.6593,-0.71502927,2.9406982
0,-145.96062,-0.00083055074,3.0475861
0,-145.98951,-0.071429768,3.0863332
0,-145.97071,-0.0063169599,3.0409564
0,-146.97433,-1.3317896,3.2023808
0,-145.95359,-0.0051316411,3.0607322
0,-146.47476,-0.51542857,2.9574046
0,-145.95488,-0.00049661579,3.0542739
0,-146.35292,-0.38525235,2.9701308
0,-145.95795,-9.5334283e-05,3.0500798
0,-145.9543,-0.0010236492,3.0555445
0,-146.29254,-0.32143529,2.9771628
0,-146.13671,-0.16021649,2.9989758
0,-146.88409,-0.96076328,2.9230848
0,-145.9698,-0.040057654,3.0775495
0,-147.25278,-1.3677173,2.8983107
0,-145.95419,-0.0081418063,3.0631658
0,-146.07557,-0.19339522,3.108908
0,-146.03476,-0.13707921,3.0998095
0,-145.98304,-0.061453916,3.083799
0,-145.96982,-0.040087556,3.0775593
0,-146.18678,-0.34122722,3.1278023
0,-146.14942,-0.17310247,2.99691
0,-146.22895,-0.39609011,3.1337188
0,-146.01909,-0.11488428,3.0957139
0,-146.43627,-0.47413534,2.9612466
0,-146.01709,-0.11202879,3.0951592
0,-146.49673,-0.73732864,3.1637292
0,-146.00084,-0.088401259,3.090267
0,-146.47277,-0.51329042,2.9575997
0,-145.95893,-0.020100131,3.069911
0,-146.03012,-0.13054656,3.0986409
0,-146.36312,-0.56825105,3.1500073
0,-145.95713,-7.6463411e-06,3.0509957
0,-146.10916,-0.23868746,3.1152929
0,-145.9603,-0.022876418,3.0711509
0,-146.03258,-0.13401718,3.0992653
0,-145.96311,-0.0018999528,3.0456533
0,-146.30122,-0.48919729,3.1428885
0,-145.96069,-0.00085849213,3.0475232
0,-146.04314,-0.14878963,3.1018367
0,-146.14252,-0.16609668,2.9980232
0,-146.12233,-0.25626464,3.1176052
0,-146.57606,-0.62470162,2.9479237
0,-146.60471,-0.6557341,2.9453858
0,-146.19109,-0.34685053,3.1284296
0,-146.15248,-0.17620637,2.9964241
0,-146.70514,-0.99816358,3.1821031
0,-145.95385,-0.0067019187,3.0620709
0,-146.16626,-0.3143345,3.1247281
0,-145.96052,-0.023313839,3.0713393
0,-150.66598,-5.2146672,2.752517
0,-146.06514,-0.089283921,3.0122543
0,-146.63791,-0.91432043,3.1764915
0,-145.95352,-0.0036746991,3.0592905
0,-145.95901,-0.020250467,3.0699803
0,-145.95899,-0.020212301,3.0699627
0,-146.46658,-0.50664313,2.9582087
0,-146.50637,-0.54943132,2.954355
0,-146.32678,-0.52191313,3.1458996
0,-146.10299,-0.12641869,3.0048277
0,-145.96282,-0.0017639192,3.0458613
0,-146.10856,-0.13195875,3.0038191
0,-146.50446,-0.54738378,2.954536
0,-146.14868,-0.2911919,3.1219756
0,-145.9611,-0.0010145564,3.0471892
0,-149.95599,-4.9466866,3.3424181
0,-146.74821,-1.0517513,3.1855668
0,-146.60592,-0.87433653,3.1737248
0,-145.9661,-0.033656933,3.0753659
0,-146.0963,-0.1197836,3.0060652
0,-146.39521,-0.43024647,2.9655185
0,-146.06231,-0.086547011,3.0128583
0,-145.95365,-0.0055760788,3.0611297
0,-146.12198,-0.14537979,3.0014601
0,-145.99484,-0.024786619,3.0307543
0,-146.03667,-0.13975887,3.1002808
0,-147.2107,-1.6227076,3.2180616
0,-146.2091,-0.23432416,2.9880093
0,-146.00051,-0.087901298,3.0901568
0,-145.989,-0.019975046,3.0328619
0,-145.97042,-0.041095861,3.0778868
0,-145.96138,-0.0011267817,3.0469647
0,-145.97551,-0.0096092914,3.0385291
0,-145.9536,-0.0027386246,3.058206
0,-146.12705,-0.2625452,3.1184121
0,-145.96204,-0.026243228,3.0725575
0,-146.13892,-0.2782819,3.1203924
