# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# start_datetime = 2026-05-28 22:15:41 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 200000
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = false
#       iter = 50 (Default)
#     tol_rel_obj = 1e-16
#     eval_elbo = 10000
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter200000/stan_data.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter200000/fixed_eta_grid/grad_samples_1/eta_1p0/output.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter200000/fixed_eta_grid/grad_samples_1/eta_1p0/diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=1dgaussian.stan
lp__,log_p__,log_g__,mu
0,0,0,3.0489029
0,-145.97733,-0.050988351,3.081324
0,-146.5427,-0.46538065,2.9509548
0,-145.97682,-0.050255473,3.0810902
0,-146.054,-0.14902221,3.1043294
0,-146.04376,-0.049311817,3.0170193
0,-145.95432,-0.010349948,3.0635099
0,-145.97283,-0.044402836,3.0791579
0,-146.36109,-0.49366215,3.1497834
0,-146.36798,-0.50112574,3.1505431
0,-146.06558,-0.16284392,3.1068428
0,-146.45594,-0.38976392,2.9592648
0,-146.76404,-0.66079371,2.9321884
0,-146.00273,-0.085451073,3.0908741
0,-149.76997,-3.9917482,3.3357653
0,-146.98621,-0.85945683,2.9157949
0,-147.72954,-1.9221053,3.2479614
0,-146.23937,-0.36049197,3.1351094
0,-147.92359,-2.1206629,3.2579903
0,-145.95359,-0.0068137278,3.0607547
0,-145.95453,-0.011060593,3.0640031
0,-145.95522,-0.013113612,3.0653449
0,-146.03078,-0.03998125,3.0201938
0,-146.11056,-0.10017012,3.0034605
0,-146.10256,-0.093896235,3.0049066
0,-148.28779,-2.4920299,3.2755597
0,-149.40848,-3.0867141,2.7966476
0,-146.48749,-0.6297028,3.1628386
0,-145.9823,-0.0580448,3.0834948
0,-145.99046,-0.069242636,3.0866844
0,-146.50608,-0.64956674,3.1646217
0,-147.29989,-1.4802554,3.2235898
0,-146.53194,-0.67715473,3.1670535
0,-146.16252,-0.27468261,3.1241531
0,-146.06721,-0.16477087,3.1071846
0,-148.98797,-3.2023872,3.3058413
0,-146.01919,-0.1064201,3.0957415
0,-146.24138,-0.20668217,2.9836284
0,-146.85719,-1.0203098,3.193933
0,-145.99008,-0.068719149,3.0865413
0,-146.28839,-0.41445458,3.1413367
0,-146.37341,-0.50700856,3.1511379
0,-145.96496,-0.032111763,3.074632
0,-147.02248,-1.1927637,3.2057113
0,-146.44706,-0.38206522,2.9601545
0,-145.96099,-0.00012894141,3.0472725
0,-145.96047,-6.9342934e-05,3.0477073
0,-147.60386,-1.4195923,2.8778329
0,-146.84238,-0.73061511,2.926177
0,-147.24595,-1.0938867,2.8987346
0,-146.34436,-0.2936857,2.9710933
0,-146.64686,-0.79912391,3.1772539
0,-145.95381,-0.0032329038,3.0570666
0,-147.4195,-1.2514854,2.8882809
0,-145.95786,-0.019240242,3.0688187
0,-145.95437,-0.0020269974,3.0553672
0,-147.64854,-1.8390646,3.2436139
0,-146.09351,-0.086842645,3.0065914
0,-146.00975,-0.094483232,3.0930365
0,-146.11589,-0.22155588,3.1164853
0,-146.89819,-0.78051438,2.9220552
0,-145.99081,-0.013546164,3.032192
0,-146.29342,-0.41996351,3.1419489
0,-145.97986,-0.054612995,3.0824566
0,-146.00287,-0.021022763,3.028085
0,-148.43038,-2.1793184,2.8369436
0,-146.02303,-0.034544024,3.0222172
0,-146.33656,-0.46702342,3.1470238
0,-146.05082,-0.14520752,3.1036154
0,-146.85898,-1.0221799,3.1940658
0,-147.38504,-1.2201421,2.8903051
0,-146.13915,-0.24817985,3.1204308
0,-145.95679,-0.00030556802,3.0514128
0,-146.01419,-0.028487936,3.0246691
0,-145.9988,-0.018435108,3.0294083
0,-146.38586,-0.52046729,3.152486
0,-146.80718,-0.6992053,2.928844
0,-147.12985,-1.3042866,3.2128783
0,-146.00565,-0.089221881,3.0917901
0,-146.28474,-0.24306914,2.9781153
0,-146.67568,-0.82957589,3.1796765
0,-146.11202,-0.21710195,3.1158026
0,-146.26757,-0.39159265,3.1387511
0,-146.12288,-0.10989871,3.001305
0,-145.98854,-0.066644449,3.0859688
0,-145.95837,-0.020297167,3.0693584
0,-146.60789,-0.52260209,2.9451076
0,-145.9934,-0.073186142,3.0877454
0,-146.92828,-1.0946033,3.1991204
0,-147.105,-1.2785129,3.21125
0,-146.0403,-0.046796719,3.017843
0,-145.97904,-0.053447174,3.0820965
0,-146.02769,-0.11701361,3.0980175
0,-147.50514,-1.6917663,3.2356536
0,-148.29419,-2.4985436,3.2758557
0,-146.11307,-0.10214068,3.0030157
0,-146.10474,-0.09559803,3.0045097
0,-146.50334,-0.64664388,3.1643611
