# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# start_datetime = 2026-05-28 22:15:42 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 200000
#     grad_samples = 100
#     elbo_samples = 100 (Default)
#     eta = 100
#     adapt
#       engaged = false
#       iter = 50 (Default)
#     tol_rel_obj = 1e-16
#     eval_elbo = 10000
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter200000/stan_data.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter200000/fixed_eta_grid/grad_samples_100/eta_100p0/output.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter200000/fixed_eta_grid/grad_samples_100/eta_100p0/diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=1dgaussian.stan
lp__,log_p__,log_g__,mu
0,0,0,3.0104954
0,-146.31829,-0.069708685,2.9740927
0,-146.0941,-0.00084879913,3.0064785
0,-146.57355,-0.20447553,2.948149
0,-145.99846,-0.019042053,3.0295214
0,-146.25169,-0.8381532,3.1367225
0,-147.73971,-1.0309132,2.8705039
0,-146.28925,-0.057050919,2.9775631
0,-145.99435,-0.021957887,3.0309263
0,-146.01638,-0.0096576187,3.024045
0,-146.49276,-0.15819654,2.9556565
0,-146.31147,-0.066669217,2.9748952
0,-146.8462,-0.37653524,2.9258909
0,-146.0098,-0.012565975,3.0259511
0,-146.12957,-0.0056128009,3.0001659
0,-145.96256,-0.066512615,3.0460539
0,-145.9626,-0.20536418,3.0729772
0,-146.06808,-6.8542244e-05,3.0116369
0,-146.01823,-0.0089330618,3.0235268
0,-145.97626,-0.040296927,3.0381729
0,-146.25166,-0.83809608,3.1367182
0,-145.95405,-0.14380683,3.0627808
0,-146.45497,-0.13754202,2.9593616
0,-146.48407,-0.1533851,2.9564969
0,-146.53948,-0.18462919,2.9512519
0,-148.24511,-1.4332976,2.845429
0,-146.02188,-0.0076149025,3.022527
0,-146.45691,-0.13858631,2.9591679
0,-146.94811,-0.44548235,2.9184704
0,-149.30072,-2.3135681,2.8007793
0,-147.67764,-0.98269873,2.8738167
0,-148.68282,-1.7929525,2.825877
0,-146.50068,-0.16260704,2.9548973
0,-145.96257,-0.066485448,3.0460466
0,-146.13285,-0.62374992,3.1193874
0,-147.67388,-0.97979177,2.874019
0,-145.95986,-0.074932748,3.0482376
0,-146.37001,-0.09393251,2.9682384
0,-145.99695,-0.020073207,3.0300298
0,-147.66943,-0.9763455,2.8742593
0,-146.05143,-0.45749898,3.1037533
0,-146.10108,-0.001486476,3.0051796
0,-146.5953,-1.3855836,3.1727911
0,-145.98113,-0.27654678,3.0830016
0,-146.12381,-0.0045998716,3.0011443
0,-146.03119,-0.0048427613,3.0200903
0,-145.96591,-0.058205491,3.0437593
0,-146.10074,-0.0014517202,3.0052421
0,-146.11727,-0.0035530007,3.002277
0,-145.95541,-0.096627879,3.0533544
0,-146.18818,-0.019996286,2.9909985
0,-146.01747,-0.37800846,3.0952653
0,-145.96376,-0.063326796,3.0451918
0,-145.96664,-0.22365669,3.0757005
0,-145.97026,-0.23831699,3.0778037
0,-145.96142,-0.069818384,3.0469268
0,-146.47304,-1.1984036,3.1614312
0,-145.95353,-0.1287299,3.0599641
0,-146.54509,-0.18786811,2.9507345
0,-146.15719,-0.011545109,2.9956808
0,-146.75656,-1.624497,3.1862271
0,-146.1975,-0.022856119,2.9896509
0,-146.3326,-0.076207672,2.9724336
0,-148.64846,-1.7644118,2.8273523
0,-146.09813,-0.0011975585,3.0057241
0,-146.02582,-0.39846582,3.0975289
0,-146.61098,-0.22677489,2.9448374
0,-146.10596,-0.57137297,3.1147153
0,-145.95409,-0.10948813,3.0561174
0,-147.29562,-0.69351875,2.8956749
0,-146.01822,-0.37986252,3.0954729
0,-146.19382,-0.7365556,3.128825
0,-146.35224,-0.085385678,2.9702067
0,-146.00931,-0.012805274,3.0260976
0,-148.7013,-1.8083219,2.8250874
0,-146.11443,-0.003135899,3.0027745
0,-147.96765,-1.2103941,2.8588065
0,-146.01406,-0.36944382,3.0942995
0,-146.15312,-0.010566058,2.9963229
0,-145.9775,-0.26449593,3.0814042
0,-146.57949,-0.20798082,2.9476169
0,-147.7088,-1.0068671,2.8721462
0,-145.96115,-0.19806828,3.0718572
0,-146.09847,-0.0012291577,3.0056616
0,-148.51643,-1.6552085,2.8331104
0,-146.76304,-0.32192661,2.9322662
0,-146.16644,-0.68676109,3.1247552
0,-145.99174,-0.024000159,3.0318553
0,-146.37484,-0.096295326,2.9677103
0,-146.33484,-0.077238038,2.9721771
0,-145.97209,-0.04650814,3.0402296
0,-146.43063,-0.12462353,2.9618222
0,-146.04648,-0.44643623,3.1026189
0,-146.68789,-1.5237035,3.1806881
0,-146.166,-0.68596146,3.1246887
0,-148.82755,-1.9136772,2.8197628
0,-146.36723,-0.09258343,2.968543
0,-146.0866,-0.53231668,3.1110903
0,-147.68846,-0.99108134,2.873235
0,-146.23283,-0.034828073,2.9847645
0,-146.25931,-0.044831945,2.9813021
0,-146.11518,-0.0032436596,3.0026429
0,-146.02475,-0.39586288,3.0972441
0,-146.17593,-0.016452234,2.9928105
0,-147.53776,-0.87520549,2.8815085
0,-145.99894,-0.018728016,3.0293639
0,-148.83533,-1.9201911,2.8194385
0,-146.12616,-0.0050020039,3.0007441
0,-145.97642,-0.040085529,3.0381002
0,-148.22338,-1.4156882,2.8464461
0,-146.29352,-0.058866551,2.9770432
0,-146.32545,-0.072940958,2.9732583
0,-146.67132,-0.26371902,2.9396909
0,-146.17441,-0.01603177,2.993038
0,-146.86149,-1.7762643,3.1942527
0,-146.47292,-0.14726727,2.9575847
0,-145.96059,-0.072451253,3.0476074
0,-147.56941,-0.89937909,2.8797393
0,-146.03974,-0.43113236,3.1010261
0,-146.31457,-0.94426734,3.1444749
0,-148.48039,-1.6255287,2.834708
0,-146.47786,-0.14996769,2.9571018
0,-145.95604,-0.092326667,3.0523897
