# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# start_datetime = 2026-06-02 01:19:14 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 300000
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = true (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 1e-16
#     eval_elbo = 10000
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/k_/lm3f3ty933bgx8bfm0dsx7cr0000gn/T/tmpkaxi8z4t/bmvptd1x.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/advi_default/1dgaussian-20260601211914787020.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/advi_default/1dgaussian-20260601211914787020-diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=1dgaussian.stan
lp__,log_p__,log_g__,mu
# Stepsize adaptation complete.
# eta = 1
0,0,0,3.060571
0,-147.14705,-1.1788427,2.9050083
0,-146.16121,-0.19567585,3.1239501
0,-147.22192,-1.2522727,2.9002365
0,-146.32887,-0.37473719,2.9728627
0,-146.62529,-0.66654909,2.9435959
0,-146.69234,-0.70713361,3.1810546
0,-146.03447,-0.074728293,3.0997379
0,-145.9601,-0.0076633088,3.0480284
0,-146.28064,-0.31030658,3.1403838
0,-145.955,-0.0020732263,3.0540472
0,-146.46892,-0.49157037,3.1610257
0,-147.27733,-1.272724,3.2222094
0,-145.95637,-0.0036279816,3.051941
0,-146.11931,-0.16756805,3.0019203
0,-146.17322,-0.2209839,2.9932179
0,-145.95538,-0.0025031439,3.0534026
0,-145.97851,-0.022078202,3.0818602
0,-146.16452,-0.19884528,3.1244613
0,-146.05315,-0.09246935,3.1041398
0,-146.35929,-0.40472451,2.9694209
0,-146.57917,-0.59789222,3.171358
0,-145.98529,-0.0283799,3.084708
0,-146.54773,-0.59027102,2.9504923
0,-145.9546,-0.00062742744,3.0641599
0,-145.96944,-0.013712522,3.0773488
0,-145.98603,-0.029072046,3.0850005
0,-148.55309,-2.5087203,3.287507
0,-146.06031,-0.099274712,3.1057146
0,-146.11012,-0.14678894,3.1154649
0,-145.95927,-0.0067829257,3.0487709
0,-149.84921,-3.7660274,3.3386186
0,-146.50888,-0.53010038,3.1648883
0,-146.69337,-0.73346581,2.9378646
0,-147.61919,-1.6036924,3.242013
0,-147.28721,-1.3163041,2.8961885
0,-145.95361,-3.9481081e-06,3.0608557
0,-145.95399,-0.00019473164,3.0625704
0,-147.34074,-1.3340912,3.2260604
0,-146.19518,-0.22823934,3.1290209
0,-146.73938,-0.77867194,2.9341397
0,-146.0105,-0.059086706,3.0257435
0,-145.97528,-0.019083515,3.0803638
0,-146.72711,-0.74071056,3.1838819
0,-146.62001,-0.63730389,3.1749511
0,-147.45818,-1.4477832,3.2329678
0,-146.19282,-0.24038453,2.9903235
0,-146.10913,-0.14584348,3.1152878
0,-146.05417,-0.1027856,3.014636
0,-146.36799,-0.39433887,3.150544
0,-146.02407,-0.06488008,3.097066
0,-146.23323,-0.28033677,2.9847102
0,-147.82084,-1.7990123,3.2527449
0,-146.19704,-0.24455876,2.9897162
0,-145.99576,-0.044237733,3.0304358
0,-146.08202,-0.13052319,3.0088078
0,-146.39489,-0.43980646,2.9655525
0,-146.11053,-0.15884813,3.0034667
0,-148.58266,-2.5851527,2.8302039
0,-146.39068,-0.43565803,2.9660017
0,-145.95376,-6.2926011e-05,3.0617075
0,-145.97099,-0.019027471,3.0408073
0,-146.21108,-0.25843568,2.9877337
0,-145.95723,-0.0027778289,3.0681224
0,-145.95593,-0.0016832883,3.0664493
0,-146.55308,-0.59553784,2.9500023
0,-145.95971,-0.004930124,3.0706312
0,-146.31975,-0.34791744,3.1450824
0,-146.14091,-0.1762354,3.1207194
0,-146.73686,-0.75012828,3.1846634
0,-147.20968,-1.2072614,3.2179975
0,-146.54925,-0.59176053,2.9503535
0,-146.10191,-0.15028604,3.005027
0,-146.05056,-0.099182329,3.0154483
0,-146.2026,-0.23535516,3.1300797
0,-146.73615,-0.77549902,2.9343975
0,-146.56271,-0.60500483,2.949127
0,-145.97493,-0.023067497,3.03881
0,-147.98367,-1.9987436,2.8580099
0,-146.28304,-0.31261419,3.1406801
0,-146.03747,-0.077576523,3.1004774
0,-146.16036,-0.19485571,3.1238171
0,-147.67558,-1.6583045,3.2450766
0,-146.31177,-0.34024217,3.144145
0,-146.0763,-0.11450579,3.1090542
0,-145.96101,-0.0060836949,3.0717463
0,-146.57405,-0.59295883,3.1709
0,-145.98348,-0.031793069,3.0350238
0,-147.86044,-1.8373723,3.2547829
0,-145.96056,-0.005680615,3.0713698
0,-145.95354,-6.9513411e-06,3.0601932
0,-145.95371,-3.9150516e-05,3.0614675
0,-146.07488,-0.11315516,3.1087674
0,-146.2,-0.24748759,2.9892932
0,-146.54456,-0.56450636,3.1682204
0,-146.04128,-0.089911708,3.0176089
0,-146.50618,-0.54938764,2.9543729
0,-146.21295,-0.26028655,2.9874734
0,-146.64716,-0.68804663,2.9417245
0,-146.1959,-0.24342854,2.9898801
0,-146.84898,-0.8863224,2.925683
0,-146.83293,-0.87056397,2.9268875
0,-146.52645,-0.56933588,2.952462
0,-147.58744,-1.5729436,3.2402651
