# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 300000
#     grad_samples = 100
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = true (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 1e-16
#     eval_elbo = 10000
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/k_/lm3f3ty933bgx8bfm0dsx7cr0000gn/T/tmpjfw0loi3/yn3l4ogv.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/advi_grad_samples_100/1dgaussian-20260529092043902715.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/advi_grad_samples_100/1dgaussian-20260529092043902715-diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# iter,time_in_seconds,ELBO
10000,0.209,-160.87625
20000,0.419,-152.78262
30000,0.629,-149.12863
40000,0.838,-152.14386
50000,1.046,-150.12716
60000,1.256,-148.61122
70000,1.463,-148.30065
80000,1.671,-149.92843
90000,1.881,-148.69145
100000,2.087,-148.32143
110000,2.297,-147.65452
120000,2.507,-148.54629
130000,2.716,-147.9834
140000,2.925,-148.20493
150000,3.142,-148.55319
160000,3.35,-148.26493
170000,3.557,-149.41714
180000,3.763,-148.63412
190000,3.972,-147.42823
200000,4.192,-147.88623
210000,4.404,-148.34658
220000,4.613,-147.34996
230000,4.825,-147.42395
240000,5.043,-147.57691
250000,5.262,-147.47828
260000,5.49,-147.75371
270000,5.7,-147.61758
280000,5.912,-147.83759
290000,6.123,-147.41643
300000,6.333,-147.46923
