# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# start_datetime = 2026-05-29 13:20:43 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 300000
#     grad_samples = 100
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = true (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 1e-16
#     eval_elbo = 10000
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/k_/lm3f3ty933bgx8bfm0dsx7cr0000gn/T/tmpjfw0loi3/yn3l4ogv.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/advi_grad_samples_100/1dgaussian-20260529092043902715.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/advi_grad_samples_100/1dgaussian-20260529092043902715-diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=1dgaussian.stan
lp__,log_p__,log_g__,mu
# Stepsize adaptation complete.
# eta = 100
0,0,0,2.9897363
0,-148.05277,-0.88606358,2.8546095
0,-146.71419,-0.13926312,2.9361656
0,-146.21132,-0.9725514,3.1313043
0,-147.8859,-0.78040549,2.8629217
0,-146.83011,-0.19038325,2.9271004
0,-146.31483,-0.011267493,2.9744985
0,-146.65621,-0.11545531,2.9409592
0,-147.18838,-0.37051709,2.9023561
0,-146.72902,-0.14555667,2.9349685
0,-146.23945,-0.001662328,2.9838834
0,-146.38882,-0.026881178,2.9662002
0,-146.07271,-0.021286416,3.0106803
0,-146.10672,-0.010083725,3.0041514
0,-146.17435,-0.90047088,3.1259571
0,-145.9686,-0.36845087,3.0768725
0,-145.95385,-0.21910681,3.0569312
0,-145.99475,-0.47065844,3.0882194
0,-146.1922,-2.2304213e-05,2.9904142
0,-147.015,-2.2528155,3.2051987
0,-147.4957,-2.9218848,3.2351169
0,-146.11949,-0.0071672154,3.0018893
0,-146.06461,-0.66316149,3.1066373
0,-146.16433,-0.88040854,3.1244311
0,-154.28276,-5.5557829,2.6513744
0,-146.25031,-0.0025680933,2.9824616
0,-146.98436,-0.26438933,2.9159236
0,-146.31009,-0.010455832,2.9750575
0,-150.94384,-2.9399956,2.7435963
0,-146.17237,-0.00063206597,2.9933453
0,-146.07274,-0.021273749,3.0106741
0,-146.0192,-0.054532569,3.0232588
0,-146.03424,-0.042482923,3.0193243
0,-145.95809,-0.17587664,3.0499385
0,-146.32993,-0.01401769,2.9727403
0,-146.61001,-0.097455484,2.9449224
0,-146.67929,-0.12478062,2.9390276
0,-147.22388,-2.5482372,3.2188909
0,-146.26806,-0.0044218643,2.9801905
0,-147.77914,-0.71409367,2.8684291
0,-146.38932,-0.027002952,2.966147
0,-145.98284,-0.42861508,3.0837178
0,-146.11859,-0.0073530663,3.0020458
0,-146.04595,-0.034778282,3.0165072
0,-146.3453,-0.017058378,2.9709873
0,-146.0819,-0.70387728,3.1101725
0,-147.3149,-0.44011552,2.8945022
0,-147.19216,-0.37255456,2.9021162
0,-147.12622,-0.33732,2.9063624
0,-146.02084,-0.053077796,3.0228086
0,-146.00814,-0.51299036,3.0925529
0,-146.16813,-0.0008779412,2.9939897
0,-145.95679,-0.2941444,3.0675917
0,-145.98514,-0.096606485,3.0343545
0,-146.10781,-0.0098096309,3.0039542
0,-149.51292,-1.8838898,2.7927044
0,-148.39841,-1.1116223,2.8383845
0,-146.97268,-2.1918815,3.2022648
0,-146.2467,-0.0022476405,2.9829306
0,-146.54775,-0.074743816,2.9504902
0,-146.20729,-0.0001052536,2.9882635
0,-147.08998,-2.3598348,3.2102571
0,-150.73471,-2.7823467,2.7502865
0,-146.01748,-0.056101979,3.0237377
0,-148.99026,-1.5145698,2.8130701
0,-145.98062,-0.42013525,3.0827835
0,-146.10579,-0.010320261,3.0043195
0,-145.95887,-0.31143831,3.0698478
0,-145.95603,-0.28660163,3.066587
0,-150.88574,-2.8961006,2.7454407
0,-147.48487,-0.53737267,2.8845046
0,-146.35204,-0.018465589,2.9702293
0,-146.1761,-0.00045103088,2.9927849
0,-146.00199,-0.072412268,3.0283654
0,-147.8921,-0.78428683,2.8626068
0,-145.95426,-0.26297337,3.063351
0,-147.32478,-0.44565583,2.8939047
0,-146.20671,-9.3970745e-05,2.9883447
0,-146.26073,-0.0036022351,2.9811205
0,-146.96808,-0.2563012,2.9170614
0,-146.23831,-0.0015772818,2.9840351
0,-147.97688,-0.83772191,2.8583473
0,-146.56273,-0.08003307,2.9491253
0,-146.15013,-0.85156273,3.1222061
0,-146.21392,-0.00027910131,2.987338
0,-146.08433,-0.016820398,3.008354
0,-147.06485,-0.30526207,2.9104231
0,-146.33478,-1.1974278,3.1468208
0,-147.61958,-0.61707971,2.8769699
0,-146.567,-0.08156191,2.9487392
0,-146.04231,-0.60767776,3.1016402
0,-146.28227,-0.0062150917,2.9784192
0,-146.48624,-0.054296557,2.9562864
0,-148.8349,-1.4070516,2.8194562
0,-146.82203,-0.18668214,2.9277122
0,-146.05976,-0.027189442,3.0134068
0,-147.23366,-0.39512622,2.8995009
0,-147.24857,-0.40330397,2.8985719
0,-146.60358,-1.639064,3.1735199
0,-146.08987,-0.72209544,3.1117212
0,-148.17105,-0.9622954,2.8489167
0,-145.98073,-0.1046336,3.0361711
0,-146.30835,-0.010163181,2.9752644
0,-147.01444,-2.2520129,3.2051603
0,-145.99161,-0.086272805,3.0319006
0,-147.39541,-0.48568847,2.889693
0,-146.95944,-0.25202901,2.9176697
0,-147.07764,-0.31187963,2.909568
0,-146.02831,-0.046911857,3.0208284
0,-149.05129,-1.557112,2.8106061
0,-146.03685,-0.040646779,3.0186778
0,-146.43278,-0.03841062,2.9616021
0,-146.28101,-0.006045015,2.9785751
0,-146.20825,-0.96666782,3.1308754
0,-146.22853,-0.00093717357,2.9853417
0,-146.05966,-0.65114741,3.1055736
0,-146.0426,-0.03685258,3.0172939
0,-147.43993,-0.51127671,2.8870915
0,-147.15981,-0.3551719,2.9041847
0,-146.04748,-0.62090189,3.1028513
0,-146.61097,-1.6506078,3.1741659
0,-146.05114,-0.6301142,3.1036873
0,-145.97642,-0.11350594,3.0380998
0,-145.97322,-0.12091065,3.0396524
0,-146.14126,-0.0034991837,2.9982279
0,-150.37047,-2.5102065,2.762298
0,-147.14764,-0.34868086,2.90497
0,-146.60536,-1.6418448,3.1736757
0,-146.6972,-1.7836332,3.1814537
0,-147.17888,-0.36540005,2.9029616
0,-146.15757,-0.0016807992,2.9956215
0,-146.51942,-0.065059105,2.9531209
0,-147.24798,-0.40297657,2.8986089
0,-146.52902,-0.068290813,2.9522226
0,-146.92648,-0.23590969,2.9200124
0,-145.96117,-0.15985477,3.0471309
0,-150.16521,-2.3583262,2.7692859
0,-147.70205,-0.666889,2.8725071
0,-146.73196,-0.14681184,2.9347329
0,-145.96846,-0.36775362,3.07679
0,-146.30562,-0.0097116982,2.9755895
0,-146.87725,-0.21233926,2.9235872
0,-147.24679,-0.40232782,2.8986823
0,-146.56162,-0.079638038,2.9492256
0,-146.01352,-0.059874906,3.0248625
0,-146.06582,-0.0242937,3.0121109
0,-146.31754,-0.011741994,2.9741809
0,-147.34601,-2.717433,3.2263763
0,-146.15707,-0.86573665,3.123304
0,-145.96419,-0.14762004,3.0448908
0,-146.497,-0.057714737,2.9552495
0,-146.16441,-0.8805822,3.1244444
0,-146.72358,-0.14323752,2.9354066
0,-146.16909,-0.00081856758,2.9938434
0,-146.537,-1.5338502,3.1675234
0,-146.52623,-0.067346527,2.9524828
0,-145.96379,-0.14909797,3.0451662
0,-145.9761,-0.1142043,3.0382484
0,-145.99665,-0.079192712,3.0301335
0,-145.99691,-0.078841587,3.0300438
0,-146.01589,-0.53586927,3.0948207
0,-147.76491,-0.70533652,2.8691752
0,-146.58278,-0.087293882,2.9473231
0,-146.09778,-0.012505601,3.0057894
0,-146.16848,-0.00085593731,2.9939361
0,-146.3913,-0.027490755,2.9659349
0,-146.59032,-0.090071144,2.9466537
0,-145.97848,-0.41169584,3.0818442
0,-146.62277,-0.10233806,2.9438136
0,-147.69437,-3.1889557,3.2460861
0,-146.08294,-0.017318595,3.0086277
0,-146.19202,-2.4001614e-05,2.9904395
0,-146.17996,-0.91158625,3.1267953
0,-149.39702,-1.8010722,2.7970839
0,-146.37514,-0.023610457,2.9676785
0,-146.28706,-0.0068787873,2.9778303
0,-146.48145,-0.052795406,2.956752
0,-145.994,-0.4681561,3.0879572
0,-147.41971,-0.49962133,2.8882682
0,-146.59416,-0.091497804,2.9463138
0,-146.0354,-0.041660146,3.0190364
0,-148.84271,-1.4124266,2.8191313
0,-147.28584,-0.42390239,2.8962728
0,-146.01486,-0.53289238,3.0945284
0,-147.79745,-0.7253898,2.8674734
0,-146.96046,-0.25253269,2.9175977
0,-146.18428,-0.00016311417,2.9915697
0,-147.59928,-0.6049343,2.8780852
0,-146.03686,-0.040640594,3.0186756
0,-146.13515,-0.82054046,3.1197708
0,-146.00859,-0.51434274,3.0926883
0,-145.9781,-0.41020185,3.0816769
0,-148.0883,-0.90885298,2.8528829
0,-146.73931,-0.14996666,2.934145
0,-146.18763,-8.7316514e-05,2.9910777
0,-146.00103,-0.073588881,3.028678
0,-146.02896,-0.046401163,3.0206587
0,-146.10227,-0.011246669,3.00496
0,-145.96697,-0.13818324,3.0430988
0,-145.99777,-0.077713758,3.0297545
0,-146.13547,-0.82120054,3.1198231
0,-147.75379,-0.69850473,2.8697605
0,-146.0747,-0.020466693,3.0102731
0,-146.02551,-0.56298322,3.0974464
0,-146.10969,-0.0093484543,3.0036159
0,-146.57888,-0.085864884,2.9476717
0,-146.36302,-0.020850574,2.9690078
0,-146.2607,-0.0035986635,2.9811247
0,-145.98896,-0.45087619,3.0861275
0,-152.64928,-4.2563359,2.693576
