# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# start_datetime = 2026-06-02 01:19:57 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 300000
#     grad_samples = 1 (Default)
#     elbo_samples = 1
#     eta = 0.01
#     adapt
#       engaged = false
#       iter = 50 (Default)
#     tol_rel_obj = 1e-16
#     eval_elbo = 10000
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/stan_data.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/fixed_eta_grad_elbo_grid/grad_samples_1/elbo_samples_1/eta_0p01/output.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/fixed_eta_grad_elbo_grid/grad_samples_1/elbo_samples_1/eta_0p01/diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=1dgaussian.stan
lp__,log_p__,log_g__,mu
0,0,0,3.0588966
0,-147.02884,-0.9789895,2.9128582
0,-146.03742,-0.079316905,3.1004648
0,-146.05372,-0.094489949,3.1042668
0,-147.1194,-1.0617798,2.9068085
0,-145.98099,-0.026537227,3.0829406
0,-147.68869,-1.5825125,2.8732224
0,-146.73374,-0.72319064,3.1844141
0,-146.58444,-0.58543039,3.1718282
0,-146.28052,-0.3046905,3.1403684
0,-145.9662,-0.01254267,3.0754266
0,-148.94736,-2.7618937,3.3041875
0,-146.96015,-0.91619943,2.9176191
0,-146.16732,-0.1999187,3.1248906
0,-146.09961,-0.13713026,3.1135535
0,-145.95935,-0.0047735063,3.048699
0,-146.22542,-0.24552087,2.9857621
0,-146.23164,-0.25117894,2.9849242
0,-145.96939,-0.015578086,3.0773185
0,-146.10326,-0.14051791,3.1142245
0,-146.45586,-0.46673222,3.1597317
0,-146.22184,-0.24225757,2.9862498
0,-146.6807,-0.67425846,3.1800934
0,-146.04244,-0.083989874,3.1016717
0,-145.96107,-0.0062704965,3.0472089
0,-146.19794,-0.22050669,2.9895877
0,-146.25307,-0.27069615,2.9821041
0,-146.09338,-0.12547201,3.0066147
0,-146.55102,-0.54243365,2.9501912
0,-146.24096,-0.26809438,3.1353192
0,-147.3979,-1.3164768,2.8895469
0,-147.08056,-1.0429598,3.2096308
0,-145.97744,-0.023198294,3.0813771
0,-147.03682,-0.9862814,2.9123154
0,-145.97844,-0.02165372,3.0371774
0,-145.95561,-0.001578017,3.0530334
0,-146.36767,-0.37514344,2.9684949
0,-146.02274,-0.065628019,3.096708
0,-146.68634,-0.66600051,2.9384443
0,-146.90568,-0.88175303,3.1974928
0,-146.58605,-0.57441565,2.9470324
0,-147.98047,-1.8495222,2.8581687
0,-147.17593,-1.1134743,2.9031502
0,-146.04262,-0.084155711,3.101714
0,-145.95575,-0.0024443269,3.0661938
0,-145.96037,-0.0069630304,3.0712128
0,-145.95356,-0.00011521241,3.0604809
0,-149.99338,-3.7243138,3.3437367
0,-146.58737,-0.57561986,2.9469152
0,-146.75512,-0.72882856,2.9328908
0,-146.15744,-0.18366417,2.9956423
0,-146.03267,-0.074886552,3.0992872
0,-147.9098,-1.7848385,2.86171
0,-146.07195,-0.11144508,3.1081695
0,-146.15024,-0.17711442,2.9967804
0,-146.46612,-0.46494579,2.9582546
0,-148.03815,-1.9023078,2.8553245
0,-146.23866,-0.2659682,3.1350156
0,-145.96098,-0.006193981,3.0472804
0,-145.95443,-0.0010890409,3.0637674
0,-146.93151,-0.89001332,2.9196527
0,-146.11577,-0.14579726,3.002539
0,-145.95874,-0.0053850042,3.0697277
0,-146.44733,-0.45884619,3.1588762
0,-147.06511,-1.0287158,3.2085979
0,-145.9604,-0.0069860775,3.0712332
0,-146.07841,-0.11188774,3.0095259
0,-146.11789,-0.15409674,3.1168361
0,-146.23853,-0.25745722,2.9840055
0,-148.02246,-1.9105578,3.2629097
0,-145.96753,-0.011955561,3.0427581
0,-145.95687,-0.0035500689,3.0676908
0,-147.10889,-1.0521727,2.9074981
0,-145.9825,-0.027962745,3.0835779
0,-146.402,-0.41698193,3.1542062
