# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 300000
#     grad_samples = 1 (Default)
#     elbo_samples = 1
#     eta = 10
#     adapt
#       engaged = false
#       iter = 50 (Default)
#     tol_rel_obj = 1e-16
#     eval_elbo = 10000
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/stan_data.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/fixed_eta_grad_elbo_grid/grad_samples_1/elbo_samples_1/eta_10p0/output.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/fixed_eta_grad_elbo_grid/grad_samples_1/elbo_samples_1/eta_10p0/diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# iter,time_in_seconds,ELBO
10000,0.007,-148.9871
20000,0.015,-147.37864
30000,0.022,-146.89932
40000,0.029,-146.89818
50000,0.037,-147.27655
60000,0.044,-147.10759
70000,0.052,-146.79936
80000,0.059,-147.21982
90000,0.067,-147.59952
100000,0.074,-147.82352
110000,0.081,-146.85876
120000,0.089,-147.1203
130000,0.096,-147.33062
140000,0.104,-146.89198
150000,0.112,-150.22409
160000,0.119,-147.02117
170000,0.127,-147.48421
180000,0.135,-146.79858
190000,0.142,-147.58005
200000,0.149,-148.30864
210000,0.157,-147.09374
220000,0.165,-146.96757
230000,0.172,-146.88662
240000,0.18,-147.0176
250000,0.188,-146.74342
260000,0.196,-148.30209
270000,0.203,-146.78913
280000,0.211,-148.24272
290000,0.22,-147.48972
300000,0.228,-146.98792
