# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# start_datetime = 2026-06-02 01:19:56 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 300000
#     grad_samples = 1 (Default)
#     elbo_samples = 1
#     eta = 10
#     adapt
#       engaged = false
#       iter = 50 (Default)
#     tol_rel_obj = 1e-16
#     eval_elbo = 10000
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/stan_data.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/fixed_eta_grad_elbo_grid/grad_samples_1/elbo_samples_1/eta_10p0/output.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/fixed_eta_grad_elbo_grid/grad_samples_1/elbo_samples_1/eta_10p0/diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=1dgaussian.stan
lp__,log_p__,log_g__,mu
0,0,0,3.024618
0,-147.5178,-0.9789895,2.8826332
0,-145.95504,-0.079316905,3.0650324
0,-145.95777,-0.094489949,3.0687289
0,-147.62357,-1.0617798,2.8767514
0,-145.96014,-0.026537227,3.0479946
0,-148.2737,-1.5825125,2.8440975
0,-146.33331,-0.72319064,3.1466516
0,-146.23414,-0.58543039,3.1344151
0,-146.05177,-0.3046905,3.1038285
0,-145.97121,-0.01254267,3.0406892
0,-148.02634,-2.7618937,3.2631005
0,-147.437,-0.91619943,2.8872619
0,-145.99638,-0.1999187,3.0887803
0,-145.97018,-0.13713026,3.0777578
0,-146.05387,-0.0047735063,3.0147035
0,-146.51525,-0.24552087,2.9535135
0,-146.52392,-0.25117894,2.9526989
0,-145.96792,-0.015578086,3.0425286
0,-145.97139,-0.14051791,3.0784102
0,-146.15295,-0.46673222,3.1226543
0,-146.51024,-0.24225757,2.9539876
0,-146.29757,-0.67425846,3.1424508
0,-145.95576,-0.083989874,3.0662059
0,-146.06047,-0.0062704965,3.0132547
0,-146.47652,-0.22050669,2.9572329
0,-146.55358,-0.27069615,2.949957
0,-146.3209,-0.12547201,2.9737873
0,-146.94164,-0.54243365,2.9189299
0,-146.03121,-0.26809438,3.0989194
0,-147.94439,-1.3164768,2.8599688
0,-146.57705,-1.0429598,3.1711684
0,-145.962,-0.023198294,3.0464746
0,-147.52715,-0.9862814,2.8821054
0,-146.11033,-0.02165372,3.0035017
0,-146.03588,-0.001578017,3.0189176
0,-146.70729,-0.37514344,2.9367256
0,-145.95369,-0.065628019,3.0613799
0,-147.10872,-0.66600051,2.907509
0,-146.45222,-0.88175303,3.1593673
0,-146.98529,-0.57441565,2.9158588
0,-148.59971,-1.8495222,2.8294616
0,-147.68921,-1.1134743,2.8731946
0,-145.95579,-0.084155711,3.0662469
0,-145.99213,-0.0024443269,3.0317127
0,-145.97976,-0.0069630304,3.0365924
0,-146.00911,-0.00011521241,3.0261583
