# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 300000
#     grad_samples = 1 (Default)
#     elbo_samples = 1
#     eta = 1 (Default)
#     adapt
#       engaged = false
#       iter = 50 (Default)
#     tol_rel_obj = 1e-16
#     eval_elbo = 10000
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/stan_data.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/fixed_eta_grad_elbo_grid/grad_samples_1/elbo_samples_1/eta_1p0/output.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/fixed_eta_grad_elbo_grid/grad_samples_1/elbo_samples_1/eta_1p0/diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# iter,time_in_seconds,ELBO
10000,0.007,-147.30229
20000,0.015,-147.47716
30000,0.022,-146.85134
40000,0.03,-147.25004
50000,0.037,-147.227
60000,0.044,-146.83444
70000,0.052,-147.11122
80000,0.059,-147.73874
90000,0.067,-148.35033
100000,0.074,-147.3599
110000,0.082,-146.88919
120000,0.089,-147.26706
130000,0.096,-146.9831
140000,0.104,-146.82047
150000,0.111,-148.62153
160000,0.119,-147.02053
170000,0.127,-147.11543
180000,0.134,-146.82402
190000,0.142,-147.37046
200000,0.149,-148.29373
210000,0.157,-146.9728
220000,0.164,-146.84014
230000,0.171,-146.81292
240000,0.179,-147.01095
250000,0.186,-146.79689
260000,0.194,-148.32987
270000,0.201,-146.79714
280000,0.209,-147.7689
290000,0.217,-147.23942
300000,0.224,-146.85363
