# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 300000
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 10
#     adapt
#       engaged = false
#       iter = 50 (Default)
#     tol_rel_obj = 1e-16
#     eval_elbo = 10000
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/stan_data.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/fixed_eta_grad_elbo_grid/grad_samples_1/elbo_samples_100/eta_10p0/output.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/fixed_eta_grad_elbo_grid/grad_samples_1/elbo_samples_100/eta_10p0/diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# iter,time_in_seconds,ELBO
10000,0.007,-147.67549
20000,0.014,-147.37497
30000,0.022,-147.31277
40000,0.029,-147.54916
50000,0.037,-147.42773
60000,0.044,-147.36254
70000,0.052,-147.49815
80000,0.059,-147.52479
90000,0.066,-147.55252
100000,0.074,-147.60657
110000,0.081,-147.71196
120000,0.088,-147.40122
130000,0.096,-147.26383
140000,0.103,-147.24138
150000,0.111,-147.27905
160000,0.118,-147.67056
170000,0.125,-147.29823
180000,0.133,-147.16191
190000,0.14,-147.44022
200000,0.147,-147.32279
210000,0.155,-147.31422
220000,0.162,-147.4869
230000,0.17,-147.44534
240000,0.177,-147.412
250000,0.184,-147.37654
260000,0.192,-147.6404
270000,0.199,-147.44521
280000,0.207,-147.31938
290000,0.214,-147.28878
300000,0.221,-147.33777
