# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# start_datetime = 2026-06-02 01:20:30 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 300000
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 10
#     adapt
#       engaged = false
#       iter = 50 (Default)
#     tol_rel_obj = 1e-16
#     eval_elbo = 10000
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/stan_data.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/fixed_eta_grad_elbo_grid/grad_samples_1/elbo_samples_100/eta_10p0/output.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/fixed_eta_grad_elbo_grid/grad_samples_1/elbo_samples_100/eta_10p0/diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=1dgaussian.stan
lp__,log_p__,log_g__,mu
0,0,0,3.0515729
0,-146.25275,-0.39857572,3.136859
0,-146.77162,-0.78879419,2.9315941
0,-147.27125,-1.3063877,2.8971688
0,-146.01411,-0.039594156,3.0246923
0,-146.49707,-0.50848535,2.9552428
0,-145.96143,-0.023057504,3.0720859
0,-146.04232,-0.064142948,3.0173594
0,-146.483,-0.49424878,2.9566009
0,-146.38346,-0.55516809,3.1522278
0,-146.01681,-0.041890481,3.0239238
0,-146.10014,-0.1170665,3.0053519
0,-146.20621,-0.34212258,3.1305886
0,-146.02813,-0.1187827,3.0981314
0,-146.64235,-0.65629599,2.9421338
0,-146.24386,-0.25539587,2.9833029
0,-146.62519,-0.84019585,3.1753992
0,-146.11673,-0.23194142,3.1166326
0,-146.30473,-0.46114318,3.1433091
0,-145.95472,-0.00050316137,3.0546031
0,-146.04511,-0.14100716,3.1023004
0,-146.03968,-0.06179214,3.0179922
0,-147.86433,-1.9274945,2.8640219
0,-146.01842,-0.043259854,3.0234756
0,-147.72304,-1.7790662,2.8713878
0,-146.36522,-0.53345205,3.1502395
0,-146.19061,-0.20341912,2.9906447
0,-148.70261,-3.2197279,3.2939727
0,-146.10895,-0.22222177,3.1152548
0,-146.61388,-0.82694606,3.174419
0,-146.6502,-0.66432155,2.9414667
0,-145.97268,-0.007435513,3.0399242
0,-146.49447,-0.68662293,3.163512
0,-146.26604,-0.4146187,3.1385584
0,-145.97105,-0.038925129,3.0782254
0,-146.07187,-0.17541373,3.1081518
0,-146.33363,-0.49574757,3.1466888
0,-145.95355,-0.0027347003,3.0586373
0,-146.39848,-0.57302107,3.1538334
0,-146.81025,-1.0560251,3.1903954
0,-146.01157,-0.037453656,3.025429
0,-146.02176,-0.046123807,3.0225604
0,-145.98128,-0.013397324,3.0359367
0,-146.13744,-0.25769859,3.1201499
0,-146.58586,-0.79410771,3.1719551
0,-146.52863,-0.72686751,3.1667458
0,-146.80718,-0.82537269,2.9288437
0,-146.54936,-0.56152411,2.9503434
0,-149.42231,-3.5757609,2.7961223
0,-146.06827,-0.17081885,3.1074058
0,-149.07534,-3.6415387,3.3093624
0,-146.0102,-0.094822783,3.0931715
0,-148.54266,-3.0384272,3.2870491
0,-145.95641,-0.01322158,3.0671062
0,-146.12809,-0.14340522,3.0004159
0,-146.07674,-0.18161943,3.1091439
0,-146.69617,-0.92316051,3.1813689
0,-146.02593,-0.049725906,3.0214488
0,-145.96534,-0.0030378728,3.0441272
0,-146.41333,-0.42399451,2.9636093
0,-147.49463,-1.8447966,3.2350564
0,-146.04274,-0.13793208,3.1017442
0,-146.31201,-0.46987173,3.1441732
0,-146.93534,-1.2011237,3.1996257
0,-145.97615,-0.046735788,3.0807772
0,-146.11827,-0.23386168,3.1169013
0,-145.95501,-0.0098323873,3.0649682
0,-146.07987,-0.1855901,3.1097698
0,-146.1214,-0.2377631,3.117444
0,-146.04272,-0.13789723,3.1017379
0,-145.9546,-0.0005842454,3.0548382
0,-146.57297,-0.7789729,3.1708024
0,-146.129,-0.24722703,3.1187422
0,-145.96399,-0.027506725,3.0739777
0,-146.41561,-0.42628741,2.9633718
0,-146.14366,-0.26539571,3.1211665
0,-149.16115,-3.7385407,3.3127732
0,-146.08733,-0.19503158,3.1112318
0,-146.6953,-0.71047512,2.9377061
0,-146.24544,-0.38973584,3.1359079
0,-146.2592,-0.40636058,3.1376878
0,-146.02622,-0.11625567,3.0976335
0,-146.71311,-0.72872138,2.9362532
0,-146.2973,-0.45222957,3.1424181
0,-145.99878,-0.026904643,3.0294146
0,-146.0303,-0.12164355,3.0986888
0,-146.5225,-0.71964681,3.1661723
0,-146.2128,-0.22499844,2.9874944
0,-146.48363,-0.49488322,2.95654
0,-145.95607,-3.3290815e-05,3.0523523
0,-145.98256,-0.056209093,3.0836006
0,-145.99929,-0.027313834,3.0292467
0,-146.1896,-0.20244674,2.9907905
0,-146.10524,-0.12184521,3.004418
0,-146.18721,-0.20012435,2.9911401
0,-146.2344,-0.37637425,3.1344496
0,-146.04802,-0.069226708,3.0160294
0,-146.61068,-0.62395832,2.944864
0,-146.03966,-0.061772996,3.0179974
0,-146.91084,-1.1727403,3.1978659
0,-146.31806,-0.3287225,2.97412
0,-146.4693,-0.48040248,2.9579407
0,-146.16689,-0.18049865,2.9941798
0,-147.02909,-1.0546358,2.9128418
0,-145.95459,-0.0086567345,3.0641419
0,-146.19338,-0.20610666,2.9902435
0,-146.20477,-0.34037823,3.1303869
0,-145.95437,-0.00078427962,3.0553561
0,-148.53429,-3.0289373,3.2866811
0,-146.91724,-1.1801519,3.1983275
0,-146.23874,-0.25037075,2.9839779
0,-146.06505,-0.084631607,3.0122732
0,-145.97024,-0.005879104,3.0412148
0,-146.04606,-0.14224663,3.1025228
0,-146.18828,-0.32025086,3.1280212
0,-146.40629,-0.58229497,3.1546576
0,-145.95363,-0.0022599962,3.057995
0,-145.96351,-0.0021106375,3.0453666
0,-146.18123,-0.19433856,2.9920201
0,-145.98629,-0.017115342,3.0338997
0,-146.04026,-0.062304571,3.0178533
0,-146.05662,-0.15588269,3.104909
0,-146.70719,-0.7226537,2.9367343
0,-146.03758,-0.13119822,3.1005042
0,-146.26596,-0.27714438,2.9804555
0,-146.259,-0.27028206,2.9813415
