# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# start_datetime = 2026-06-02 01:20:17 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 300000
#     grad_samples = 100
#     elbo_samples = 1
#     eta = 0.1
#     adapt
#       engaged = false
#       iter = 50 (Default)
#     tol_rel_obj = 1e-16
#     eval_elbo = 10000
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/stan_data.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/fixed_eta_grad_elbo_grid/grad_samples_100/elbo_samples_1/eta_0p1/output.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/fixed_eta_grad_elbo_grid/grad_samples_100/elbo_samples_1/eta_0p1/diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=1dgaussian.stan
lp__,log_p__,log_g__,mu
0,0,0,3.060789
0,-146.03597,-0.088034075,3.0188947
0,-146.57738,-0.6114387,3.1711984
0,-146.02386,-0.065799406,3.0970084
0,-146.07147,-0.11212892,3.1080702
0,-145.95503,-0.0023076312,3.0540062
0,-148.83893,-2.8633135,3.2997154
0,-146.94725,-1.0150589,2.9185315
0,-146.33756,-0.37398754,3.1471382
0,-145.97233,-0.016451131,3.0788994
0,-146.14715,-0.20234224,2.9972745
0,-147.13591,-1.1662461,3.2132732
0,-146.46519,-0.50026264,3.1606575
0,-147.89105,-1.918131,3.2563439
0,-147.9047,-1.9317403,3.2570364
0,-145.98973,-0.039881382,3.0325913
0,-146.14985,-0.18892958,3.1221623
0,-146.15809,-0.19702848,3.123464
0,-146.60612,-0.63993212,3.1737417
0,-145.96372,-0.0084727306,3.073786
0,-146.14709,-0.18621748,3.1217202
0,-146.04104,-0.093275573,3.0176656
0,-146.22896,-0.26678933,3.1337203
0,-146.32902,-0.38792634,2.9728454
0,-146.10095,-0.1549796,3.0052029
0,-145.97278,-0.01687249,3.0791299
0,-145.96035,-0.0054313843,3.0711951
0,-146.53965,-0.60198547,2.9512365
0,-146.07746,-0.13082963,3.0097171
0,-145.95483,-0.0020615144,3.0543781
0,-145.96338,-0.0081662228,3.0735487
0,-146.34015,-0.39925868,2.9715702
0,-146.95812,-1.0260614,2.9177626
0,-146.52834,-0.56282793,3.1667186
0,-145.98286,-0.026392907,3.083728
0,-146.00576,-0.048317527,3.0918262
0,-146.04371,-0.0960368,3.0170319
0,-146.00758,-0.058553682,3.026622
0,-146.22343,-0.26133636,3.1329711
0,-147.14218,-1.212289,2.905324
0,-146.06521,-0.10601923,3.106764
0,-145.99819,-0.041038275,3.0893929
0,-147.54393,-1.5723373,3.2378417
0,-146.18875,-0.2271784,3.1280887
0,-145.97111,-0.020156368,3.0407427
0,-145.95811,-0.0034543736,3.0690878
0,-145.95375,-3.825322e-05,3.0616623
0,-146.23822,-0.29539795,2.984047
0,-146.08543,-0.12577053,3.1108638
0,-145.95718,-0.0048646339,3.0509409
0,-146.0772,-0.13057027,3.0097677
0,-146.05862,-0.099590814,3.1053484
0,-146.10988,-0.1641503,3.0035819
0,-146.23634,-0.29347927,2.9842966
0,-146.0621,-0.10298498,3.1061014
0,-146.0188,-0.060901488,3.0956343
0,-146.92655,-0.99410516,2.9200075
0,-145.9903,-0.040484679,3.0323788
0,-147.82224,-1.8495726,3.2528173
0,-146.12955,-0.18432112,3.0001689
0,-147.68475,-1.7606406,2.8734342
0,-146.00617,-0.057092163,3.0270512
0,-146.46769,-0.52892585,2.9580993
0,-146.07346,-0.11406909,3.1084775
0,-145.98846,-0.038549814,3.033066
0,-145.96654,-0.011065992,3.0756424
0,-145.95361,-0.00035662423,3.0581226
0,-146.35635,-0.39256176,3.1492565
0,-145.96795,-0.012370866,3.0764937
0,-147.37674,-1.4494498,2.890796
0,-146.01166,-0.053999664,3.0936005
0,-146.51452,-0.54913261,3.1654219
0,-146.30882,-0.36736249,2.9752081
0,-146.1725,-0.21119499,3.1256781
0,-145.95352,-0.00010086257,3.059371
0,-145.9737,-0.017733386,3.079592
0,-147.28702,-1.3165872,3.2228037
0,-145.98987,-0.04003053,3.0325386
0,-146.13344,-0.17281266,3.1194862
0,-146.09972,-0.15372065,3.0054291
0,-147.26283,-1.2925111,3.2213155
0,-146.03293,-0.074598396,3.0993541
0,-145.97932,-0.023030865,3.0822172
0,-147.02259,-1.0535489,3.2057186
0,-147.91544,-1.9935893,2.8614247
0,-145.95352,-0.00014459335,3.0590912
0,-150.24855,-4.2704292,3.3525756
0,-145.95428,-0.0013609905,3.05558
0,-146.17561,-0.23146427,2.9928575
0,-146.50461,-0.56642312,2.9545216
0,-146.05844,-0.099416832,3.1053095
0,-146.11101,-0.16530933,3.0033803
0,-146.25776,-0.31532837,2.9815004
0,-147.73432,-1.7619807,3.2482152
0,-146.25731,-0.29474146,3.1374457
0,-146.87269,-0.90456988,3.1950812
0,-146.04525,-0.086569149,3.1023333
0,-146.03947,-0.091648771,3.0180433
0,-146.69222,-0.75674479,2.9379591
0,-146.25459,-0.29206568,3.137097
0,-146.12603,-0.18071364,3.000765
0,-146.78243,-0.81491011,3.1882521
0,-147.2532,-1.3245583,2.8982846
0,-145.98542,-0.035348602,3.034242
0,-146.24653,-0.30388176,2.9829528
0,-146.16804,-0.20680385,3.1249999
0,-146.05344,-0.10608556,3.0147996
0,-146.01863,-0.070060345,3.0234154
