# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# start_datetime = 2026-06-02 01:19:57 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 300000
#     grad_samples = 100
#     elbo_samples = 1
#     eta = 100
#     adapt
#       engaged = false
#       iter = 50 (Default)
#     tol_rel_obj = 1e-16
#     eval_elbo = 10000
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/stan_data.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/fixed_eta_grad_elbo_grid/grad_samples_100/elbo_samples_1/eta_100p0/output.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/fixed_eta_grad_elbo_grid/grad_samples_100/elbo_samples_1/eta_100p0/diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=1dgaussian.stan
lp__,log_p__,log_g__,mu
0,0,0,3.1310902
0,-146.00201,-0.088034075,3.0906435
0,-147.54112,-0.6114387,3.2376846
0,-146.52128,-0.065799406,3.166058
0,-146.64079,-0.11212892,3.1767377
0,-146.16504,-0.0023076312,3.1245417
0,-150.52199,-2.8633135,3.3617609
0,-146.16972,-1.0150589,2.9937481
0,-147.15417,-0.37398754,3.2144557
0,-146.35025,-0.016451131,3.1485748
0,-145.95879,-0.20234224,3.0697703
0,-148.3475,-1.1662461,3.2783055
0,-147.36496,-0.50026264,3.2275079
0,-149.3439,-1.918131,3.3198881
0,-149.36133,-1.9317403,3.3205566
0,-146.05194,-0.039881382,3.1038668
0,-146.80957,-0.18892958,3.1903429
0,-146.82609,-0.19702848,3.1915995
0,-147.58518,-0.63993212,3.24014
0,-146.30749,-0.0084727306,3.1436381
0,-146.80399,-0.18621748,3.189916
0,-145.99838,-0.093275573,3.0894568
0,-146.96181,-0.26678933,3.2015015
0,-145.96238,-0.38792634,3.0461853
0,-145.96958,-0.1549796,3.0774247
0,-146.35224,-0.01687249,3.1487973
0,-146.28676,-0.0054313843,3.1411367
0,-146.01193,-0.60198547,3.025323
0,-145.97834,-0.13082963,3.0817829
0,-146.16739,-0.0020615144,3.1249008
0,-146.30557,-0.0081662228,3.143409
0,-145.9641,-0.39925868,3.0449541
0,-146.17463,-1.0260614,2.9930058
0,-147.46499,-0.56282793,3.2333596
0,-146.39287,-0.026392907,3.1532365
0,-146.46922,-0.048317527,3.1610549
0,-145.99657,-0.0960368,3.0888451
0,-146.02803,-0.058553682,3.0981038
0,-146.95156,-0.26133636,3.2007782
0,-146.2617,-1.212289,2.980997
0,-146.62609,-0.10601923,3.1754766
0,-146.44563,-0.041038275,3.1587057
0,-148.89468,-1.5723373,3.3020251
0,-146.88607,-0.2271784,3.1960645
0,-146.08995,-0.020156368,3.1117365
0,-146.27036,-0.0034543736,3.1391022
0,-146.21586,-3.825322e-05,3.1319333
0,-145.95383,-0.29539795,3.0569998
0,-146.67278,-0.12577053,3.1794347
0,-146.14623,-0.0048646339,3.1215823
0,-145.97845,-0.13057027,3.0818318
0,-146.61033,-0.099590814,3.1741099
0,-145.9669,-0.1641503,3.0758597
0,-145.95377,-0.29347927,3.0572408
0,-146.61869,-0.10298498,3.1748369
0,-146.50723,-0.060901488,3.1647314
0,-146.16045,-0.99410516,2.9951731
0,-146.05103,-0.040484679,3.1036616
0,-149.25581,-1.8495726,3.3164833
0,-145.96205,-0.18432112,3.0725646
0,-146.55082,-1.7606406,2.9502091
0,-146.02964,-0.057092163,3.0985181
0,-145.99148,-0.52892585,3.0319487
0,-146.64541,-0.11406909,3.1771309
0,-146.05398,-0.038549814,3.1043251
0,-146.32274,-0.011065992,3.1454303
0,-146.19168,-0.00035662423,3.1285159
0,-147.18607,-0.39256176,3.2165008
0,-146.32983,-0.012370866,3.1462522
0,-146.38166,-1.4494498,2.9669709
0,-146.48676,-0.053999664,3.1627679
0,-147.4433,-0.54913261,3.2321077
0,-145.95961,-0.36736249,3.0484664
0,-146.85456,-0.21119499,3.1937371
0,-146.20008,-0.00010086257,3.1297211
0,-146.35623,-0.017733386,3.1492434
0,-148.55308,-1.3165872,3.2875068
0,-146.05171,-0.04003053,3.1038159
0,-146.77609,-0.17281266,3.1877592
0,-145.96997,-0.15372065,3.0776431
0,-148.52042,-1.2925111,3.28607
0,-146.54567,-0.074598396,3.1683227
0,-146.3793,-0.023030865,3.1517779
0,-148.19056,-1.0535489,3.271012
0,-146.68428,-1.9935893,2.9386146
0,-146.19818,-0.00014459335,3.129451
0,-152.19492,-4.2704292,3.4127946
0,-146.17504,-0.0013609905,3.1260612
0,-145.95532,-0.23146427,3.0655059
0,-146.00159,-0.56642312,3.0284947
0,-146.6099,-0.099416832,3.1740723
0,-145.96658,-0.16530933,3.0756651
0,-145.95475,-0.31532837,3.0545412
0,-149.14261,-1.7619807,3.3120402
0,-147.01353,-0.29474146,3.2050982
0,-147.9786,-0.90456988,3.2607421
0,-146.57739,-0.086569149,3.171199
0,-145.99948,-0.091648771,3.0898215
0,-146.06397,-0.75674479,3.0125044
0,-147.00864,-0.29206568,3.2047615
0,-145.96282,-0.18071364,3.0731402
0,-147.84808,-0.81491011,3.254149
0,-146.31737,-1.3245583,2.9742008
0,-146.05913,-0.035348602,3.1054605
0,-145.95415,-0.30388176,3.0559434
0,-146.84579,-0.20680385,3.1930824
0,-145.99048,-0.10608556,3.0866899
0,-146.01655,-0.070060345,3.0950079
0,-146.03674,-0.051020163,3.1002988
0,-146.33501,-1.3592882,2.9721573
0,-146.67462,-0.12657167,3.1795885
0,-146.24632,-0.0013094808,3.1360232
0,-146.19002,-0.00042661055,3.1282746
0,-145.9545,-0.3109421,3.0550755
0,-145.97544,-0.46069689,3.0385638
0,-146.41693,-0.032774621,3.1557691
0,-146.06816,-0.030242691,3.1073837
0,-147.29676,-0.45853269,3.223399
0,-145.99808,-0.55375324,3.0296486
0,-145.95631,-0.33639891,3.052025
0,-146.42767,-0.035788112,3.1568788
0,-147.73418,-0.73811987,3.2482076
0,-146.38495,-0.02440895,3.1523879
0,-145.96386,-0.17610563,3.0738838
0,-146.10222,-0.85596815,3.0049694
0,-146.54642,-0.074874054,3.1683915
0,-148.90377,-1.5792299,3.3023994
0,-148.16031,-1.032054,3.2695772
0,-145.97381,-0.4528544,3.0393547
0,-146.26999,-0.0034146253,3.139056
0,-145.97526,-0.13851536,3.0803553
0,-146.16569,-0.0022377241,3.1246417
0,-145.95482,-0.31649687,3.0543995
0,-145.95606,-0.33351822,3.0523643
0,-146.49999,-1.6693103,2.954963
0,-146.04005,-0.68941148,3.017903
0,-146.33634,-0.013620517,3.1469996
0,-148.74639,-1.4604695,3.2958321
0,-146.40745,-0.030199251,3.1547797
0,-146.048,-0.042550341,3.1029706
0,-152.27385,-4.3382144,3.4150216
0,-146.85307,-0.21044999,3.1936265
0,-146.0839,-0.80951712,3.0084392
0,-146.23907,-1.1652984,2.9839347
0,-146.37276,-0.021474027,3.1510665
0,-146.29459,-0.0065110924,3.14209
0,-146.25125,-0.0016725412,3.1366652
0,-146.08966,-0.020273772,3.1116802
0,-147.60885,-0.65534603,3.2414455
0,-146.05606,-0.037233472,3.104786
0,-146.29565,-0.0066644589,3.1422188
0,-145.99332,-0.53601154,3.0312869
0,-146.97992,-0.27649792,3.2027712
0,-148.70955,-1.4328725,3.2942682
0,-145.99846,-0.093165821,3.0894813
0,-148.08741,-0.98056016,3.2660782
0,-146.70817,-0.14139562,3.1823499
0,-146.30712,-0.008412955,3.1435937
0,-146.16348,-0.0024808843,3.1243003
0,-146.24001,-0.00090646585,3.1351944
0,-148.15875,-1.030945,3.2695028
0,-146.06779,-0.76707191,3.011698
0,-146.30463,-0.0080178735,3.1432966
0,-146.72279,-0.14800397,3.1835341
0,-146.05656,-0.036919142,3.1048973
0,-146.22144,-0.00013944519,3.1326999
0,-146.19864,-0.00013331505,3.1295162
0,-146.28243,-1.2546087,2.9783997
0,-146.16534,-0.0022762051,3.1245864
0,-146.17191,-0.0016290792,3.1255881
0,-146.15429,-0.0036394061,3.1228664
0,-146.16225,-0.99819072,2.9948941
0,-146.26764,-1.2244921,2.9802435
0,-146.24118,-1.1697166,2.983656
0,-147.90228,-0.85193716,3.2569137
0,-146.54981,-1.7588426,2.9503014
0,-147.82596,-0.79988996,3.2530097
0,-147.10715,-0.34699758,3.2113912
0,-146.37766,-0.022637608,3.1516006
0,-147.39483,-0.51878491,3.2292767
0,-146.41905,-1.5201728,2.9630147
0,-145.957,-0.21523024,3.0678476
0,-146.41603,-0.03252693,3.1556757
0,-146.09049,-0.019942012,3.1118397
0,-146.08104,-0.80209382,3.0090029
0,-146.65526,-0.11823915,3.1779649
0,-147.51087,-0.59202434,3.2359787
0,-145.96302,-0.39225249,3.0457132
0,-145.99347,-0.10098733,3.0877699
0,-146.07249,-0.77963483,3.0107243
0,-146.03293,-0.054197027,3.0993547
0,-146.79367,-0.18122865,3.1891227
0,-147.34176,-0.48598318,3.2261219
0,-146.02558,-0.060847575,3.0974639
0,-146.7456,-0.15848548,3.1853593
0,-146.23293,-0.00053829793,3.134253
0,-146.14137,-0.0057053506,3.1207935
0,-145.95412,-0.30332047,3.0560129
0,-149.2193,-1.8212559,3.3150587
0,-146.54872,-0.075722564,3.1686022
0,-146.71871,-0.14614915,3.1832044
0,-146.64797,-1.9310856,2.9416559
0,-145.95508,-0.23432964,3.0651012
0,-146.0601,-0.74618585,3.0133346
0,-147.25164,-0.43136795,3.2206229
0,-145.97553,-0.13780403,3.0804857
0,-147.18119,-0.38970694,3.2161897
0,-145.97192,-0.44340074,3.0403173
0,-146.3473,-1.383276,2.9707611
0,-149.59829,-2.1179913,3.3294803
0,-147.87125,-0.83070275,3.2553357
0,-145.95849,-0.20431496,3.0694721
0,-145.97433,-0.14098253,3.0799054
0,-147.00581,-0.29052259,3.2045666
0,-146.45182,-0.042908042,3.1593278
0,-146.0025,-0.087347411,3.0908015
0,-146.01008,-0.077517999,3.093136
0,-146.84589,-2.2653565,2.9259144
0,-145.97422,-0.45482443,3.0391554
0,-145.95606,-0.22355532,3.0666361
0,-147.12293,-0.35600732,3.2124271
0,-146.09674,-0.017572186,3.1130197
0,-148.9991,-1.6518242,3.3062925
0,-146.02864,-0.057990893,3.0982627
0,-147.50741,-0.58981311,3.2357826
0,-146.08631,-0.0216428,3.1110356
0,-148.85974,-1.5458678,3.3005802
0,-150.77126,-3.0688706,3.3698973
0,-146.00537,-0.57969953,3.0272993
0,-146.2127,-1.1093853,2.9875085
0,-146.66492,-0.12237507,3.1787777
0,-146.04328,-0.69881534,3.0171337
0,-145.96225,-0.38701656,3.046285
0,-146.44434,-0.040651752,3.1585753
0,-147.80697,-0.78702998,3.2520256
0,-146.59427,-0.093172452,3.1727006
0,-145.98802,-0.51532201,3.033232
0,-146.37594,-0.022226364,3.1514134
0,-146.81466,-0.19141772,3.1907318
0,-145.96839,-0.15891122,3.0767482
0,-146.7749,-2.1471698,2.9313382
0,-146.3363,-0.013611959,3.1469946
0,-146.99731,-0.28589835,3.2039795
0,-146.47946,-0.051609497,3.1620589
0,-146.41693,-0.032773948,3.1557689
0,-147.29478,-0.45733349,3.2232782
0,-146.12813,-0.0084030557,3.118594
0,-152.68064,-4.6891996,3.426284
0,-145.96625,-0.16652704,3.0754613
0,-146.06154,-0.75014427,3.0130227
0,-146.90003,-0.23435566,3.1970829
0,-146.18614,-0.00061550388,3.1277082
0,-146.46531,-0.047082799,3.1606696
0,-146.01223,-0.074955681,3.0937686
0,-145.9674,-0.41909738,3.0428401
0,-146.92397,-2.3934665,2.9201926
0,-146.85246,-2.2762067,2.9254236
0,-146.66533,-0.12255031,3.1788118
0,-146.32684,-1.3432569,2.9730973
0,-146.43316,-0.037363592,3.1574403
0,-149.25792,-1.85121,3.3165654
0,-146.44,-0.039362477,3.158136
0,-148.56821,-1.3277649,3.2881693
0,-146.54367,-0.073863528,3.1681389
0,-146.56965,-0.083593921,3.1705037
0,-146.85214,-0.20997937,3.1935566
0,-146.26877,-0.0032846558,3.1389029
0,-145.9536,-0.28584083,3.0582082
0,-145.97295,-0.14481614,3.0792142
0,-146.12213,-0.90464594,3.0014328
0,-145.95878,-0.20241508,3.0697593
0,-146.25804,-0.002238746,3.1375402
0,-146.01756,-0.62043329,3.0237146
0,-150.25272,-2.6432156,3.352718
0,-146.18403,-0.00073394945,3.1273971
0,-149.26864,-1.8595309,3.3169817
0,-146.59571,-0.093740346,3.1728272
0,-145.97639,-0.4652072,3.038112
0,-146.34649,-0.015663495,3.1481511
0,-148.17246,-1.0406734,3.2701543
0,-145.98676,-0.51020861,3.0337187
0,-146.04416,-0.045290792,3.1020792
0,-145.97874,-0.47597066,3.0370425
0,-146.67801,-0.12804562,3.17987
0,-146.61857,-0.10293604,3.1748265
0,-145.97506,-0.139042,3.0802589
0,-145.9721,-0.14724076,3.0787817
0,-147.8157,-0.79293958,3.2524788
0,-146.10437,-0.86131321,3.0045762
0,-145.95356,-0.26832338,3.0604768
0,-146.6198,-0.10343966,3.1749333
0,-146.12361,-0.0094703201,3.1178242
0,-146.10893,-0.87255921,3.003753
0,-146.00254,-0.56978611,3.0281906
0,-146.20759,-1.0984111,2.9882204
0,-147.05308,-0.31656743,3.2077894
0,-145.96554,-0.40820498,3.0439944
0,-145.95816,-0.20654633,3.0691366
0,-146.57764,-0.086668171,3.1712219
0,-147.91865,-0.8631837,3.2577415
0,-146.07232,-0.028086207,3.1082445
0,-146.49829,-0.057851298,3.1638782
0,-151.53344,-3.7068636,3.3935491
0,-146.26581,-0.0029780445,3.1385293
0,-149.44254,-1.9953052,3.3236487
0,-146.18671,-0.00058547398,3.1277917
0,-145.95632,-0.33646222,3.0520176
0,-146.39349,-0.026550809,3.1533027
0,-146.76563,-0.16786035,3.1869413
0,-146.15223,-0.0039330616,3.122541
0,-146.23876,-0.00083497559,3.1350293
0,-146.75443,-0.16259888,3.1860591
0,-146.098,-0.017116928,3.1132553
0,-145.95377,-0.25874837,3.0617481
0,-145.96396,-0.39835321,3.0450518
0,-146.12504,-0.0091229491,3.1180698
0,-146.0112,-0.076172784,3.0934668
0,-147.64711,-0.68040735,3.2435358
0,-146.31859,-0.010332161,3.1449467
0,-145.95529,-0.32355196,3.0535495
0,-147.10786,-2.6886369,2.9075663
0,-146.00295,-0.08673317,3.0909434
0,-146.5914,-0.092038118,3.1724465
0,-145.95459,-0.24124148,3.0641351
0,-146.40708,-0.030099482,3.1547405
0,-146.45164,-1.5808258,2.9596945
0,-146.13508,-0.93544333,2.9992443
0,-148.58333,-1.338949,3.2888295
0,-146.07045,-0.02904005,3.1078598
0,-152.31789,-4.3760747,3.4162579
0,-146.25729,-0.0021720563,3.1374434
0,-148.06169,-0.96249807,3.2648291
0,-148.65888,-1.3950506,3.2921002
0,-146.7462,-0.15876597,3.1854073
0,-146.77934,-0.17436017,3.1880124
0,-146.12994,-0.92327871,3.0001044
0,-149.40626,-1.9668756,3.3222719
0,-146.06006,-0.74606972,3.0133438
0,-146.66863,-1.9667181,2.9399161
0,-145.96935,-0.15570942,3.0772985
0,-146.03188,-0.055110934,3.0990882
0,-146.38687,-0.024884205,3.1525942
0,-146.34502,-0.015360384,3.1479852
0,-146.19196,-1.0644233,2.9904482
0,-147.01239,-0.29411609,3.2050196
0,-146.06011,-0.034764119,3.1056732
0,-146.28258,-0.0048904237,3.1406232
0,-147.65738,-0.68717248,3.2440934
0,-146.01114,-0.076247321,3.0934484
0,-146.91285,-0.2409964,3.1980113
0,-147.01092,-0.29331433,3.2049188
0,-147.09854,-0.34211024,3.2108237
0,-147.5469,-0.61515621,3.2380081
0,-147.24033,-2.8965452,2.8990848
0,-146.00101,-0.56434856,3.0286827
0,-148.60237,-1.3530549,3.2896582
0,-146.70568,-0.14028102,3.1821474
0,-147.13922,-0.36535665,3.2134882
0,-145.97694,-0.13423113,3.0811461
0,-146.00351,-0.085961281,3.0911225
0,-146.28446,-0.0051313103,3.1408552
0,-146.64123,-0.11231033,3.1767746
0,-146.68984,-0.13323627,3.1808489
0,-148.61181,-1.3600531,3.2900678
0,-146.19153,-0.00036269581,3.128494
0,-145.95452,-0.24232354,3.0639851
0,-145.99845,-0.093177144,3.0894788
0,-146.7781,-0.17376916,3.1879158
0,-145.95469,-0.23965884,3.064355
0,-146.04159,-0.04721143,3.1014704
0,-146.35301,-1.3943466,2.9701208
0,-146.2742,-1.2378819,2.9794209
0,-147.02438,-0.30068803,3.205841
0,-147.27149,-0.44327576,3.2218503
0,-146.28198,-0.0048143356,3.1405488
0,-146.8374,-2.2513183,2.9265511
0,-146.43679,-0.038421463,3.1578107
0,-145.98349,-0.1194059,3.0839848
0,-147.8724,-0.83148621,3.2553943
0,-145.98746,-0.51306936,3.0334461
0,-146.01538,-0.071354638,3.0946761
0,-145.97587,-0.46275623,3.0383572
0,-146.16786,-0.0020134566,3.1249733
0,-146.07656,-0.02600557,3.109107
0,-146.55732,-1.772205,2.949616
0,-146.83038,-2.2396884,2.9270801
0,-146.39049,-0.02579085,3.1529825
0,-146.96158,-0.26666598,3.2014852
0,-145.98472,-0.50181427,3.034523
0,-146.44472,-0.040766547,3.1586141
0,-147.9924,-0.91415244,3.2614271
0,-146.30835,-1.3066615,2.9752644
0,-145.98113,-0.48657399,3.0360007
0,-146.11991,-0.89929197,3.0018171
0,-145.96123,-0.37980101,3.0470792
0,-148.50497,-1.2811416,3.2853868
0,-146.0184,-0.068073721,3.0955232
0,-145.9944,-0.54009693,3.0309073
0,-146.34802,-0.01598308,3.1483243
0,-146.43682,-0.038430053,3.1578137
0,-146.5468,-0.075014248,3.1684264
0,-146.48259,-1.6376643,2.9566404
0,-145.96886,-0.42725901,3.0419849
0,-146.78528,-2.1645626,2.9305308
0,-146.08249,-0.023287117,3.1102877
0,-150.05259,-2.4810525,3.3458119
0,-147.33741,-0.48331516,3.2258607
0,-146.8284,-0.19816855,3.1917743
0,-145.99338,-0.10114073,3.087737
0,-146.06332,-0.75497859,3.0126429
0,-150.18873,-2.5912254,3.3505275
0,-145.9574,-0.34782593,3.0506934
0,-147.1566,-2.7655595,2.9043913
0,-146.95453,-0.26291301,3.2009881
0,-148.73636,-1.4529504,3.2954075
0,-146.39171,-0.026099447,3.153113
0,-146.57678,-0.086335435,3.1711448
0,-147.0082,-0.29182648,3.2047313
0,-146.86967,-0.21882104,3.1948581
0,-149.37038,-1.938812,3.3209031
0,-146.6135,-0.10087627,3.1743867
0,-145.95447,-0.31048145,3.0551318
0,-146.02204,-0.064309784,3.0965204
0,-146.95655,-0.26398799,3.2011308
0,-146.48296,-0.052750337,3.1623993
0,-145.95611,-0.3340614,3.0523002
0,-146.31499,-0.0097125949,3.1445248
0,-147.51552,-0.59500138,3.236242
0,-145.97487,-0.13953934,3.0801681
0,-146.1017,-0.015828674,3.1139396
0,-146.19021,-0.00041858295,3.1283012
0,-146.78389,-0.17653295,3.1883659
0,-146.69555,-0.13576246,3.1813184
0,-146.05034,-0.7190123,3.0154986
0,-145.98028,-0.48282622,3.0363677
0,-146.11884,-0.010680357,3.1170021
0,-146.60546,-0.09762953,3.1736842
0,-147.14628,-0.36942866,3.2139461
0,-146.56838,-0.083111342,3.1703898
0,-147.4565,-0.5574614,3.2328709
0,-145.99251,-0.10258742,3.0874281
0,-146.9337,-0.25189985,3.1995084
0,-145.95564,-0.22779501,3.0660278
0,-147.08126,-0.33234485,3.2096775
0,-146.04513,-0.70417042,3.0166979
0,-146.76488,-0.16750597,3.1868823
0,-146.34914,-1.3868548,2.9705538
0,-147.66797,-0.6941502,3.2446657
0,-146.56608,-0.08223388,3.1701818
0,-146.40498,-0.029539565,3.1545195
0,-146.21591,-1.1162843,2.9870627
0,-146.08979,-0.82463581,3.0072992
0,-146.31667,-0.0099994411,3.1447218
0,-146.25303,-0.0018137725,3.1368958
0,-147.59377,-0.64551883,3.240615
0,-146.67498,-0.12672793,3.1796184
0,-145.9553,-0.3238002,3.0535197
0,-146.03174,-0.66468755,3.0199511
0,-148.22445,-1.0777212,3.272608
0,-147.04328,-0.31112192,3.2071269
0,-146.51048,-1.6882851,2.9539648
0,-146.7737,-0.17167668,3.1875727
0,-146.57858,-0.087031256,3.1713059
0,-147.24644,-0.4282573,3.2202995
0,-145.96982,-0.15420117,3.0775596
0,-145.98042,-0.12602623,3.0826965
0,-147.49782,-0.58368963,3.2352377
0,-146.55947,-0.079735439,3.1695834
0,-146.45034,-0.042457669,3.1591792
0,-146.29664,-0.0068079232,3.1423379
0,-146.53434,-0.07046471,3.1672765
0,-146.20715,-1.0974485,2.988283
0,-146.49523,-0.056820553,3.1635848
0,-147.99907,-4.0354011,2.8572474
0,-147.47668,-0.57023833,3.2340307
0,-147.13778,-0.36452973,3.2133949
0,-146.05886,-0.74277617,3.013604
0,-147.71819,-0.72745581,3.2473585
0,-148.19515,-1.0568177,3.2712289
0,-146.05882,-0.035540587,3.105391
0,-148.02326,-0.93562803,3.2629491
0,-146.01592,-0.070753158,3.0948299
0,-147.17868,-0.38824345,3.2160298
0,-146.44497,-0.040841113,3.1586393
0,-149.39287,-1.9563924,3.3217618
0,-146.02951,-0.057207543,3.0984852
0,-147.13238,-0.36142123,3.2130432
0,-150.28662,-2.6708019,3.3538715
0,-146.02429,-0.6418038,3.021881
0,-146.21172,-3.9285836e-06,3.1313604
0,-146.90057,-0.23463377,3.197122
0,-145.97547,-0.13797203,3.0804549
0,-147.76126,-0.7562444,3.2496368
