# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 300000
#     grad_samples = 100
#     elbo_samples = 1
#     eta = 10
#     adapt
#       engaged = false
#       iter = 50 (Default)
#     tol_rel_obj = 1e-16
#     eval_elbo = 10000
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/stan_data.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/fixed_eta_grad_elbo_grid/grad_samples_100/elbo_samples_1/eta_10p0/output.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/fixed_eta_grad_elbo_grid/grad_samples_100/elbo_samples_1/eta_10p0/diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# iter,time_in_seconds,ELBO
10000,0.212,-146.87395
20000,0.426,-146.89509
30000,0.652,-146.84784
40000,0.87,-148.01124
50000,1.09,-147.23552
60000,1.305,-146.97401
70000,1.521,-147.52493
80000,1.737,-146.91836
90000,1.951,-146.87925
100000,2.165,-149.39161
110000,2.377,-147.35534
120000,2.593,-147.11551
130000,2.81,-146.82197
140000,3.026,-147.37353
150000,3.241,-147.44586
160000,3.455,-146.89778
170000,3.671,-146.84607
180000,3.887,-148.64816
190000,4.107,-146.86897
200000,4.322,-147.36903
210000,4.546,-147.01587
220000,4.776,-148.42185
230000,4.992,-147.65907
240000,5.209,-146.84995
250000,5.426,-146.91501
260000,5.645,-147.50574
270000,5.862,-146.83847
280000,6.079,-147.92951
290000,6.292,-146.91848
300000,6.506,-147.08312
