# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# start_datetime = 2026-06-02 01:20:10 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 300000
#     grad_samples = 100
#     elbo_samples = 1
#     eta = 1 (Default)
#     adapt
#       engaged = false
#       iter = 50 (Default)
#     tol_rel_obj = 1e-16
#     eval_elbo = 10000
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/stan_data.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/fixed_eta_grad_elbo_grid/grad_samples_100/elbo_samples_1/eta_1p0/output.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/fixed_eta_grad_elbo_grid/grad_samples_100/elbo_samples_1/eta_1p0/diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=1dgaussian.stan
lp__,log_p__,log_g__,mu
0,0,0,3.0633499
0,-146.02588,-0.088034075,3.0214597
0,-146.60619,-0.6114387,3.1737486
0,-146.03378,-0.065799406,3.0995658
0,-146.08421,-0.11212892,3.1106265
0,-145.95395,-0.0023076312,3.0565677
0,-148.90021,-2.8633135,3.3022532
0,-146.91128,-1.0150589,2.9211062
0,-146.36026,-0.37398754,3.1496907
0,-145.97762,-0.016451131,3.0814586
0,-146.1315,-0.20234224,2.9998416
0,-147.17539,-1.1662461,3.2158193
0,-146.49132,-0.50026264,3.1632088
0,-147.94141,-1.918131,3.2588859
0,-147.95524,-1.9317403,3.2595784
0,-145.98316,-0.039881382,3.0351549
0,-146.16619,-0.18892958,3.1247173
0,-146.17476,-0.19702848,3.1260188
0,-146.63557,-0.63993212,3.1762917
0,-145.9677,-0.0084727306,3.0763456
0,-146.16331,-0.18621748,3.1242752
0,-146.03064,-0.093275573,3.0202307
0,-146.24824,-0.26678933,3.1362742
0,-146.30708,-0.38792634,2.9754148
0,-146.08734,-0.1549796,3.0077691
0,-145.97813,-0.01687249,3.081689
0,-145.96367,-0.0054313843,3.073755
0,-146.51213,-0.60198547,2.953808
0,-146.06501,-0.13082963,3.0122829
0,-145.95384,-0.0020615144,3.0569396
0,-145.96731,-0.0081662228,3.0761084
0,-146.31789,-0.39925868,2.9741397
0,-146.92195,-1.0260614,2.9203374
0,-146.55602,-0.56282793,3.1692693
0,-145.98939,-0.026392907,3.0862866
0,-146.01436,-0.048317527,3.0943841
0,-146.03314,-0.0960368,3.0195971
0,-145.99947,-0.058553682,3.0291863
0,-146.24252,-0.26133636,3.135525
0,-147.10279,-1.212289,2.9079
0,-146.07762,-0.10601923,3.1093205
0,-146.00617,-0.041038275,3.091951
0,-147.58962,-1.5723373,3.2403855
0,-146.20659,-0.2271784,3.1306431
0,-145.96663,-0.020156368,3.0433055
0,-145.96089,-0.0034543736,3.0716479
0,-145.95463,-3.825322e-05,3.0642231
0,-146.21917,-0.29539795,2.9866153
0,-146.09889,-0.12577053,3.1134199
0,-145.95532,-0.0048646339,3.0535027
0,-146.06477,-0.13057027,3.0123335
0,-146.07067,-0.099590814,3.107905
0,-146.09586,-0.1641503,3.0061483
0,-146.21735,-0.29347927,2.9868649
0,-146.07434,-0.10298498,3.1086579
0,-146.02837,-0.060901488,3.0981918
0,-146.89096,-0.99410516,2.922582
0,-145.98368,-0.040484679,3.0349424
0,-147.87172,-1.8495726,3.2553597
