# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# start_datetime = 2026-06-02 01:20:51 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 300000
#     grad_samples = 100
#     elbo_samples = 100 (Default)
#     eta = 0.1
#     adapt
#       engaged = false
#       iter = 50 (Default)
#     tol_rel_obj = 1e-16
#     eval_elbo = 10000
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/stan_data.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/fixed_eta_grad_elbo_grid/grad_samples_100/elbo_samples_100/eta_0p1/output.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/fixed_eta_grad_elbo_grid/grad_samples_100/elbo_samples_100/eta_0p1/diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=1dgaussian.stan
lp__,log_p__,log_g__,mu
0,0,0,3.061327
0,-146.00395,-0.044958517,3.0912601
0,-146.64447,-0.71502772,2.9419537
0,-146.13342,-0.16971095,3.1194838
0,-146.0473,-0.08634727,3.10281
0,-146.54737,-0.57611219,3.1684787
0,-147.10936,-1.1878449,2.907467
0,-145.96803,-0.011609261,3.0765376
0,-147.0652,-1.0883816,3.2086045
0,-146.41158,-0.44228659,3.1552123
0,-146.29376,-0.3264794,3.1419898
0,-146.15489,-0.19061324,3.1229612
0,-146.24961,-0.31137869,2.9825516
0,-146.47768,-0.50738598,3.1618846
0,-146.15232,-0.21120152,2.9964494
0,-146.32234,-0.38599048,2.97362
0,-147.37656,-1.4590102,2.8908071
0,-146.83916,-0.86449437,3.1925853
0,-146.45971,-0.48968438,3.1601149
0,-146.91712,-0.94166729,3.1983188
0,-146.48666,-0.51623742,3.1627579
0,-146.21636,-0.27719325,2.9870016
0,-146.1437,-0.20230442,2.9978307
0,-146.11455,-0.15136401,3.1162503
0,-148.67688,-2.690182,3.2928726
0,-146.45977,-0.48973886,3.1601204
0,-146.21425,-0.24857339,3.1317108
0,-146.36393,-0.42859221,2.9689065
0,-145.98403,-0.026260819,3.084204
0,-146.71838,-0.74501968,3.1831781
0,-146.42435,-0.45485576,3.156537
0,-145.95562,-0.0010901025,3.065988
0,-148.30841,-2.3234358,3.2765115
0,-146.0961,-0.13346819,3.1129014
0,-145.95821,-0.0031059508,3.0691946
0,-145.99724,-0.038628296,3.0890729
0,-148.03341,-2.1245802,2.8555568
0,-146.02946,-0.06923653,3.0984731
0,-146.33172,-0.36374648,3.1464692
0,-146.03902,-0.078398361,3.1008545
0,-146.48402,-0.51363296,3.1625017
0,-146.03697,-0.076423814,3.1003535
0,-146.47068,-0.50048916,3.1611988
0,-146.08092,-0.13725312,3.0090263
0,-146.02809,-0.082074631,3.0208833
0,-145.95798,-0.0029169125,3.0689514
0,-146.0283,-0.068128334,3.0981746
0,-146.3565,-0.38810267,3.1492736
0,-145.95501,-0.0026641988,3.0540403
0,-146.12476,-0.1827178,3.0009827
0,-146.11062,-0.14754711,3.1155534
0,-146.09282,-0.13028199,3.1122821
0,-146.02152,-0.075155375,3.0226256
0,-147.16395,-1.2432638,2.9039187
0,-146.11647,-0.17413848,3.0024164
0,-146.44943,-0.47955147,3.1590875
0,-147.08698,-1.1651115,2.9089464
0,-146.14428,-0.20290439,2.9977366
0,-145.96733,-0.010988674,3.0761255
0,-146.46031,-0.52714471,2.9588301
0,-146.13726,-0.19565081,2.9988836
0,-145.95944,-0.0041196398,3.070388
0,-145.97277,-0.015898208,3.079127
0,-146.29061,-0.35345966,2.9773973
0,-145.99976,-0.05214039,3.0290916
0,-146.54042,-0.56925159,3.1678388
0,-146.31083,-0.37419095,2.974971
0,-147.59766,-1.6167769,3.2408296
0,-145.9547,-0.00046155618,3.0643599
0,-146.15136,-0.18717485,3.1224028
0,-147.07212,-1.150025,2.9099362
0,-146.12646,-0.18447329,3.0006935
0,-146.17175,-0.23125421,2.9934393
0,-145.95588,-0.0037967914,3.0526283
0,-147.15729,-1.2365024,2.9043473
0,-146.18035,-0.24011361,2.9921512
0,-146.21678,-0.27762535,2.9869437
0,-146.00475,-0.057443126,3.0274921
0,-146.32368,-0.38736481,2.973464
0,-146.27829,-0.34081815,2.9789118
0,-145.95564,-0.0034933601,3.0529831
0,-146.60312,-0.67288162,2.9455252
0,-145.95974,-0.008460583,3.0483418
0,-146.57454,-0.64374349,2.9480603
0,-146.1956,-0.23034139,3.1290805
0,-147.80445,-1.8927158,2.8671094
0,-148.96226,-3.0642043,2.8142088
0,-146.24683,-0.28046394,3.1360896
0,-145.98566,-0.037063687,3.0341488
0,-145.98725,-0.029263208,3.0854764
0,-146.8967,-0.97175974,2.9221635
0,-146.0182,-0.071658902,3.0235366
0,-146.22282,-0.25695977,3.1328883
0,-145.99479,-0.036319866,3.088231
0,-145.95367,-0.00063849617,3.0577598
0,-145.98359,-0.0258575,3.0840277
0,-145.98367,-0.034924302,3.0349448
0,-146.6292,-0.6994749,2.9432591
0,-145.97905,-0.021648155,3.0820979
0,-145.97653,-0.019331087,3.0809549
0,-146.75613,-0.82875268,2.9328107
0,-146.54787,-0.57660016,3.1685241
0,-145.9546,-0.00040335936,3.0641622
0,-146.18122,-0.21629953,3.1269828
0,-146.05277,-0.091606391,3.1040546
0,-147.11263,-1.1911589,2.9072525
0,-146.47465,-0.54179264,2.9574158
0,-145.99439,-0.035947503,3.0880928
0,-146.08932,-0.14598247,3.0073888
0,-146.00789,-0.060766901,3.026527
0,-146.17348,-0.20874729,3.1258264
0,-146.34115,-0.37301436,3.1475471
0,-146.82581,-0.85128501,3.1915786
0,-146.73354,-0.80575838,2.9346061
0,-146.55409,-0.62288008,2.9499108
0,-146.85866,-0.93307169,2.9249618
0,-146.67878,-0.74998875,2.9390701
0,-146.60738,-0.67722757,2.9451519
0,-149.74568,-3.7549741,3.3348849
0,-147.00855,-1.0322416,3.2047558
0,-145.96984,-0.013240469,3.0775711
0,-146.34927,-0.41357477,2.9705401
0,-146.52313,-0.55219946,3.1662314
0,-146.78003,-0.85307579,2.9309384
0,-146.66338,-0.73430386,2.9403553
0,-146.04572,-0.084827456,3.1024433
0,-146.23376,-0.29508799,2.98464
0,-145.99115,-0.032906845,3.0869357
0,-146.09671,-0.15365479,3.0059896
0,-145.95376,-0.00081770792,3.0572901
0,-145.96276,-0.0069504271,3.0730963
0,-146.72018,-0.74679825,3.1833235
0,-146.75701,-0.78321728,3.1862628
0,-147.25393,-1.2755326,3.2207649
0,-148.32145,-2.4161227,2.8418923
0,-146.06538,-0.10375708,3.1068001
0,-146.01167,-0.052276194,3.0936043
0,-146.24241,-0.27614248,3.1355113
0,-145.97441,-0.024876396,3.0390611
0,-146.12493,-0.182895,3.0009534
0,-145.98604,-0.03747216,3.0339995
0,-146.47886,-0.54609362,2.9570041
0,-146.03173,-0.071407591,3.099051
0,-146.41687,-0.48274744,2.9632412
0,-146.37434,-0.43924133,2.9677654
0,-146.08231,-0.1201101,3.1102525
0,-145.971,-0.01429055,3.078203
0,-147.4433,-1.5266981,2.8868965
0,-147.10043,-1.1233028,3.2109485
0,-148.51483,-2.6117612,2.8331811
0,-145.95542,-0.0032133779,3.0533244
0,-146.01084,-0.051491191,3.093361
0,-145.97401,-0.024440453,3.0392571
0,-146.5557,-0.62452665,2.9497637
0,-146.4226,-0.48860995,2.9626475
0,-146.20082,-0.26119881,2.9891778
0,-148.05774,-2.1492196,2.8543671
0,-146.55429,-0.58293754,3.1691116
0,-146.27583,-0.33829818,2.979217
0,-145.98952,-0.041206997,3.0326699
0,-146.08903,-0.12661187,3.1115593
0,-146.63191,-0.70222844,2.9430269
0,-146.56619,-0.63522387,2.9488123
0,-146.04427,-0.099033942,3.0169009
0,-146.85336,-0.92768269,2.9253562
0,-146.16082,-0.19639098,3.1238884
0,-146.20549,-0.26600919,2.9885164
0,-146.09388,-0.15071841,3.0065209
0,-146.83678,-0.91081326,2.9265982
0,-145.96388,-0.01320508,3.0451045
0,-145.96986,-0.013260845,3.0775836
0,-146.02663,-0.066534409,3.097741
0,-146.15947,-0.19507956,3.1236792
0,-146.03696,-0.091381454,3.0186518
0,-145.96746,-0.017215132,3.0428044
0,-146.01173,-0.064836036,3.0253807
0,-145.96814,-0.011710873,3.0766041
0,-146.01607,-0.069412176,3.0241338
0,-145.98815,-0.030103125,3.0858205
0,-146.21885,-0.25307458,3.1323452
0,-146.1613,-0.1968673,3.1239642
0,-146.7885,-0.81436226,3.1887226
0,-145.95352,-0.00018356844,3.0594143
0,-146.13404,-0.17031081,3.1195865
0,-145.9752,-0.02573882,3.0386784
0,-146.02842,-0.082423164,3.0207975
0,-146.18327,-0.21829654,3.1272852
0,-146.13206,-0.19026974,2.9997482
0,-145.98561,-0.027732288,3.0848362
0,-146.3984,-0.42931263,3.153825
0,-146.8199,-0.89364623,2.9278739
0,-146.07089,-0.10907041,3.1079499
0,-145.9572,-0.0022899714,3.0680825
0,-146.38929,-0.45454014,2.96615
0,-146.07681,-0.11479044,3.1091568
0,-145.98579,-0.027901441,3.0849078
0,-146.12046,-0.15710367,3.117282
0,-147.10561,-1.1840344,2.907714
0,-146.29424,-0.3269518,3.1420482
0,-146.53737,-0.56624118,3.1675568
0,-147.78924,-1.87731,2.8679014
0,-146.03182,-0.071498424,3.099075
0,-146.12326,-0.18116997,3.0012388
0,-145.95925,-0.0039621581,3.0702131
0,-145.97277,-0.023086151,3.0398773
0,-146.36764,-0.43238924,2.9684981
0,-145.95462,-0.0021328145,3.0548073
0,-146.44432,-0.47452386,3.1585737
0,-147.72248,-1.8096734,2.8714178
0,-145.98089,-0.031920021,3.0361051
0,-146.37096,-0.40231942,3.1508699
0,-145.95974,-0.0043726989,3.0706621
0,-145.95429,-0.00022157868,3.0634284
0,-146.03608,-0.075578279,3.100137
0,-146.19175,-0.22658644,3.128526
0,-146.04228,-0.096953494,3.01737
0,-147.02694,-1.0504612,3.2060161
0,-147.34792,-1.42996,2.8925132
0,-146.22372,-0.28476586,2.9859932
0,-146.06185,-0.11739688,3.0129572
0,-147.15357,-1.1759852,3.2144169
0,-146.32402,-0.38771108,2.9734247
0,-145.96952,-0.019501889,3.0416125
0,-146.42966,-0.46008216,3.1570824
0,-146.10801,-0.14501829,3.1150867
0,-146.91516,-0.99052331,2.9208264
0,-145.96268,-0.0068826836,3.0730388
0,-146.00176,-0.054262145,3.0284422
0,-146.42974,-0.49590929,2.9619131
0,-145.96486,-0.014306816,3.0444413
0,-145.98565,-0.037050838,3.0341535
0,-146.45803,-0.52481985,2.9590563
0,-147.75987,-1.7779444,3.2495639
0,-145.95991,-0.0045134675,3.0708112
0,-146.30326,-0.33580627,3.1431339
