# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# start_datetime = 2026-06-02 01:19:22 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 300000
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 0.01
#     adapt
#       engaged = false
#       iter = 50 (Default)
#     tol_rel_obj = 1e-16
#     eval_elbo = 10000
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/stan_data.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/fixed_eta_grid/grad_samples_1/eta_0p01/output.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/fixed_eta_grid/grad_samples_1/eta_0p01/diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=1dgaussian.stan
lp__,log_p__,log_g__,mu
0,0,0,3.0600383
0,-146.39227,-0.39857572,3.153173
0,-146.8049,-0.78879419,2.9290182
0,-147.36615,-1.3063877,2.8914249
0,-145.99504,-0.039594156,3.030684
0,-146.50124,-0.50848535,2.9548433
0,-145.97982,-0.023057504,3.0824391
0,-146.02133,-0.064142948,3.0226763
0,-146.48583,-0.49424878,2.9563264
0,-146.56358,-0.55516809,3.1699562
0,-145.9975,-0.041890481,3.0298448
0,-146.07822,-0.1170665,3.0095638
0,-146.33047,-0.34212258,3.1463257
0,-146.08552,-0.1187827,3.1108815
0,-146.66133,-0.65629599,2.9405279
0,-146.22746,-0.25539587,2.9854857
0,-146.87512,-0.84019585,3.19526
0,-146.20975,-0.23194142,3.1310853
0,-146.46074,-0.46114318,3.1602167
0,-145.95425,-0.00050316137,3.0633474
0,-146.10995,-0.14100716,3.1154341
0,-146.01881,-0.06179214,3.0233673
0,-148.04013,-1.9274945,2.8552276
0,-145.99896,-0.043259854,3.0293553
0,-147.87903,-1.7790662,2.8632714
0,-146.53983,-0.53345205,3.167785
0,-146.17133,-0.20341912,2.9935031
0,-149.47157,-3.2197279,3.3247455
0,-146.19909,-0.22222177,3.1295807
0,-146.86064,-0.82694606,3.1941896
0,-146.67002,-0.66432155,2.9397994
0,-145.96094,-0.007435513,3.0473176
0,-146.7073,-0.68662293,3.1822789
0,-146.40983,-0.4146187,3.1550289
0,-145.99745,-0.038925129,3.0891436
