# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# start_datetime = 2026-06-02 01:19:49 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 300000
#     grad_samples = 100
#     elbo_samples = 100 (Default)
#     eta = 0.01
#     adapt
#       engaged = false
#       iter = 50 (Default)
#     tol_rel_obj = 1e-16
#     eval_elbo = 10000
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/stan_data.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/fixed_eta_grid/grad_samples_100/eta_0p01/output.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/fixed_eta_grid/grad_samples_100/eta_0p01/diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=1dgaussian.stan
lp__,log_p__,log_g__,mu
0,0,0,3.0599835
0,-145.99989,-0.044958517,3.0899561
0,-146.66222,-0.71502772,2.9404528
0,-146.12591,-0.16971095,3.1182171
0,-146.0418,-0.08634727,3.1015212
0,-146.53434,-0.57611219,3.1672766
0,-147.133,-1.1878449,2.9059207
0,-145.96586,-0.011609261,3.0752143
0,-147.04813,-1.0883816,3.2074552
0,-146.39998,-0.44228659,3.1539927
0,-146.28363,-0.3264794,3.1407528
0,-146.14696,-0.19061324,3.1216991
0,-146.26086,-0.31137869,2.9811043
0,-146.46535,-0.50738598,3.1606738
0,-146.16143,-0.21120152,2.9950205
0,-146.33498,-0.38599048,2.9721609
0,-147.40314,-1.4590102,2.8892388
0,-146.82365,-0.86449437,3.191415
0,-146.44758,-0.48968438,3.1589017
0,-146.90104,-0.94166729,3.197156
0,-146.47424,-0.51623742,3.1615483
0,-146.22691,-0.27719325,2.9855602
0,-146.15261,-0.20230442,2.9964035
0,-146.10742,-0.15136401,3.1149793
0,-148.6527,-2.690182,3.2918345
0,-146.44763,-0.48973886,3.1589073
0,-146.20529,-0.24857339,3.1304602
0,-146.37732,-0.42859221,2.9674413
0,-145.98087,-0.026260819,3.0828908
0,-146.70382,-0.74501968,3.1819954
0,-146.41261,-0.45485576,3.1553191
0,-145.95484,-0.0010901025,3.0646507
0,-148.28546,-2.3234358,3.2754519
0,-146.08937,-0.13346819,3.111626
0,-145.95701,-0.0031059508,3.0678615
0,-145.99346,-0.038628296,3.087766
0,-148.06647,-2.1245802,2.8539421
0,-146.0245,-0.06923653,3.0971786
0,-146.32109,-0.36374648,3.1452381
0,-146.03377,-0.078398361,3.0995632
0,-146.47162,-0.51363296,3.1612917
0,-146.03177,-0.076423814,3.0990616
0,-146.45843,-0.50048916,3.1599871
0,-146.08815,-0.13725312,3.0076139
0,-146.03359,-0.082074631,3.0194866
0,-145.95681,-0.0029169125,3.067618
0,-146.02338,-0.068128334,3.0968798
0,-146.34556,-0.38810267,3.1480461
0,-145.95584,-0.0026641988,3.0526873
0,-146.13319,-0.1827178,2.9995597
0,-146.10357,-0.14754711,3.1142815
0,-146.08616,-0.13028199,3.1110059
0,-146.02676,-0.075155375,3.0212312
0,-147.1882,-1.2432638,2.9023677
0,-146.12468,-0.17413848,3.0009953
0,-146.43741,-0.47955147,3.157873
0,-147.11035,-1.1651115,2.9074021
0,-146.1532,-0.20290439,2.9963093
0,-145.96522,-0.010988674,3.0748016
0,-146.4753,-0.52714471,2.9573515
0,-146.14601,-0.19565081,2.9974578
0,-145.95808,-0.0041196398,3.0690565
0,-145.97027,-0.015898208,3.077807
0,-146.30265,-0.35345966,2.9759432
0,-146.00407,-0.05214039,3.0277056
0,-146.52746,-0.56925159,3.1666358
0,-146.32325,-0.37419095,2.9735137
0,-147.57765,-1.6167769,3.2397229
0,-145.95413,-0.00046155618,3.0630204
0,-146.1435,-0.18717485,3.1211399
0,-147.09533,-1.150025,2.9083931
0,-146.13493,-0.18447329,2.9992701
0,-146.18132,-0.23125421,2.9920064
0,-145.9569,-0.0037967914,3.0512734
0,-147.18146,-1.2365024,2.9027969
0,-146.19011,-0.24011361,2.9907165
