# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# start_datetime = 2026-06-02 01:19:35 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 300000
#     grad_samples = 100
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = false
#       iter = 50 (Default)
#     tol_rel_obj = 1e-16
#     eval_elbo = 10000
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/stan_data.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/fixed_eta_grid/grad_samples_100/eta_1p0/output.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/fixed_eta_grid/grad_samples_100/eta_1p0/diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=1dgaussian.stan
lp__,log_p__,log_g__,mu
0,0,0,3.0626624
0,-146.00811,-0.044958517,3.092545
0,-146.62652,-0.71502772,2.9434906
0,-146.14092,-0.16971095,3.1207211
0,-146.05286,-0.08634727,3.1040754
0,-146.56002,-0.57611219,3.1696333
0,-147.08524,-1.1878449,2.9090622
0,-145.97034,-0.011609261,3.0778474
0,-147.08147,-1.0883816,3.2096913
0,-146.42292,-0.44228659,3.1563892
0,-146.30373,-0.3264794,3.1431891
0,-146.16278,-0.19061324,3.1241926
0,-146.23842,-0.31137869,2.9840201
0,-146.48968,-0.50738598,3.1630503
0,-146.14331,-0.21120152,2.9978944
0,-146.30971,-0.38599048,2.9751035
0,-147.3493,-1.4590102,2.8924304
0,-146.85405,-0.86449437,3.1936992
0,-146.47154,-0.48968438,3.1612836
0,-146.93251,-0.94166729,3.1994229
0,-146.49875,-0.51623742,3.1639221
0,-146.20587,-0.27719325,2.9884625
0,-146.13491,-0.20230442,2.9992733
0,-146.12168,-0.15136401,3.1174931
0,-148.69897,-2.690182,3.2938172
0,-146.4716,-0.48973886,3.1612891
0,-146.22311,-0.24857339,3.1329275
0,-146.35053,-0.42859221,2.970398
0,-145.98732,-0.026260819,3.0855008
0,-146.73242,-0.74501968,3.1843079
0,-146.43582,-0.45485576,3.1577117
0,-145.95657,-0.0010901025,3.0673155
0,-148.32955,-2.3234358,3.2774837
0,-146.10285,-0.13346819,3.1141498
0,-145.95958,-0.0031059508,3.0705167
0,-146.00114,-0.038628296,3.0903615
0,-147.99922,-2.1245802,2.8572396
0,-146.0345,-0.06923653,3.0997458
0,-146.34215,-0.36374648,3.1476609
0,-146.04435,-0.078398361,3.1021232
0,-146.49608,-0.51363296,3.1636664
0,-146.04223,-0.076423814,3.1016231
0,-146.48261,-0.50048916,3.1623657
0,-146.07383,-0.13725312,3.0104501
0,-146.02277,-0.082074631,3.022287
0,-145.95932,-0.0029169125,3.070274
0,-146.03331,-0.068128334,3.0994478
0,-146.36723,-0.38810267,3.1504606
0,-145.95436,-0.0026641988,3.055388
0,-146.11645,-0.1827178,3.00242
0,-146.11767,-0.14754711,3.1167973
0,-146.09949,-0.13028199,3.1135315
0,-146.01645,-0.075155375,3.0240264
0,-147.13916,-1.2432638,2.9055199
0,-146.10838,-0.17413848,3.0038513
0,-146.46115,-0.47955147,3.1602579
0,-147.06312,-1.1651115,2.9105391
0,-146.13548,-0.20290439,2.9991794
0,-145.9696,-0.010988674,3.077436
0,-146.44523,-0.52714471,2.9603385
0,-146.12863,-0.19565081,3.0003244
0,-145.96097,-0.0041196398,3.0717081
0,-145.97542,-0.015898208,3.0804324
0,-146.27859,-0.35345966,2.9788744
0,-145.99563,-0.05214039,3.0304814
0,-146.553,-0.56925159,3.1689945
0,-146.29841,-0.37419095,2.9764522
0,-147.61644,-1.6167769,3.241862
0,-145.95543,-0.00046155618,3.0656902
0,-146.15919,-0.18717485,3.1236352
0,-147.04845,-1.150025,2.9115272
0,-146.1181,-0.18447329,3.0021313
0,-146.16228,-0.23125421,2.9948894
0,-145.95504,-0.0037967914,3.0539784
0,-147.13258,-1.2365024,2.9059478
0,-146.17067,-0.24011361,2.9936034
0,-146.20628,-0.27762535,2.9884047
0,-146.00039,-0.057443126,3.0288846
0,-146.31102,-0.38736481,2.9749478
0,-146.26651,-0.34081815,2.9803864
0,-145.95485,-0.0034933601,3.0543326
0,-146.58578,-0.67288162,2.9470561
0,-145.95832,-0.008460583,3.0496992
0,-146.55764,-0.64374349,2.9495869
0,-146.20417,-0.23034139,3.1303015
0,-147.77258,-1.8927158,2.8687727
0,-148.91941,-3.0642043,2.8159614
0,-146.25616,-0.28046394,3.1372988
0,-145.98225,-0.037063687,3.0355301
0,-145.9907,-0.029263208,3.0867711
0,-146.87526,-0.97175974,2.9237339
0,-146.01326,-0.071658902,3.0249359
0,-146.23181,-0.25695977,3.1341029
0,-145.99858,-0.036319866,3.0895211
0,-145.95352,-0.00063849617,3.0591012
0,-145.98686,-0.0258575,3.0853248
0,-145.98038,-0.034924302,3.0363248
0,-146.61148,-0.6994749,2.9447938
0,-145.98207,-0.021648155,3.0833983
0,-145.97941,-0.019331087,3.0822572
0,-146.73658,-0.82875268,2.934363
0,-146.56052,-0.57660016,3.1696786
0,-145.95531,-0.00040335936,3.0654929
0,-146.18956,-0.21629953,3.1282075
0,-146.05848,-0.091606391,3.1053179
0,-147.08846,-1.1911589,2.908848
0,-146.45934,-0.54179264,2.9589266
0,-145.99816,-0.035947503,3.089383
0,-146.08199,-0.14598247,3.0088153
0,-146.00339,-0.060766901,3.0279211
0,-146.18169,-0.20874729,3.127053
0,-146.3517,-0.37301436,3.148737
0,-146.84061,-0.85128501,3.1926942
0,-146.71431,-0.80575838,2.9361554
0,-146.53751,-0.62288008,2.9514344
0,-146.83772,-0.93307169,2.9265275
0,-146.66033,-0.74998875,2.9406119
0,-146.58998,-0.67722757,2.9466834
0,-149.76978,-3.7549741,3.3357585
0,-147.0245,-1.0322416,3.2058491
0,-145.97229,-0.013240469,3.0788792
0,-146.33613,-0.41357477,2.9720288
0,-146.53556,-0.55219946,3.1673897
0,-146.76015,-0.85307579,2.9324939
0,-146.64516,-0.73430386,2.9418949
0,-146.05124,-0.084827456,3.1037093
0,-146.2229,-0.29508799,2.9861049
0,-145.99478,-0.032906845,3.088228
0,-146.08916,-0.15365479,3.0074184
0,-145.95355,-0.00081770792,3.0586323
0,-145.96463,-0.0069504271,3.0744119
0,-146.73423,-0.74679825,3.184453
0,-146.77133,-0.78321728,3.1873873
0,-147.27118,-1.2755326,3.2218312
0,-148.28447,-2.4161227,2.8435981
0,-146.07141,-0.10375708,3.1080588
0,-146.01612,-0.052276194,3.0948853
0,-146.25169,-0.27614248,3.1367215
0,-145.9717,-0.024876396,3.0404341
0,-146.11662,-0.182895,3.0023908
0,-145.98261,-0.03747216,3.035381
0,-146.46348,-0.54609362,2.9585157
0,-146.03684,-0.071407591,3.1003227
0,-146.40253,-0.48274744,2.9647423
0,-146.36075,-0.43924133,2.9692588
0,-146.08875,-0.1201101,3.1115054
0,-145.97353,-0.01429055,3.0795099
0,-147.4153,-1.5266981,2.8885264
0,-147.11689,-1.1233028,3.2120314
0,-148.47603,-2.6117612,2.8349017
0,-145.95468,-0.0032133779,3.0546734
0,-146.01526,-0.051491191,3.0946424
0,-145.97133,-0.024440453,3.0406298
0,-146.53909,-0.62452665,2.9512874
0,-146.40817,-0.48860995,2.9641495
0,-146.19067,-0.26119881,2.990635
0,-148.02332,-2.1492196,2.8560519
0,-146.567,-0.58293754,3.1702651
0,-146.2641,-0.33829818,2.9806911
0,-145.9859,-0.041206997,3.0340537
0,-146.09562,-0.12661187,3.1128099
0,-146.61414,-0.70222844,2.944562
0,-146.54942,-0.63522387,2.9503377
0,-146.03836,-0.099033942,3.0183113
0,-146.83249,-0.92768269,2.9269212
0,-146.16881,-0.19639098,3.1251182
0,-146.19524,-0.26600919,2.9899748
0,-146.08642,-0.15071841,3.0079488
0,-146.81613,-0.91081326,2.928161
0,-145.96201,-0.01320508,3.0464673
0,-145.97231,-0.013260845,3.0788916
0,-146.03159,-0.066534409,3.099015
0,-146.16744,-0.19507956,3.1249093
0,-146.03131,-0.091381454,3.0200593
0,-145.96527,-0.017215132,3.0441711
0,-146.00707,-0.064836036,3.0267768
0,-145.97047,-0.011710873,3.0779137
0,-146.01122,-0.069412176,3.025532
0,-145.99164,-0.030103125,3.0871146
0,-146.22778,-0.25307458,3.1335608
0,-146.16931,-0.1968673,3.1251939
0,-146.80304,-0.81436226,3.189843
0,-145.95359,-0.00018356844,3.0607529
0,-146.14155,-0.17031081,3.1208236
0,-145.97243,-0.02573882,3.0400521
0,-146.02309,-0.082423164,3.0222014
0,-146.19164,-0.21829654,3.1285093
0,-146.12356,-0.19026974,3.0011876
0,-145.98898,-0.027732288,3.086132
0,-146.4096,-0.42931263,3.1550043
0,-146.79948,-0.89364623,2.9294346
0,-146.07705,-0.10907041,3.1092066
0,-145.95842,-0.0022899714,3.0694066
0,-146.37543,-0.45454014,2.9676461
0,-146.08312,-0.11479044,3.1104115
0,-145.98917,-0.027901441,3.0862034
0,-146.12771,-0.15710367,3.118523
0,-147.08153,-1.1840344,2.9093087
0,-146.30421,-0.3269518,3.1432474
0,-146.54993,-0.56624118,3.1687129
0,-147.75753,-1.87731,2.8695634
0,-146.03694,-0.071498424,3.1003467
0,-146.11499,-0.18116997,3.0026757
0,-145.96075,-0.0039621581,3.0715335
0,-145.97018,-0.023086151,3.0412489
0,-146.35417,-0.43238924,2.9699902
0,-145.95408,-0.0021328145,3.0561538
0,-146.456,-0.47452386,3.1597449
0,-147.69146,-1.8096734,2.8730738
0,-145.97776,-0.031920021,3.0374831
0,-146.38185,-0.40231942,3.1520542
0,-145.9613,-0.0043726989,3.0719818
0,-145.9549,-0.00022157868,3.0647603
0,-146.04133,-0.075578279,3.101407
0,-146.20026,-0.22658644,3.129748
0,-146.03644,-0.096953494,3.0187797
0,-147.04299,-1.0504612,3.2071073
0,-147.32099,-1.42996,2.8941336
0,-146.21307,-0.28476586,2.9874558
0,-146.05535,-0.11739688,3.0143743
0,-147.17031,-1.1759852,3.215494
0,-146.31135,-0.38771108,2.9749086
0,-145.96716,-0.019501889,3.0429813
0,-146.44118,-0.46008216,3.1582562
0,-146.11501,-0.14501829,3.1163314
0,-146.89347,-0.99052331,2.922399
0,-145.96455,-0.0068826836,3.0743545
0,-145.99753,-0.054262145,3.0298332
0,-146.41518,-0.49590929,2.9634164
0,-145.9629,-0.014306816,3.0458053
0,-145.98224,-0.037050838,3.0355348
0,-146.443,-0.52481985,2.9605644
0,-147.77927,-1.7779444,3.2505816
0,-145.96149,-0.0045134675,3.0721306
0,-146.31335,-0.33580627,3.1443313
0,-146.05238,-0.11418998,3.0150384
0,-146.28542,-0.36060719,2.9780314
0,-146.0799,-0.11175315,3.1097755
0,-146.05277,-0.11461786,3.0149492
